origin,destination,flow,time
AFG.1.1_1,AFG.1.4_1,5416.0,0
AFG.1.1_1,AFG.1.5_1,11025.0,0
AFG.1.1_1,AFG.1.3_1,6201.0,0
AFG.1.1_1,AFG.1.11_1,512.0,0
AFG.1.1_1,AFG.1.9_1,526.0,0
AFG.1.1_1,AFG.1.13_1,41.0,0
AFG.1.1_1,AFG.1.7_1,724.0,0
AFG.1.1_1,AFG.1.10_1,208.0,0
AFG.1.1_1,AFG.1.6_1,125.0,0
AFG.1.1_1,AFG.31.9_1,348.0,0
AFG.1.1_1,AFG.31.7_1,189.0,0
AFG.1.1_1,AFG.31.2_1,151.0,0
AFG.1.1_1,AFG.31.5_1,78.0,0
AFG.1.1_1,AFG.1.8_1,12.0,0
AFG.1.1_1,AFG.31.11_1,63.0,0
AFG.1.1_1,AFG.1.2_1,125.0,0
AFG.1.1_1,AFG.31.12_1,189.0,0
AFG.1.1_1,AFG.24.1_1,16.0,0
AFG.1.1_1,AFG.31.8_1,103.0,0
AFG.1.1_1,AFG.31.10_1,149.0,0
AFG.1.1_1,AFG.31.4_1,22.0,0
AFG.1.1_1,AFG.31.3_1,37.0,0
AFG.1.1_1,AFG.31.1_1,32.0,0
AFG.1.1_1,AFG.19.3_1,54.0,0
AFG.1.1_1,AFG.24.2_1,13.0,0
AFG.1.1_1,AFG.31.6_1,36.0,0
AFG.1.1_1,AFG.3.9_1,47.0,0
AFG.1.1_1,AFG.19.5_1,49.0,0
AFG.1.1_1,AFG.24.5_1,13.0,0
AFG.1.1_1,AFG.27.1_1,24.0,0
AFG.1.1_1,AFG.3.4_1,21.0,0
AFG.1.1_1,AFG.18.9_1,12.0,0
AFG.1.1_1,AFG.1.12_1,5.0,0
AFG.1.1_1,AFG.24.3_1,11.0,0
AFG.1.1_1,AFG.19.1_1,19.0,0
AFG.1.1_1,AFG.19.4_1,77.0,0
AFG.1.1_1,AFG.24.6_1,7.0,0
AFG.1.1_1,AFG.19.6_1,58.0,0
AFG.1.1_1,AFG.18.2_1,7.0,0
AFG.1.1_1,AFG.3.10_1,28.0,0
AFG.1.1_1,AFG.3.1_1,21.0,0
AFG.1.1_1,AFG.18.1_1,19.0,0
AFG.1.1_1,AFG.24.4_1,20.0,0
AFG.1.1_1,AFG.19.2_1,22.0,0
AFG.1.1_1,AFG.18.5_1,8.0,0
AFG.1.1_1,AFG.3.2_1,8.0,0
AFG.1.1_1,AFG.18.6_1,9.0,0
AFG.1.1_1,AFG.27.2_1,8.0,0
AFG.1.1_1,AFG.18.3_1,5.0,0
AFG.1.1_1,AFG.3.3_1,22.0,0
AFG.1.1_1,AFG.27.3_1,11.0,0
AFG.1.1_1,AFG.18.8_1,4.0,0
AFG.1.1_1,AFG.20.3_1,4.0,0
AFG.1.1_1,AFG.19.7_1,12.0,0
AFG.1.1_1,AFG.18.10_1,11.0,0
AFG.1.1_1,AFG.3.11_1,33.0,0
AFG.1.1_1,AFG.18.12_1,4.0,0
AFG.1.1_1,AFG.20.1_1,21.0,0
AFG.1.1_1,AFG.18.4_1,6.0,0
AFG.1.1_1,AFG.16.5_1,9.0,0
AFG.1.1_1,AFG.3.8_1,5.0,0
AFG.1.1_1,AFG.28.6_1,3.0,0
AFG.1.1_1,AFG.16.2_1,7.0,0
AFG.1.1_1,AFG.16.1_1,3.0,0
AFG.1.1_1,AFG.22.4_1,3.0,0
AFG.1.1_1,AFG.18.11_1,3.0,0
AFG.1.1_1,AFG.20.2_1,5.0,0
AFG.1.1_1,AFG.16.3_1,17.0,0
AFG.1.1_1,AFG.3.6_1,7.0,0
AFG.1.1_1,AFG.18.7_1,1.0,0
AFG.1.1_1,AFG.16.4_1,11.0,0
AFG.1.1_1,AFG.28.4_1,9.0,0
AFG.1.1_1,AFG.3.5_1,10.0,0
AFG.1.1_1,AFG.22.12_1,1.0,0
AFG.1.1_1,AFG.16.6_1,6.0,0
AFG.1.1_1,AFG.20.4_1,8.0,0
AFG.1.1_1,AFG.28.2_1,11.0,0
AFG.1.1_1,AFG.29.3_1,7.0,0
AFG.1.1_1,AFG.22.7_1,5.0,0
AFG.1.1_1,AFG.28.8_1,4.0,0
AFG.1.1_1,AFG.22.10_1,4.0,0
AFG.1.1_1,AFG.28.1_1,10.0,0
AFG.1.1_1,AFG.28.5_1,5.0,0
AFG.1.1_1,AFG.22.9_1,25.0,0
AFG.1.1_1,AFG.29.4_1,4.0,0
AFG.1.1_1,AFG.20.5_1,5.0,0
AFG.1.1_1,AFG.29.1_1,3.0,0
AFG.1.1_1,AFG.14.12_1,4.0,0
AFG.1.1_1,AFG.14.14_1,5.0,0
AFG.1.1_1,AFG.22.13_1,4.0,0
AFG.1.1_1,AFG.4.8_1,5.0,0
AFG.1.1_1,AFG.22.20_1,7.0,0
AFG.1.1_1,AFG.14.7_1,1.0,0
AFG.1.1_1,AFG.28.3_1,6.0,0
AFG.1.1_1,AFG.22.2_1,2.0,0
AFG.1.1_1,AFG.14.5_1,2.0,0
AFG.1.1_1,AFG.22.3_1,3.0,0
AFG.1.1_1,AFG.3.12_1,2.0,0
AFG.1.1_1,AFG.22.17_1,5.0,0
AFG.1.1_1,AFG.14.3_1,59.0,0
AFG.1.1_1,AFG.14.9_1,5.0,0
AFG.1.1_1,AFG.14.4_1,3.0,0
AFG.1.1_1,AFG.22.14_1,2.0,0
AFG.1.1_1,AFG.22.19_1,2.0,0
AFG.1.1_1,AFG.14.13_1,3.0,0
AFG.1.1_1,AFG.14.1_1,12.0,0
AFG.1.1_1,AFG.22.18_1,3.0,0
AFG.1.1_1,AFG.22.8_1,1.0,0
AFG.1.1_1,AFG.22.11_1,7.0,0
AFG.1.1_1,AFG.22.6_1,1.0,0
AFG.1.1_1,AFG.22.1_1,8.0,0
AFG.1.1_1,AFG.14.6_1,44.0,0
AFG.1.1_1,AFG.28.7_1,1.0,0
AFG.1.1_1,AFG.22.5_1,2.0,0
AFG.1.1_1,AFG.29.5_1,1.0,0
AFG.1.1_1,AFG.14.11_1,9.0,0
AFG.1.1_1,AFG.14.2_1,5.0,0
AFG.1.1_1,AFG.4.3_1,1.0,0
AFG.1.1_1,AFG.4.11_1,4.0,0
AFG.1.1_1,AFG.29.2_1,3.0,0
AFG.1.1_1,AFG.26.6_1,1.0,0
AFG.1.1_1,AFG.3.7_1,2.0,0
AFG.1.1_1,AFG.33.7_1,1.0,0
AFG.1.1_1,AFG.4.6_1,2.0,0
AFG.1.1_1,AFG.4.1_1,4.0,0
AFG.1.1_1,AFG.26.2_1,1.0,0
AFG.1.1_1,AFG.33.3_1,1.0,0
AFG.1.1_1,AFG.26.8_1,1.0,0
AFG.1.1_1,AFG.4.13_1,4.0,0
AFG.1.1_1,AFG.4.5_1,2.0,0
AFG.1.1_1,AFG.17.3_1,1.0,0
AFG.1.1_1,AFG.26.9_1,1.0,0
AFG.1.1_1,AFG.5.1_1,2.0,0
AFG.1.1_1,AFG.21.1_1,4.0,0
AFG.1.1_1,AFG.4.4_1,1.0,0
AFG.1.1_1,AFG.4.2_1,1.0,0
AFG.1.1_1,AFG.33.2_1,1.0,0
AFG.1.1_1,AFG.33.1_1,2.0,0
AFG.1.1_1,AFG.17.6_1,2.0,0
AFG.1.1_1,AFG.33.8_1,3.0,0
AFG.1.1_1,AFG.17.12_1,1.0,0
AFG.1.1_1,AFG.21.2_1,1.0,0
AFG.1.1_1,AFG.33.5_1,2.0,0
AFG.1.1_1,AFG.17.4_1,3.0,0
AFG.1.1_1,AFG.17.7_1,1.0,0
AFG.1.1_1,AFG.5.5_1,1.0,0
AFG.1.1_1,AFG.26.10_1,1.0,0
AFG.1.1_1,AFG.30.3_1,1.0,0
AFG.1.1_1,AFG.26.12_1,1.0,0
AFG.1.1_1,AFG.30.4_1,1.0,0
AFG.1.1_1,AFG.9.4_1,2.0,0
AFG.1.1_1,AFG.9.6_1,2.0,0
AFG.1.1_1,AFG.9.8_1,2.0,0
