origin,destination,flow,time
AGO.1_1,AGO.11_1,90224.0,0
AGO.1_1,AGO.6_1,47.0,0
AGO.1_1,AGO.7_1,304.0,0
AGO.1_1,AGO.18_1,108.0,0
AGO.1_1,AGO.17_1,112.0,0
AGO.1_1,AGO.14_1,100.0,0
AGO.1_1,AGO.2_1,193.0,0
AGO.1_1,AGO.9_1,154.0,0
AGO.1_1,AGO.4_1,112.0,0
AGO.1_1,AGO.3_1,65.0,0
AGO.1_1,AGO.12_1,50.0,0
AGO.1_1,AGO.10_1,180.0,0
AGO.1_1,AGO.16_1,29.0,0
AGO.1_1,AGO.13_1,33.0,0
AGO.1_1,AGO.8_1,66.0,0
AGO.1_1,AGO.15_1,56.0,0
AGO.1_1,AGO.5_1,11.0,0
AGO.2_1,AGO.9_1,154297.0,0
AGO.2_1,AGO.10_1,84987.0,0
AGO.2_1,AGO.7_1,21049.0,0
AGO.2_1,AGO.16_1,5160.0,0
AGO.2_1,AGO.3_1,7375.0,0
AGO.2_1,AGO.8_1,6692.0,0
AGO.2_1,AGO.1_1,2587.0,0
AGO.2_1,AGO.11_1,30859.0,0
AGO.2_1,AGO.6_1,258.0,0
AGO.2_1,AGO.14_1,733.0,0
AGO.2_1,AGO.17_1,634.0,0
AGO.2_1,AGO.5_1,266.0,0
AGO.2_1,AGO.18_1,539.0,0
AGO.2_1,AGO.15_1,747.0,0
AGO.2_1,AGO.12_1,501.0,0
AGO.2_1,AGO.13_1,262.0,0
AGO.2_1,AGO.4_1,697.0,0
AGO.3_1,AGO.9_1,108724.0,0
AGO.3_1,AGO.7_1,28147.0,0
AGO.3_1,AGO.14_1,6900.0,0
AGO.3_1,AGO.2_1,8916.0,0
AGO.3_1,AGO.10_1,7407.0,0
AGO.3_1,AGO.15_1,1766.0,0
AGO.3_1,AGO.13_1,650.0,0
AGO.3_1,AGO.6_1,389.0,0
AGO.3_1,AGO.12_1,975.0,0
AGO.3_1,AGO.5_1,412.0,0
AGO.3_1,AGO.8_1,1082.0,0
AGO.3_1,AGO.1_1,438.0,0
AGO.3_1,AGO.11_1,6137.0,0
AGO.3_1,AGO.16_1,120.0,0
AGO.3_1,AGO.17_1,141.0,0
AGO.3_1,AGO.18_1,103.0,0
AGO.3_1,AGO.4_1,190.0,0
AGO.4_1,AGO.18_1,83721.0,0
AGO.4_1,AGO.17_1,42815.0,0
AGO.4_1,AGO.11_1,85351.0,0
AGO.4_1,AGO.1_1,459.0,0
AGO.4_1,AGO.6_1,254.0,0
AGO.4_1,AGO.14_1,707.0,0
AGO.4_1,AGO.7_1,1140.0,0
AGO.4_1,AGO.12_1,459.0,0
