origin,destination,flow,time
ALB.1.1_1,ALB.1.2_1,366.0,0
ALB.1.1_1,ALB.5.3_1,226.0,0
ALB.1.1_1,ALB.1.3_1,77.0,0
ALB.1.1_1,ALB.4.2_1,119.0,0
ALB.1.1_1,ALB.5.1_1,427.0,0
ALB.1.1_1,ALB.6.3_1,14.0,0
ALB.1.1_1,ALB.5.2_1,110.0,0
ALB.1.1_1,ALB.4.1_1,85.0,0
ALB.1.1_1,ALB.4.4_1,11.0,0
ALB.1.1_1,ALB.12.3_1,46.0,0
ALB.1.1_1,ALB.6.2_1,5.0,0
ALB.1.1_1,ALB.7.3_1,23.0,0
ALB.1.1_1,ALB.11.1_1,13.0,0
ALB.1.1_1,ALB.7.4_1,4.0,0
ALB.1.1_1,ALB.4.3_1,5.0,0
ALB.1.1_1,ALB.7.2_1,1.0,0
ALB.1.1_1,ALB.11.2_1,77.0,0
ALB.1.1_1,ALB.7.1_1,1.0,0
ALB.1.1_1,ALB.3.1_1,8.0,0
ALB.1.1_1,ALB.3.2_1,2.0,0
ALB.1.1_1,ALB.12.2_1,1.0,0
ALB.1.1_1,ALB.2.3_1,1.0,0
ALB.1.1_1,ALB.2.2_1,4.0,0
ALB.1.1_1,ALB.10.2_1,1.0,0
ALB.1.1_1,ALB.10.3_1,1.0,0
ALB.1.1_1,ALB.10.1_1,1.0,0
ALB.1.1_1,ALB.8.3_1,1.0,0
ALB.1.2_1,ALB.1.1_1,361.0,0
ALB.1.2_1,ALB.5.2_1,42.0,0
ALB.1.2_1,ALB.4.4_1,2.0,0
ALB.1.2_1,ALB.4.1_1,16.0,0
ALB.1.2_1,ALB.5.3_1,2.0,0
ALB.1.2_1,ALB.5.1_1,9.0,0
ALB.1.2_1,ALB.6.3_1,1.0,0
ALB.1.2_1,ALB.11.2_1,8.0,0
ALB.1.2_1,ALB.7.4_1,1.0,0
ALB.1.2_1,ALB.6.1_1,1.0,0
ALB.1.2_1,ALB.10.3_1,1.0,0
ALB.1.3_1,ALB.1.1_1,189.0,0
ALB.1.3_1,ALB.6.2_1,2.0,0
ALB.1.3_1,ALB.4.2_1,5.0,0
ALB.1.3_1,ALB.6.3_1,1.0,0
ALB.1.3_1,ALB.7.3_1,6.0,0
ALB.1.3_1,ALB.7.4_1,1.0,0
ALB.1.3_1,ALB.6.1_1,1.0,0
ALB.1.3_1,ALB.5.1_1,1.0,0
ALB.1.3_1,ALB.4.3_1,1.0,0
ALB.1.3_1,ALB.3.1_1,1.0,0
ALB.2.1_1,ALB.2.3_1,298.0,0
ALB.2.1_1,ALB.2.2_1,80.0,0
ALB.2.1_1,ALB.4.3_1,41.0,0
ALB.2.1_1,ALB.11.2_1,59.0,0
ALB.2.1_1,ALB.4.1_1,1.0,0
ALB.2.1_1,ALB.3.1_1,1.0,0
ALB.2.1_1,ALB.1.1_1,1.0,0
ALB.2.1_1,ALB.12.3_1,1.0,0
ALB.2.2_1,ALB.2.3_1,450.0,0
ALB.2.2_1,ALB.2.1_1,107.0,0
ALB.2.2_1,ALB.8.2_1,115.0,0
ALB.2.2_1,ALB.9.3_1,33.0,0
ALB.2.2_1,ALB.10.2_1,21.0,0
ALB.2.2_1,ALB.8.1_1,22.0,0
ALB.2.2_1,ALB.9.1_1,42.0,0
ALB.2.2_1,ALB.3.2_1,48.0,0
ALB.2.2_1,ALB.9.2_1,30.0,0
ALB.2.2_1,ALB.11.2_1,100.0,0
ALB.2.2_1,ALB.4.3_1,1.0,0
ALB.2.2_1,ALB.9.4_1,1.0,0
ALB.2.2_1,ALB.10.3_1,2.0,0
ALB.2.2_1,ALB.3.1_1,8.0,0
ALB.2.2_1,ALB.4.1_1,3.0,0
ALB.2.2_1,ALB.4.4_1,1.0,0
ALB.2.2_1,ALB.5.2_1,2.0,0
ALB.2.2_1,ALB.7.3_1,1.0,0
ALB.2.2_1,ALB.1.1_1,1.0,0
ALB.2.2_1,ALB.5.1_1,2.0,0
ALB.2.2_1,ALB.12.3_1,1.0,0
ALB.2.3_1,ALB.3.2_1,450.0,0
ALB.2.3_1,ALB.2.1_1,51.0,0
ALB.2.3_1,ALB.9.1_1,75.0,0
ALB.2.3_1,ALB.2.2_1,39.0,0
ALB.2.3_1,ALB.9.3_1,10.0,0
ALB.2.3_1,ALB.11.2_1,98.0,0
ALB.2.3_1,ALB.9.2_1,2.0,0
ALB.2.3_1,ALB.4.1_1,1.0,0
ALB.2.3_1,ALB.8.1_1,1.0,0
ALB.2.3_1,ALB.4.2_1,1.0,0
ALB.2.3_1,ALB.10.1_1,1.0,0
ALB.2.3_1,ALB.5.1_1,1.0,0
ALB.3.1_1,ALB.3.2_1,1046.0,0
ALB.3.1_1,ALB.9.1_1,502.0,0
ALB.3.1_1,ALB.11.2_1,2561.0,0
ALB.3.1_1,ALB.11.1_1,39.0,0
ALB.3.1_1,ALB.4.4_1,14.0,0
ALB.3.1_1,ALB.2.3_1,21.0,0
ALB.3.1_1,ALB.9.2_1,34.0,0
ALB.3.1_1,ALB.5.2_1,62.0,0
ALB.3.1_1,ALB.4.1_1,79.0,0
ALB.3.1_1,ALB.9.4_1,2.0,0
ALB.3.1_1,ALB.9.3_1,10.0,0
ALB.3.1_1,ALB.2.1_1,14.0,0
ALB.3.1_1,ALB.1.2_1,9.0,0
ALB.3.1_1,ALB.4.3_1,16.0,0
ALB.3.1_1,ALB.5.1_1,45.0,0
ALB.3.1_1,ALB.2.2_1,17.0,0
ALB.3.1_1,ALB.10.3_1,39.0,0
ALB.3.1_1,ALB.10.2_1,2.0,0
ALB.3.1_1,ALB.4.2_1,4.0,0
ALB.3.1_1,ALB.1.1_1,21.0,0
ALB.3.1_1,ALB.5.3_1,4.0,0
ALB.3.1_1,ALB.8.2_1,11.0,0
ALB.3.1_1,ALB.7.4_1,13.0,0
ALB.3.1_1,ALB.10.1_1,2.0,0
ALB.3.1_1,ALB.8.1_1,1.0,0
ALB.3.1_1,ALB.1.3_1,1.0,0
ALB.3.1_1,ALB.8.3_1,3.0,0
ALB.3.1_1,ALB.12.3_1,19.0,0
ALB.3.1_1,ALB.6.3_1,2.0,0
ALB.3.1_1,ALB.7.3_1,12.0,0
ALB.3.1_1,ALB.6.2_1,2.0,0
ALB.3.1_1,ALB.7.1_1,5.0,0
ALB.3.1_1,ALB.6.1_1,3.0,0
ALB.3.1_1,ALB.12.1_1,1.0,0
ALB.3.1_1,ALB.12.2_1,5.0,0
ALB.3.2_1,ALB.9.1_1,493.0,0
ALB.3.2_1,ALB.3.1_1,488.0,0
ALB.3.2_1,ALB.11.2_1,179.0,0
ALB.3.2_1,ALB.2.3_1,2.0,0
ALB.3.2_1,ALB.9.2_1,1.0,0
ALB.3.2_1,ALB.9.3_1,1.0,0
ALB.3.2_1,ALB.11.1_1,3.0,0
ALB.3.2_1,ALB.4.4_1,1.0,0
ALB.3.2_1,ALB.2.2_1,2.0,0
ALB.3.2_1,ALB.4.1_1,6.0,0
ALB.3.2_1,ALB.5.2_1,1.0,0
ALB.3.2_1,ALB.4.3_1,1.0,0
ALB.3.2_1,ALB.10.2_1,1.0,0
ALB.3.2_1,ALB.10.3_1,2.0,0
ALB.3.2_1,ALB.5.1_1,2.0,0
