origin,destination,flow,time
ARE.1_1,ARE.3_1,424488.0,0
ARE.1_1,ARE.2_1,18188.0,0
ARE.1_1,ARE.6_1,68150.0,0
ARE.1_1,ARE.7_1,2474.0,0
ARE.1_1,ARE.5_1,8915.0,0
ARE.1_1,ARE.4_1,6292.0,0
ARE.2_1,ARE.6_1,67866.0,0
ARE.2_1,ARE.7_1,521.0,0
ARE.2_1,ARE.5_1,1653.0,0
ARE.2_1,ARE.3_1,6237.0,0
ARE.2_1,ARE.4_1,189.0,0
ARE.2_1,ARE.1_1,1335.0,0
ARE.3_1,ARE.2_1,114083.0,0
ARE.3_1,ARE.6_1,349231.0,0
ARE.3_1,ARE.7_1,10554.0,0
ARE.3_1,ARE.5_1,38813.0,0
ARE.3_1,ARE.4_1,25988.0,0
ARE.3_1,ARE.1_1,176707.0,0
ARE.4_1,ARE.5_1,31756.0,0
ARE.4_1,ARE.6_1,17693.0,0
ARE.4_1,ARE.7_1,202.0,0
ARE.4_1,ARE.2_1,686.0,0
ARE.4_1,ARE.3_1,2596.0,0
ARE.4_1,ARE.1_1,597.0,0
ARE.5_1,ARE.4_1,31950.0,0
ARE.5_1,ARE.7_1,5545.0,0
ARE.5_1,ARE.6_1,27781.0,0
ARE.5_1,ARE.2_1,1341.0,0
ARE.5_1,ARE.3_1,4737.0,0
ARE.5_1,ARE.1_1,1147.0,0
ARE.6_1,ARE.2_1,82232.0,0
ARE.6_1,ARE.7_1,15648.0,0
ARE.6_1,ARE.5_1,51831.0,0
ARE.6_1,ARE.4_1,30762.0,0
ARE.6_1,ARE.3_1,174315.0,0
ARE.6_1,ARE.1_1,42809.0,0
ARE.7_1,ARE.2_1,14980.0,0
ARE.7_1,ARE.5_1,1550.0,0
ARE.7_1,ARE.6_1,1342.0,0
ARE.7_1,ARE.4_1,59.0,0
ARE.7_1,ARE.3_1,310.0,0
ARE.7_1,ARE.1_1,64.0,0
ARE.1_1,ARE.1_1,2114029.940899224,0
ARE.2_1,ARE.2_1,311207.9184650424,0
ARE.3_1,ARE.3_1,2861505.75068092,0
ARE.4_1,ARE.4_1,214120.9088470456,0
ARE.5_1,ARE.5_1,290007.248382008,0
ARE.6_1,ARE.6_1,1590391.077317568,0
ARE.7_1,ARE.7_1,73221.64633407592,0
