origin,destination,flow,time
ARG.1.1_1,ARG.1.103_1,570.0,0
ARG.1.1_1,ARG.11.1_1,353.0,0
ARG.1.1_1,ARG.1.58_1,239.0,0
ARG.1.1_1,ARG.11.10_1,86.0,0
ARG.1.1_1,ARG.1.123_1,91.0,0
ARG.1.1_1,ARG.1.101_1,116.0,0
ARG.1.1_1,ARG.11.4_1,30.0,0
ARG.1.1_1,ARG.1.94_1,64.0,0
ARG.1.1_1,ARG.1.89_1,17.0,0
ARG.1.1_1,ARG.1.33_1,68.0,0
ARG.1.1_1,ARG.11.11_1,11.0,0
ARG.1.1_1,ARG.1.34_1,17.0,0
ARG.1.1_1,ARG.11.3_1,68.0,0
ARG.1.1_1,ARG.11.17_1,2.0,0
ARG.1.1_1,ARG.1.120_1,11.0,0
ARG.1.1_1,ARG.1.119_1,5.0,0
ARG.1.1_1,ARG.1.47_1,3.0,0
ARG.1.1_1,ARG.11.20_1,3.0,0
ARG.1.1_1,ARG.1.59_1,4.0,0
ARG.1.1_1,ARG.1.10_1,36.0,0
ARG.1.1_1,ARG.11.15_1,3.0,0
ARG.1.1_1,ARG.1.88_1,7.0,0
ARG.1.1_1,ARG.1.98_1,1.0,0
ARG.1.1_1,ARG.1.16_1,1.0,0
ARG.1.1_1,ARG.1.23_1,1.0,0
ARG.1.1_1,ARG.1.30_1,4.0,0
ARG.1.1_1,ARG.1.86_1,3.0,0
ARG.1.1_1,ARG.11.6_1,1.0,0
ARG.1.1_1,ARG.1.68_1,1.0,0
ARG.1.1_1,ARG.16.9_1,1.0,0
ARG.1.1_1,ARG.1.17_1,1.0,0
ARG.1.1_1,ARG.1.107_1,1.0,0
ARG.1.1_1,ARG.6.12_1,1.0,0
ARG.1.1_1,ARG.1.115_1,1.0,0
ARG.1.1_1,ARG.1.3_1,1.0,0
ARG.1.1_1,ARG.1.60_1,1.0,0
ARG.1.1_1,ARG.1.84_1,2.0,0
ARG.1.1_1,ARG.1.28_1,3.0,0
ARG.1.1_1,ARG.21.6_1,1.0,0
ARG.1.1_1,ARG.1.70_1,3.0,0
ARG.1.1_1,ARG.16.6_1,1.0,0
ARG.1.1_1,ARG.6.8_1,1.0,0
ARG.1.1_1,ARG.21.4_1,1.0,0
ARG.1.1_1,ARG.1.55_1,1.0,0
ARG.1.1_1,ARG.21.12_1,1.0,0
ARG.1.2_1,ARG.1.13_1,811.0,0
ARG.1.2_1,ARG.1.121_1,254.0,0
ARG.1.2_1,ARG.1.65_1,16.0,0
ARG.1.2_1,ARG.1.107_1,17.0,0
ARG.1.2_1,ARG.1.32_1,20.0,0
ARG.1.2_1,ARG.1.84_1,48.0,0
ARG.1.2_1,ARG.1.31_1,7.0,0
ARG.1.2_1,ARG.1.115_1,22.0,0
ARG.1.2_1,ARG.1.86_1,13.0,0
ARG.1.2_1,ARG.1.69_1,1.0,0
ARG.1.2_1,ARG.1.9_1,2.0,0
ARG.1.2_1,ARG.1.33_1,3.0,0
ARG.1.2_1,ARG.1.30_1,5.0,0
ARG.1.2_1,ARG.1.10_1,3.0,0
ARG.1.2_1,ARG.1.97_1,1.0,0
ARG.1.2_1,ARG.1.101_1,1.0,0
ARG.1.2_1,ARG.1.52_1,5.0,0
ARG.1.2_1,ARG.1.75_1,1.0,0
ARG.1.2_1,ARG.1.85_1,1.0,0
ARG.1.2_1,ARG.1.100_1,1.0,0
ARG.1.2_1,ARG.1.20_1,1.0,0
ARG.1.2_1,ARG.1.62_1,1.0,0
ARG.1.2_1,ARG.1.40_1,1.0,0
ARG.1.2_1,ARG.1.14_1,1.0,0
ARG.1.3_1,ARG.1.17_1,895.0,0
ARG.1.3_1,ARG.1.28_1,120.0,0
ARG.1.3_1,ARG.1.26_1,37.0,0
ARG.1.3_1,ARG.1.124_1,17.0,0
ARG.1.3_1,ARG.1.114_1,1.0,0
ARG.1.3_1,ARG.1.56_1,3.0,0
ARG.1.3_1,ARG.1.83_1,3.0,0
ARG.1.3_1,ARG.1.24_1,1.0,0
ARG.1.3_1,ARG.1.85_1,6.0,0
ARG.1.3_1,ARG.1.104_1,3.0,0
ARG.1.3_1,ARG.1.60_1,5.0,0
ARG.1.3_1,ARG.1.77_1,3.0,0
ARG.1.3_1,ARG.1.102_1,2.0,0
ARG.1.3_1,ARG.1.105_1,1.0,0
ARG.1.3_1,ARG.1.70_1,2.0,0
ARG.1.3_1,ARG.1.21_1,1.0,0
