origin,destination,flow,time
ASM.1.1_1,ASM.1.2_1,1552.0,0
ASM.1.1_1,ASM.4.4_1,580.0,0
ASM.1.1_1,ASM.4.2_1,29.0,0
ASM.1.1_1,ASM.4.3_1,25.0,0
ASM.1.1_1,ASM.1.4_1,21.0,0
ASM.1.1_1,ASM.4.1_1,23.0,0
ASM.1.1_1,ASM.1.5_1,16.0,0
ASM.1.1_1,ASM.1.3_1,15.0,0
ASM.1.1_1,ASM.2.4_1,1.0,0
ASM.1.1_1,ASM.2.5_1,1.0,0
ASM.1.1_1,ASM.2.1_1,1.0,0
ASM.1.2_1,ASM.1.1_1,1744.0,0
ASM.1.2_1,ASM.1.4_1,650.0,0
ASM.1.2_1,ASM.1.5_1,317.0,0
ASM.1.2_1,ASM.4.4_1,1118.0,0
ASM.1.2_1,ASM.4.2_1,70.0,0
ASM.1.2_1,ASM.4.3_1,75.0,0
ASM.1.2_1,ASM.1.3_1,44.0,0
ASM.1.2_1,ASM.4.1_1,83.0,0
ASM.1.2_1,ASM.2.3_1,1.0,0
ASM.1.2_1,ASM.2.4_1,1.0,0
ASM.1.2_1,ASM.2.5_1,4.0,0
ASM.1.2_1,ASM.2.1_1,7.0,0
ASM.1.2_1,ASM.2.2_1,1.0,0
ASM.1.3_1,ASM.1.5_1,624.0,0
ASM.1.3_1,ASM.1.4_1,263.0,0
ASM.1.3_1,ASM.1.2_1,202.0,0
ASM.1.3_1,ASM.1.1_1,50.0,0
ASM.1.3_1,ASM.4.4_1,68.0,0
ASM.1.3_1,ASM.4.2_1,4.0,0
ASM.1.3_1,ASM.4.3_1,5.0,0
ASM.1.3_1,ASM.4.1_1,9.0,0
ASM.1.3_1,ASM.2.4_1,1.0,0
ASM.1.3_1,ASM.2.1_1,1.0,0
ASM.1.4_1,ASM.1.5_1,759.0,0
ASM.1.4_1,ASM.1.3_1,284.0,0
ASM.1.4_1,ASM.1.2_1,334.0,0
ASM.1.4_1,ASM.1.1_1,68.0,0
ASM.1.4_1,ASM.4.4_1,135.0,0
ASM.1.4_1,ASM.4.2_1,6.0,0
ASM.1.4_1,ASM.4.3_1,11.0,0
ASM.1.4_1,ASM.4.1_1,13.0,0
ASM.1.4_1,ASM.2.5_1,1.0,0
ASM.1.4_1,ASM.2.1_1,1.0,0
ASM.1.5_1,ASM.1.4_1,721.0,0
ASM.1.5_1,ASM.1.3_1,147.0,0
ASM.1.5_1,ASM.1.2_1,172.0,0
ASM.1.5_1,ASM.1.1_1,24.0,0
ASM.1.5_1,ASM.4.4_1,78.0,0
ASM.1.5_1,ASM.4.2_1,2.0,0
ASM.1.5_1,ASM.4.3_1,5.0,0
ASM.1.5_1,ASM.4.1_1,4.0,0
ASM.1.5_1,ASM.2.3_1,1.0,0
ASM.1.5_1,ASM.2.1_1,1.0,0
ASM.1.5_1,ASM.2.2_1,1.0,0
ASM.2.1_1,ASM.2.5_1,77.0,0
ASM.2.1_1,ASM.2.2_1,8.0,0
ASM.2.1_1,ASM.2.4_1,5.0,0
ASM.2.1_1,ASM.2.3_1,4.0,0
ASM.2.1_1,ASM.1.3_1,24.0,0
ASM.2.1_1,ASM.1.5_1,4.0,0
ASM.2.1_1,ASM.1.4_1,2.0,0
ASM.2.1_1,ASM.1.2_1,2.0,0
ASM.2.1_1,ASM.1.1_1,1.0,0
ASM.2.2_1,ASM.2.1_1,44.0,0
ASM.2.2_1,ASM.2.5_1,10.0,0
ASM.2.2_1,ASM.2.4_1,6.0,0
ASM.2.2_1,ASM.2.3_1,1.0,0
ASM.2.2_1,ASM.1.3_1,9.0,0
ASM.2.2_1,ASM.1.5_1,3.0,0
ASM.2.2_1,ASM.1.2_1,1.0,0
ASM.2.3_1,ASM.2.4_1,23.0,0
ASM.2.3_1,ASM.2.5_1,12.0,0
ASM.2.3_1,ASM.2.2_1,1.0,0
ASM.2.3_1,ASM.1.3_1,3.0,0
ASM.2.4_1,ASM.2.3_1,21.0,0
ASM.2.4_1,ASM.2.5_1,26.0,0
ASM.2.4_1,ASM.2.1_1,6.0,0
ASM.2.4_1,ASM.2.2_1,1.0,0
ASM.2.4_1,ASM.1.3_1,9.0,0
ASM.2.4_1,ASM.1.5_1,2.0,0
ASM.2.4_1,ASM.1.4_1,1.0,0
ASM.2.5_1,ASM.2.1_1,76.0,0
ASM.2.5_1,ASM.2.2_1,27.0,0
ASM.2.5_1,ASM.2.4_1,9.0,0
ASM.2.5_1,ASM.2.3_1,7.0,0
ASM.2.5_1,ASM.1.3_1,42.0,0
ASM.2.5_1,ASM.1.5_1,12.0,0
ASM.2.5_1,ASM.1.4_1,4.0,0
ASM.2.5_1,ASM.1.2_1,6.0,0
ASM.2.5_1,ASM.4.4_1,3.0,0
ASM.3.2_1,ASM.1.5_1,2.0,0
ASM.4.1_1,ASM.4.2_1,817.0,0
ASM.4.1_1,ASM.4.3_1,605.0,0
ASM.4.1_1,ASM.4.4_1,935.0,0
ASM.4.1_1,ASM.1.1_1,58.0,0
ASM.4.1_1,ASM.1.2_1,87.0,0
ASM.4.1_1,ASM.1.4_1,31.0,0
ASM.4.1_1,ASM.1.5_1,6.0,0
ASM.4.1_1,ASM.1.3_1,18.0,0
ASM.4.1_1,ASM.2.5_1,4.0,0
ASM.4.1_1,ASM.2.1_1,2.0,0
ASM.4.1_1,ASM.2.2_1,1.0,0
ASM.4.2_1,ASM.4.1_1,808.0,0
ASM.4.2_1,ASM.4.4_1,248.0,0
ASM.4.2_1,ASM.4.3_1,4.0,0
ASM.4.2_1,ASM.1.1_1,12.0,0
ASM.4.2_1,ASM.1.2_1,14.0,0
ASM.4.2_1,ASM.1.4_1,3.0,0
ASM.4.2_1,ASM.1.5_1,4.0,0
ASM.4.2_1,ASM.1.3_1,3.0,0
ASM.4.3_1,ASM.4.4_1,1430.0,0
ASM.4.3_1,ASM.4.2_1,17.0,0
ASM.4.3_1,ASM.4.1_1,34.0,0
ASM.4.3_1,ASM.1.1_1,29.0,0
ASM.4.3_1,ASM.1.2_1,33.0,0
ASM.4.3_1,ASM.1.4_1,15.0,0
ASM.4.3_1,ASM.1.5_1,5.0,0
ASM.4.3_1,ASM.1.3_1,4.0,0
ASM.4.3_1,ASM.2.4_1,1.0,0
ASM.4.3_1,ASM.2.5_1,1.0,0
ASM.4.4_1,ASM.4.3_1,2165.0,0
ASM.4.4_1,ASM.4.2_1,1197.0,0
ASM.4.4_1,ASM.1.1_1,1871.0,0
ASM.4.4_1,ASM.4.1_1,1598.0,0
ASM.4.4_1,ASM.1.2_1,1631.0,0
ASM.4.4_1,ASM.1.4_1,470.0,0
ASM.4.4_1,ASM.1.5_1,328.0,0
ASM.4.4_1,ASM.1.3_1,302.0,0
ASM.4.4_1,ASM.2.3_1,6.0,0
ASM.4.4_1,ASM.2.4_1,18.0,0
ASM.4.4_1,ASM.2.5_1,44.0,0
ASM.4.4_1,ASM.2.1_1,29.0,0
ASM.4.4_1,ASM.2.2_1,13.0,0
ASM.4.4_1,ASM.3.2_1,1.0,0
ASM.1.1_1,ASM.1.1_1,2264.766061782835,0
ASM.1.2_1,ASM.1.2_1,4115.14395904541,0
ASM.1.3_1,ASM.1.3_1,1227.309259414675,0
ASM.1.4_1,ASM.1.4_1,1612.34979724884,0
ASM.1.5_1,ASM.1.5_1,1156.749546051025,0
ASM.2.1_1,ASM.2.1_1,127.12139606475849,0
ASM.2.2_1,ASM.2.2_1,74.82427358627301,0
ASM.2.3_1,ASM.2.3_1,39.0484902858734,0
ASM.2.4_1,ASM.2.4_1,66.042993724346,0
ASM.2.5_1,ASM.2.5_1,186.08736109733601,0
ASM.3.1_1,ASM.3.1_1,,0
ASM.3.2_1,ASM.3.2_1,2.803072690963745,0
ASM.4.1_1,ASM.4.1_1,2564.3741594553,0
ASM.4.2_1,ASM.4.2_1,1096.485109329225,0
ASM.4.3_1,ASM.4.3_1,1569.8836555480948,0
ASM.4.4_1,ASM.4.4_1,9673.1922683716,0
