origin,destination,flow,time
AUT.1.2_1,AUT.1.1_1,112.0,0
AUT.1.2_1,AUT.1.9_1,1.0,0
AUT.1.2_1,AUT.1.5_1,13.0,0
AUT.1.2_1,AUT.3.24_1,6.0,0
AUT.1.2_1,AUT.1.6_1,2.0,0
AUT.1.2_1,AUT.3.3_1,3.0,0
AUT.1.2_1,AUT.3.2_1,3.0,0
AUT.1.2_1,AUT.3.23_1,1.0,0
AUT.1.2_1,AUT.3.14_1,2.0,0
AUT.1.2_1,AUT.4.8_1,1.0,0
AUT.1.1_1,AUT.1.2_1,118.0,0
AUT.1.1_1,AUT.1.9_1,16.0,0
AUT.1.1_1,AUT.1.5_1,122.0,0
AUT.1.1_1,AUT.1.6_1,67.0,0
AUT.1.1_1,AUT.3.3_1,21.0,0
AUT.1.1_1,AUT.3.24_1,22.0,0
AUT.1.1_1,AUT.3.2_1,16.0,0
AUT.1.1_1,AUT.3.14_1,11.0,0
AUT.1.1_1,AUT.3.23_1,3.0,0
AUT.1.1_1,AUT.3.22_1,8.0,0
AUT.1.1_1,AUT.9.1_1,12.0,0
AUT.1.1_1,AUT.6.13_1,1.0,0
AUT.1.1_1,AUT.6.3_1,1.0,0
AUT.1.1_1,AUT.6.4_1,1.0,0
AUT.1.1_1,AUT.3.25_1,1.0,0
AUT.1.1_1,AUT.3.20_1,1.0,0
AUT.1.1_1,AUT.4.4_1,1.0,0
AUT.1.1_1,AUT.7.1_1,1.0,0
AUT.1.3_1,AUT.1.4_1,118.0,0
AUT.1.3_1,AUT.1.8_1,89.0,0
AUT.1.3_1,AUT.6.5_1,26.0,0
AUT.1.3_1,AUT.6.11_1,9.0,0
AUT.1.3_1,AUT.1.7_1,3.0,0
AUT.1.3_1,AUT.6.13_1,6.0,0
AUT.1.3_1,AUT.6.4_1,3.0,0
AUT.1.3_1,AUT.6.6_1,1.0,0
AUT.1.3_1,AUT.3.15_1,3.0,0
AUT.1.3_1,AUT.1.1_1,1.0,0
AUT.1.3_1,AUT.6.2_1,1.0,0
AUT.1.3_1,AUT.3.14_1,1.0,0
AUT.1.3_1,AUT.9.1_1,2.0,0
AUT.1.4_1,AUT.1.3_1,96.0,0
AUT.1.4_1,AUT.6.11_1,56.0,0
AUT.1.4_1,AUT.1.8_1,7.0,0
AUT.1.4_1,AUT.6.5_1,9.0,0
AUT.1.4_1,AUT.6.13_1,3.0,0
AUT.1.4_1,AUT.6.6_1,1.0,0
AUT.1.4_1,AUT.6.4_1,9.0,0
AUT.1.4_1,AUT.3.15_1,2.0,0
AUT.1.4_1,AUT.1.5_1,1.0,0
AUT.1.4_1,AUT.6.1_1,1.0,0
AUT.1.4_1,AUT.9.1_1,1.0,0
AUT.1.5_1,AUT.3.24_1,212.0,0
AUT.1.5_1,AUT.1.2_1,28.0,0
AUT.1.5_1,AUT.1.1_1,36.0,0
AUT.1.5_1,AUT.3.23_1,43.0,0
