origin,destination,flow,time
AZE.1.1_1,AZE.1.3_1,20461.0,0
AZE.1.1_1,AZE.3.3_1,1606.0,0
AZE.1.1_1,AZE.1.2_1,20595.0,0
AZE.1.1_1,AZE.2.8_1,162.0,0
AZE.1.1_1,AZE.1.4_1,56.0,0
AZE.1.1_1,AZE.2.1_1,169.0,0
AZE.1.1_1,AZE.3.4_1,243.0,0
AZE.1.1_1,AZE.2.14_1,314.0,0
AZE.1.1_1,AZE.2.15_1,228.0,0
AZE.1.1_1,AZE.8.4_1,67.0,0
AZE.1.1_1,AZE.3.1_1,148.0,0
AZE.1.1_1,AZE.2.13_1,167.0,0
AZE.1.1_1,AZE.2.10_1,180.0,0
AZE.1.1_1,AZE.8.1_1,105.0,0
AZE.1.1_1,AZE.3.2_1,116.0,0
AZE.1.1_1,AZE.2.12_1,125.0,0
AZE.1.1_1,AZE.2.6_1,137.0,0
AZE.1.1_1,AZE.2.9_1,172.0,0
AZE.1.1_1,AZE.8.2_1,167.0,0
AZE.1.1_1,AZE.2.7_1,124.0,0
AZE.1.1_1,AZE.2.16_1,80.0,0
AZE.1.1_1,AZE.2.19_1,55.0,0
AZE.1.1_1,AZE.6.2_1,179.0,0
AZE.1.1_1,AZE.9.3_1,96.0,0
AZE.1.1_1,AZE.8.5_1,152.0,0
AZE.1.1_1,AZE.2.5_1,66.0,0
AZE.1.1_1,AZE.8.3_1,68.0,0
AZE.1.1_1,AZE.6.6_1,165.0,0
AZE.1.1_1,AZE.6.3_1,152.0,0
AZE.1.1_1,AZE.2.3_1,66.0,0
AZE.1.1_1,AZE.2.2_1,90.0,0
AZE.1.1_1,AZE.9.2_1,22.0,0
AZE.1.1_1,AZE.2.4_1,86.0,0
AZE.1.1_1,AZE.6.7_1,31.0,0
AZE.1.1_1,AZE.6.4_1,6.0,0
AZE.1.1_1,AZE.10.3_1,57.0,0
AZE.1.1_1,AZE.6.5_1,44.0,0
AZE.1.1_1,AZE.10.7_1,13.0,0
AZE.1.1_1,AZE.10.1_1,112.0,0
AZE.1.1_1,AZE.2.17_1,53.0,0
AZE.1.1_1,AZE.9.5_1,91.0,0
AZE.1.1_1,AZE.2.11_1,50.0,0
AZE.1.1_1,AZE.6.1_1,53.0,0
AZE.1.1_1,AZE.10.10_1,17.0,0
AZE.1.1_1,AZE.10.8_1,31.0,0
AZE.1.1_1,AZE.10.9_1,33.0,0
AZE.1.1_1,AZE.4.5_1,45.0,0
AZE.1.1_1,AZE.10.2_1,26.0,0
AZE.1.1_1,AZE.10.5_1,1.0,0
AZE.1.1_1,AZE.9.4_1,19.0,0
AZE.1.1_1,AZE.10.6_1,12.0,0
AZE.1.1_1,AZE.5.2_1,11.0,0
AZE.1.1_1,AZE.4.9_1,25.0,0
AZE.1.1_1,AZE.5.4_1,16.0,0
AZE.1.1_1,AZE.4.4_1,113.0,0
AZE.1.1_1,AZE.4.11_1,24.0,0
AZE.1.1_1,AZE.9.7_1,37.0,0
AZE.1.1_1,AZE.5.3_1,19.0,0
AZE.1.1_1,AZE.5.5_1,13.0,0
AZE.1.1_1,AZE.5.1_1,24.0,0
AZE.1.1_1,AZE.4.2_1,11.0,0
AZE.1.1_1,AZE.4.8_1,61.0,0
AZE.1.1_1,AZE.9.1_1,34.0,0
AZE.1.1_1,AZE.4.10_1,52.0,0
AZE.1.1_1,AZE.4.3_1,22.0,0
AZE.1.1_1,AZE.7.4_1,9.0,0
AZE.1.1_1,AZE.7.7_1,3.0,0
AZE.1.1_1,AZE.7.2_1,13.0,0
AZE.1.1_1,AZE.4.1_1,28.0,0
AZE.1.1_1,AZE.7.1_1,30.0,0
AZE.1.1_1,AZE.4.7_1,20.0,0
AZE.1.1_1,AZE.7.3_1,8.0,0
AZE.1.1_1,AZE.7.6_1,19.0,0
AZE.1.1_1,AZE.7.5_1,3.0,0
AZE.1.2_1,AZE.1.3_1,36775.0,0
AZE.1.2_1,AZE.1.1_1,40670.0,0
AZE.1.2_1,AZE.1.4_1,1342.0,0
AZE.1.2_1,AZE.3.3_1,3326.0,0
AZE.1.2_1,AZE.2.8_1,5731.0,0
AZE.1.2_1,AZE.2.1_1,4921.0,0
AZE.1.2_1,AZE.2.15_1,8161.0,0
AZE.1.2_1,AZE.8.4_1,2447.0,0
AZE.1.2_1,AZE.3.4_1,5661.0,0
AZE.1.2_1,AZE.2.14_1,8565.0,0
AZE.1.2_1,AZE.3.1_1,3841.0,0
AZE.1.2_1,AZE.8.1_1,2807.0,0
AZE.1.2_1,AZE.2.13_1,4571.0,0
AZE.1.2_1,AZE.2.12_1,3835.0,0
AZE.1.2_1,AZE.2.10_1,4750.0,0
AZE.1.2_1,AZE.2.6_1,4017.0,0
AZE.1.2_1,AZE.3.2_1,3323.0,0
AZE.1.2_1,AZE.8.2_1,5924.0,0
AZE.1.2_1,AZE.2.9_1,4120.0,0
AZE.1.2_1,AZE.8.5_1,5346.0,0
AZE.1.2_1,AZE.6.2_1,6024.0,0
AZE.1.2_1,AZE.2.7_1,2966.0,0
AZE.1.2_1,AZE.6.6_1,5527.0,0
AZE.1.2_1,AZE.2.16_1,2007.0,0
AZE.1.2_1,AZE.6.3_1,4764.0,0
AZE.1.2_1,AZE.2.19_1,1284.0,0
AZE.1.2_1,AZE.8.3_1,1955.0,0
AZE.1.2_1,AZE.9.3_1,2143.0,0
AZE.1.2_1,AZE.2.5_1,1855.0,0
AZE.1.2_1,AZE.6.4_1,139.0,0
AZE.1.2_1,AZE.2.3_1,2072.0,0
AZE.1.2_1,AZE.2.2_1,2590.0,0
AZE.1.2_1,AZE.6.7_1,1170.0,0
AZE.1.2_1,AZE.9.2_1,755.0,0
AZE.1.2_1,AZE.6.5_1,1443.0,0
AZE.1.2_1,AZE.2.4_1,2416.0,0
AZE.1.2_1,AZE.6.1_1,1654.0,0
AZE.1.2_1,AZE.2.18_1,39.0,0
AZE.1.2_1,AZE.10.3_1,1389.0,0
AZE.1.2_1,AZE.10.7_1,359.0,0
AZE.1.2_1,AZE.9.5_1,2529.0,0
AZE.1.2_1,AZE.10.1_1,2659.0,0
AZE.1.2_1,AZE.2.17_1,1601.0,0
AZE.1.2_1,AZE.9.6_1,34.0,0
AZE.1.2_1,AZE.2.11_1,1197.0,0
AZE.1.2_1,AZE.10.10_1,566.0,0
AZE.1.2_1,AZE.4.6_1,11.0,0
AZE.1.2_1,AZE.10.8_1,924.0,0
AZE.1.2_1,AZE.10.4_1,21.0,0
AZE.1.2_1,AZE.10.2_1,945.0,0
AZE.1.2_1,AZE.10.9_1,960.0,0
AZE.1.2_1,AZE.4.5_1,1259.0,0
AZE.1.2_1,AZE.10.5_1,28.0,0
AZE.1.2_1,AZE.9.4_1,610.0,0
AZE.1.2_1,AZE.10.6_1,310.0,0
AZE.1.2_1,AZE.5.2_1,296.0,0
AZE.1.2_1,AZE.4.9_1,696.0,0
AZE.1.2_1,AZE.5.4_1,452.0,0
AZE.1.2_1,AZE.4.4_1,3187.0,0
AZE.1.2_1,AZE.4.11_1,655.0,0
AZE.1.2_1,AZE.9.7_1,1240.0,0
AZE.1.2_1,AZE.5.5_1,413.0,0
AZE.1.2_1,AZE.5.3_1,693.0,0
AZE.1.2_1,AZE.5.1_1,625.0,0
AZE.1.2_1,AZE.4.2_1,320.0,0
AZE.1.2_1,AZE.9.1_1,846.0,0
AZE.1.2_1,AZE.4.8_1,1773.0,0
AZE.1.2_1,AZE.4.10_1,1401.0,0
AZE.1.2_1,AZE.4.3_1,803.0,0
AZE.1.2_1,AZE.7.4_1,374.0,0
AZE.1.2_1,AZE.7.7_1,203.0,0
AZE.1.2_1,AZE.7.2_1,323.0,0
AZE.1.2_1,AZE.4.1_1,699.0,0
AZE.1.2_1,AZE.7.1_1,995.0,0
AZE.1.2_1,AZE.7.3_1,424.0,0
AZE.1.2_1,AZE.4.7_1,636.0,0
AZE.1.2_1,AZE.7.6_1,646.0,0
AZE.1.2_1,AZE.7.5_1,102.0,0
AZE.1.3_1,AZE.1.2_1,29409.0,0
AZE.1.3_1,AZE.1.1_1,612.0,0
AZE.1.3_1,AZE.1.4_1,19.0,0
AZE.1.3_1,AZE.3.3_1,69.0,0
AZE.1.3_1,AZE.8.4_1,40.0,0
AZE.1.3_1,AZE.2.8_1,89.0,0
AZE.1.3_1,AZE.3.4_1,99.0,0
AZE.1.3_1,AZE.8.1_1,39.0,0
AZE.1.3_1,AZE.2.1_1,62.0,0
AZE.1.3_1,AZE.3.1_1,86.0,0
AZE.1.3_1,AZE.2.14_1,125.0,0
AZE.1.3_1,AZE.2.15_1,108.0,0
AZE.1.3_1,AZE.8.2_1,108.0,0
