origin,destination,flow,time
BDI.1.1_1,BDI.1.4_1,523.0,0
BDI.1.1_1,BDI.1.3_1,175.0,0
BDI.1.1_1,BDI.6.1_1,69.0,0
BDI.1.1_1,BDI.1.2_1,52.0,0
BDI.1.1_1,BDI.6.2_1,44.0,0
BDI.1.1_1,BDI.1.5_1,25.0,0
BDI.1.1_1,BDI.6.5_1,28.0,0
BDI.1.1_1,BDI.9.8_1,8.0,0
BDI.1.1_1,BDI.9.6_1,13.0,0
BDI.1.1_1,BDI.3.11_1,13.0,0
BDI.1.1_1,BDI.3.6_1,6.0,0
BDI.1.1_1,BDI.2.8_1,3.0,0
BDI.1.1_1,BDI.12.1_1,7.0,0
BDI.1.1_1,BDI.2.1_1,3.0,0
BDI.1.1_1,BDI.9.4_1,7.0,0
BDI.1.1_1,BDI.2.4_1,3.0,0
BDI.1.1_1,BDI.2.6_1,1.0,0
BDI.1.1_1,BDI.2.12_1,3.0,0
BDI.1.1_1,BDI.2.5_1,4.0,0
BDI.1.1_1,BDI.9.5_1,9.0,0
BDI.1.1_1,BDI.2.2_1,3.0,0
BDI.1.1_1,BDI.2.3_1,1.0,0
BDI.1.1_1,BDI.2.13_1,3.0,0
BDI.1.1_1,BDI.9.3_1,4.0,0
BDI.1.1_1,BDI.3.2_1,4.0,0
BDI.1.1_1,BDI.12.4_1,3.0,0
BDI.1.1_1,BDI.2.14_1,1.0,0
BDI.1.1_1,BDI.9.1_1,1.0,0
BDI.1.1_1,BDI.2.9_1,1.0,0
BDI.1.1_1,BDI.2.11_1,1.0,0
BDI.1.1_1,BDI.3.4_1,2.0,0
BDI.1.1_1,BDI.3.12_1,1.0,0
BDI.1.1_1,BDI.6.4_1,1.0,0
BDI.1.1_1,BDI.15.6_1,1.0,0
BDI.1.1_1,BDI.3.10_1,2.0,0
BDI.1.1_1,BDI.14.4_1,1.0,0
BDI.1.1_1,BDI.14.2_1,1.0,0
BDI.1.1_1,BDI.3.8_1,1.0,0
BDI.1.1_1,BDI.15.2_1,1.0,0
BDI.1.1_1,BDI.15.7_1,1.0,0
BDI.1.1_1,BDI.8.3_1,1.0,0
BDI.1.1_1,BDI.4.6_1,1.0,0
BDI.1.1_1,BDI.15.3_1,2.0,0
BDI.1.1_1,BDI.4.1_1,2.0,0
BDI.1.1_1,BDI.7.8_1,1.0,0
BDI.1.1_1,BDI.8.4_1,1.0,0
BDI.1.1_1,BDI.8.5_1,1.0,0
BDI.1.1_1,BDI.10.5_1,2.0,0
BDI.1.1_1,BDI.4.2_1,1.0,0
BDI.1.1_1,BDI.10.2_1,1.0,0
BDI.1.1_1,BDI.16.4_1,1.0,0
BDI.1.1_1,BDI.17.5_1,1.0,0
BDI.1.2_1,BDI.3.11_1,519.0,0
BDI.1.2_1,BDI.1.3_1,143.0,0
BDI.1.2_1,BDI.2.1_1,48.0,0
BDI.1.2_1,BDI.1.1_1,62.0,0
BDI.1.2_1,BDI.2.8_1,22.0,0
BDI.1.2_1,BDI.2.4_1,17.0,0
BDI.1.2_1,BDI.2.12_1,12.0,0
BDI.1.2_1,BDI.2.6_1,10.0,0
BDI.1.2_1,BDI.2.2_1,7.0,0
BDI.1.2_1,BDI.1.5_1,9.0,0
BDI.1.2_1,BDI.2.3_1,8.0,0
BDI.1.2_1,BDI.2.5_1,9.0,0
BDI.1.2_1,BDI.2.13_1,1.0,0
BDI.1.2_1,BDI.2.10_1,1.0,0
BDI.1.2_1,BDI.2.14_1,10.0,0
BDI.1.2_1,BDI.3.6_1,3.0,0
BDI.1.2_1,BDI.2.9_1,3.0,0
BDI.1.2_1,BDI.2.11_1,4.0,0
BDI.1.2_1,BDI.3.2_1,4.0,0
BDI.1.2_1,BDI.3.4_1,2.0,0
BDI.1.2_1,BDI.2.7_1,3.0,0
BDI.1.2_1,BDI.6.5_1,4.0,0
BDI.1.2_1,BDI.12.1_1,1.0,0
BDI.1.2_1,BDI.12.4_1,3.0,0
BDI.1.2_1,BDI.3.12_1,1.0,0
BDI.1.2_1,BDI.9.6_1,3.0,0
BDI.1.2_1,BDI.6.2_1,4.0,0
BDI.1.2_1,BDI.3.7_1,1.0,0
BDI.1.2_1,BDI.3.10_1,2.0,0
BDI.1.2_1,BDI.9.1_1,1.0,0
BDI.1.2_1,BDI.6.6_1,1.0,0
BDI.1.2_1,BDI.14.6_1,2.0,0
BDI.1.2_1,BDI.3.9_1,1.0,0
BDI.1.2_1,BDI.9.3_1,1.0,0
BDI.1.2_1,BDI.3.8_1,1.0,0
BDI.1.2_1,BDI.9.5_1,3.0,0
BDI.1.2_1,BDI.9.9_1,1.0,0
BDI.1.2_1,BDI.6.3_1,2.0,0
BDI.1.2_1,BDI.14.2_1,1.0,0
BDI.1.2_1,BDI.14.4_1,1.0,0
BDI.1.2_1,BDI.7.9_1,1.0,0
BDI.1.2_1,BDI.7.1_1,1.0,0
BDI.1.2_1,BDI.7.6_1,1.0,0
BDI.1.2_1,BDI.7.8_1,1.0,0
BDI.1.2_1,BDI.15.9_1,1.0,0
BDI.1.2_1,BDI.4.8_1,1.0,0
BDI.1.2_1,BDI.8.2_1,1.0,0
BDI.1.2_1,BDI.10.5_1,1.0,0
BDI.1.2_1,BDI.16.4_1,1.0,0
BDI.1.2_1,BDI.5.4_1,1.0,0
BDI.1.3_1,BDI.1.5_1,441.0,0
BDI.1.3_1,BDI.1.2_1,205.0,0
BDI.1.3_1,BDI.3.6_1,79.0,0
BDI.1.3_1,BDI.1.1_1,75.0,0
BDI.1.3_1,BDI.2.8_1,51.0,0
BDI.1.3_1,BDI.3.11_1,24.0,0
BDI.1.3_1,BDI.2.4_1,22.0,0
BDI.1.3_1,BDI.2.6_1,12.0,0
BDI.1.3_1,BDI.2.1_1,6.0,0
BDI.1.3_1,BDI.1.4_1,10.0,0
BDI.1.3_1,BDI.2.5_1,5.0,0
BDI.1.3_1,BDI.2.12_1,3.0,0
BDI.1.3_1,BDI.3.2_1,10.0,0
BDI.1.3_1,BDI.2.3_1,3.0,0
BDI.1.3_1,BDI.2.2_1,1.0,0
BDI.1.3_1,BDI.12.1_1,2.0,0
BDI.1.3_1,BDI.2.14_1,2.0,0
BDI.1.3_1,BDI.12.4_1,5.0,0
BDI.1.3_1,BDI.9.6_1,2.0,0
BDI.1.3_1,BDI.2.11_1,1.0,0
BDI.1.3_1,BDI.2.9_1,1.0,0
BDI.1.3_1,BDI.3.4_1,4.0,0
BDI.1.3_1,BDI.9.8_1,1.0,0
BDI.1.3_1,BDI.2.7_1,4.0,0
BDI.1.3_1,BDI.3.12_1,1.0,0
BDI.1.3_1,BDI.9.1_1,1.0,0
BDI.1.3_1,BDI.12.2_1,1.0,0
BDI.1.3_1,BDI.6.2_1,1.0,0
BDI.1.3_1,BDI.6.5_1,3.0,0
BDI.1.3_1,BDI.9.3_1,1.0,0
BDI.1.3_1,BDI.3.3_1,1.0,0
BDI.1.3_1,BDI.9.5_1,1.0,0
BDI.1.3_1,BDI.9.9_1,1.0,0
BDI.1.3_1,BDI.9.4_1,1.0,0
BDI.1.3_1,BDI.9.7_1,1.0,0
BDI.1.3_1,BDI.14.2_1,4.0,0
BDI.1.3_1,BDI.3.8_1,1.0,0
BDI.1.3_1,BDI.7.9_1,1.0,0
BDI.1.3_1,BDI.14.3_1,2.0,0
BDI.1.3_1,BDI.6.6_1,1.0,0
BDI.1.3_1,BDI.14.5_1,1.0,0
BDI.1.3_1,BDI.6.3_1,1.0,0
BDI.1.3_1,BDI.4.6_1,3.0,0
BDI.1.3_1,BDI.7.1_1,1.0,0
BDI.1.3_1,BDI.6.4_1,1.0,0
BDI.1.3_1,BDI.8.3_1,1.0,0
BDI.1.3_1,BDI.15.7_1,1.0,0
BDI.1.3_1,BDI.7.11_1,1.0,0
BDI.1.3_1,BDI.8.1_1,1.0,0
BDI.1.3_1,BDI.4.9_1,1.0,0
BDI.1.3_1,BDI.4.7_1,1.0,0
BDI.1.3_1,BDI.4.10_1,1.0,0
BDI.1.4_1,BDI.1.1_1,516.0,0
BDI.1.4_1,BDI.9.8_1,116.0,0
BDI.1.4_1,BDI.9.6_1,142.0,0
BDI.1.4_1,BDI.1.3_1,71.0,0
BDI.1.4_1,BDI.1.5_1,29.0,0
BDI.1.4_1,BDI.12.1_1,32.0,0
BDI.1.4_1,BDI.6.2_1,22.0,0
BDI.1.4_1,BDI.9.5_1,29.0,0
BDI.1.4_1,BDI.9.4_1,19.0,0
BDI.1.4_1,BDI.9.3_1,15.0,0
BDI.1.4_1,BDI.9.1_1,3.0,0
BDI.1.4_1,BDI.1.2_1,15.0,0
BDI.1.4_1,BDI.6.1_1,7.0,0
BDI.1.4_1,BDI.3.6_1,5.0,0
BDI.1.4_1,BDI.9.2_1,5.0,0
BDI.1.4_1,BDI.6.5_1,6.0,0
BDI.1.4_1,BDI.12.4_1,3.0,0
BDI.1.4_1,BDI.15.1_1,8.0,0
BDI.1.4_1,BDI.2.8_1,3.0,0
BDI.1.4_1,BDI.9.9_1,8.0,0
BDI.1.4_1,BDI.2.6_1,1.0,0
BDI.1.4_1,BDI.2.4_1,1.0,0
BDI.1.4_1,BDI.2.1_1,2.0,0
BDI.1.4_1,BDI.3.2_1,4.0,0
