origin,destination,flow,time
BEN.1_1,BEN.2_1,290940.0,0
BEN.1_1,BEN.4_1,145706.0,0
BEN.1_1,BEN.6_1,29602.0,0
BEN.1_1,BEN.5_1,25494.0,0
BEN.1_1,BEN.12_1,21857.0,0
BEN.1_1,BEN.11_1,12668.0,0
BEN.1_1,BEN.7_1,11172.0,0
BEN.1_1,BEN.10_1,13442.0,0
BEN.1_1,BEN.3_1,13070.0,0
BEN.1_1,BEN.9_1,3076.0,0
BEN.1_1,BEN.8_1,2945.0,0
BEN.2_1,BEN.6_1,218735.0,0
BEN.2_1,BEN.1_1,127876.0,0
BEN.2_1,BEN.4_1,68018.0,0
BEN.2_1,BEN.5_1,18653.0,0
BEN.2_1,BEN.12_1,16237.0,0
BEN.2_1,BEN.11_1,9227.0,0
BEN.2_1,BEN.7_1,8221.0,0
BEN.2_1,BEN.3_1,12829.0,0
BEN.2_1,BEN.9_1,3004.0,0
BEN.2_1,BEN.10_1,5840.0,0
BEN.2_1,BEN.8_1,2041.0,0
BEN.3_1,BEN.8_1,259958.0,0
BEN.3_1,BEN.10_1,306156.0,0
BEN.3_1,BEN.9_1,71924.0,0
BEN.3_1,BEN.7_1,78856.0,0
BEN.3_1,BEN.12_1,63758.0,0
BEN.3_1,BEN.11_1,36086.0,0
BEN.3_1,BEN.5_1,30911.0,0
BEN.3_1,BEN.6_1,21346.0,0
BEN.3_1,BEN.4_1,38674.0,0
BEN.3_1,BEN.2_1,18411.0,0
BEN.3_1,BEN.1_1,17620.0,0
BEN.4_1,BEN.6_1,276266.0,0
BEN.4_1,BEN.2_1,194566.0,0
BEN.4_1,BEN.1_1,117530.0,0
BEN.4_1,BEN.5_1,53171.0,0
BEN.4_1,BEN.12_1,45776.0,0
BEN.4_1,BEN.11_1,25968.0,0
BEN.4_1,BEN.7_1,23355.0,0
BEN.4_1,BEN.10_1,27802.0,0
BEN.4_1,BEN.3_1,27216.0,0
BEN.4_1,BEN.9_1,6480.0,0
