origin,destination,flow,time
BFA.1_1,BFA.9_1,10903.0,0
BFA.1_1,BFA.5_1,2403.0,0
BFA.1_1,BFA.10_1,1231.0,0
BFA.1_1,BFA.7_1,1707.0,0
BFA.1_1,BFA.13_1,205.0,0
BFA.1_1,BFA.11_1,181.0,0
BFA.1_1,BFA.6_1,170.0,0
BFA.1_1,BFA.2_1,185.0,0
BFA.1_1,BFA.4_1,213.0,0
BFA.1_1,BFA.3_1,194.0,0
BFA.1_1,BFA.12_1,154.0,0
BFA.1_1,BFA.8_1,152.0,0
BFA.2_1,BFA.9_1,7419.0,0
BFA.2_1,BFA.13_1,718.0,0
BFA.2_1,BFA.1_1,865.0,0
BFA.2_1,BFA.5_1,428.0,0
BFA.2_1,BFA.6_1,139.0,0
BFA.2_1,BFA.7_1,456.0,0
BFA.2_1,BFA.10_1,94.0,0
BFA.2_1,BFA.11_1,46.0,0
BFA.2_1,BFA.3_1,78.0,0
BFA.2_1,BFA.4_1,70.0,0
BFA.2_1,BFA.12_1,54.0,0
BFA.2_1,BFA.8_1,58.0,0
BFA.7_1,BFA.11_1,8416.0,0
BFA.7_1,BFA.6_1,5852.0,0
BFA.7_1,BFA.5_1,7330.0,0
BFA.7_1,BFA.4_1,4633.0,0
BFA.7_1,BFA.10_1,3094.0,0
BFA.7_1,BFA.3_1,2399.0,0
BFA.7_1,BFA.1_1,2039.0,0
BFA.7_1,BFA.12_1,1251.0,0
BFA.7_1,BFA.8_1,1373.0,0
BFA.7_1,BFA.13_1,521.0,0
BFA.7_1,BFA.9_1,1115.0,0
BFA.7_1,BFA.2_1,484.0,0
BFA.3_1,BFA.6_1,5856.0,0
BFA.3_1,BFA.8_1,4902.0,0
BFA.3_1,BFA.11_1,1053.0,0
BFA.3_1,BFA.7_1,2208.0,0
BFA.3_1,BFA.4_1,432.0,0
BFA.3_1,BFA.5_1,343.0,0
BFA.3_1,BFA.12_1,244.0,0
BFA.3_1,BFA.10_1,194.0,0
BFA.3_1,BFA.13_1,105.0,0
BFA.3_1,BFA.1_1,190.0,0
BFA.3_1,BFA.9_1,173.0,0
BFA.3_1,BFA.2_1,71.0,0
BFA.4_1,BFA.11_1,5934.0,0
BFA.4_1,BFA.12_1,4052.0,0
BFA.4_1,BFA.7_1,3598.0,0
BFA.4_1,BFA.10_1,556.0,0
BFA.4_1,BFA.6_1,251.0,0
BFA.4_1,BFA.3_1,410.0,0
BFA.4_1,BFA.5_1,278.0,0
BFA.4_1,BFA.8_1,245.0,0
BFA.4_1,BFA.1_1,208.0,0
BFA.4_1,BFA.13_1,81.0,0
BFA.4_1,BFA.9_1,189.0,0
BFA.4_1,BFA.2_1,65.0,0
BFA.5_1,BFA.7_1,11996.0,0
BFA.5_1,BFA.6_1,681.0,0
BFA.5_1,BFA.11_1,501.0,0
BFA.5_1,BFA.1_1,728.0,0
BFA.5_1,BFA.13_1,248.0,0
BFA.5_1,BFA.10_1,393.0,0
BFA.5_1,BFA.4_1,304.0,0
BFA.5_1,BFA.3_1,224.0,0
BFA.5_1,BFA.9_1,278.0,0
BFA.5_1,BFA.2_1,78.0,0
BFA.5_1,BFA.12_1,112.0,0
BFA.5_1,BFA.8_1,127.0,0
BFA.6_1,BFA.7_1,6890.0,0
BFA.6_1,BFA.11_1,216.0,0
BFA.6_1,BFA.5_1,284.0,0
BFA.6_1,BFA.3_1,193.0,0
BFA.6_1,BFA.4_1,127.0,0
BFA.6_1,BFA.10_1,94.0,0
BFA.6_1,BFA.8_1,87.0,0
BFA.6_1,BFA.13_1,31.0,0
BFA.6_1,BFA.1_1,56.0,0
BFA.6_1,BFA.12_1,41.0,0
BFA.6_1,BFA.9_1,34.0,0
BFA.6_1,BFA.2_1,18.0,0
BFA.8_1,BFA.3_1,9344.0,0
BFA.8_1,BFA.11_1,2193.0,0
BFA.8_1,BFA.4_1,2415.0,0
BFA.8_1,BFA.6_1,737.0,0
BFA.8_1,BFA.12_1,985.0,0
BFA.8_1,BFA.7_1,1552.0,0
BFA.8_1,BFA.5_1,362.0,0
BFA.8_1,BFA.10_1,274.0,0
BFA.8_1,BFA.1_1,267.0,0
BFA.8_1,BFA.13_1,112.0,0
