origin,destination,flow,time
BGR.1.1_1,BGR.1.5_1,4392.0,0
BGR.1.1_1,BGR.1.2_1,398.0,0
BGR.1.1_1,BGR.1.9_1,442.0,0
BGR.1.1_1,BGR.1.4_1,183.0,0
BGR.1.1_1,BGR.1.10_1,283.0,0
BGR.1.1_1,BGR.1.14_1,52.0,0
BGR.1.1_1,BGR.1.7_1,24.0,0
BGR.1.1_1,BGR.11.11_1,110.0,0
BGR.1.1_1,BGR.1.12_1,32.0,0
BGR.1.1_1,BGR.1.6_1,24.0,0
BGR.1.1_1,BGR.1.11_1,30.0,0
BGR.1.1_1,BGR.1.13_1,8.0,0
BGR.1.1_1,BGR.8.7_1,8.0,0
BGR.1.1_1,BGR.1.3_1,95.0,0
BGR.1.1_1,BGR.11.8_1,12.0,0
BGR.1.1_1,BGR.11.1_1,4.0,0
BGR.1.1_1,BGR.20.5_1,9.0,0
BGR.1.1_1,BGR.11.2_1,10.0,0
BGR.1.1_1,BGR.1.8_1,34.0,0
BGR.1.1_1,BGR.21.6_1,1.0,0
BGR.1.1_1,BGR.21.19_1,20.0,0
BGR.1.1_1,BGR.8.4_1,2.0,0
BGR.1.1_1,BGR.8.8_1,4.0,0
BGR.1.1_1,BGR.21.14_1,3.0,0
BGR.1.1_1,BGR.8.1_1,2.0,0
BGR.1.1_1,BGR.11.7_1,10.0,0
BGR.1.1_1,BGR.8.3_1,5.0,0
BGR.1.1_1,BGR.11.9_1,3.0,0
BGR.1.1_1,BGR.11.3_1,2.0,0
BGR.1.1_1,BGR.20.4_1,6.0,0
BGR.1.1_1,BGR.8.2_1,2.0,0
BGR.1.1_1,BGR.14.6_1,2.0,0
BGR.1.1_1,BGR.11.6_1,29.0,0
BGR.1.1_1,BGR.21.12_1,4.0,0
BGR.1.1_1,BGR.14.16_1,3.0,0
BGR.1.1_1,BGR.12.4_1,1.0,0
BGR.1.1_1,BGR.20.3_1,2.0,0
BGR.1.1_1,BGR.11.5_1,2.0,0
BGR.1.1_1,BGR.14.13_1,7.0,0
BGR.1.1_1,BGR.20.9_1,4.0,0
BGR.1.1_1,BGR.8.5_1,4.0,0
BGR.1.1_1,BGR.21.8_1,2.0,0
BGR.1.1_1,BGR.11.10_1,1.0,0
BGR.1.1_1,BGR.5.1_1,49.0,0
BGR.1.1_1,BGR.12.3_1,2.0,0
BGR.1.1_1,BGR.14.11_1,2.0,0
BGR.1.1_1,BGR.21.7_1,1.0,0
BGR.1.1_1,BGR.6.1_1,1.0,0
BGR.1.1_1,BGR.19.4_1,1.0,0
BGR.1.1_1,BGR.25.1_1,1.0,0
BGR.1.1_1,BGR.25.8_1,1.0,0
BGR.1.1_1,BGR.23.2_1,1.0,0
BGR.1.1_1,BGR.2.12_1,1.0,0
BGR.1.1_1,BGR.16.5_1,1.0,0
BGR.1.1_1,BGR.2.2_1,1.0,0
BGR.1.1_1,BGR.24.1_1,1.0,0
BGR.1.2_1,BGR.1.14_1,2465.0,0
BGR.1.2_1,BGR.1.9_1,1113.0,0
BGR.1.2_1,BGR.1.1_1,305.0,0
BGR.1.2_1,BGR.11.11_1,350.0,0
BGR.1.2_1,BGR.8.7_1,15.0,0
BGR.1.2_1,BGR.1.4_1,69.0,0
BGR.1.2_1,BGR.1.5_1,96.0,0
BGR.1.2_1,BGR.11.2_1,25.0,0
BGR.1.2_1,BGR.21.6_1,11.0,0
BGR.1.2_1,BGR.1.12_1,26.0,0
BGR.1.2_1,BGR.11.8_1,16.0,0
BGR.1.2_1,BGR.21.19_1,57.0,0
BGR.1.2_1,BGR.1.7_1,9.0,0
BGR.1.2_1,BGR.21.14_1,13.0,0
BGR.1.2_1,BGR.1.3_1,42.0,0
BGR.1.2_1,BGR.1.10_1,19.0,0
BGR.1.2_1,BGR.8.8_1,1.0,0
BGR.1.2_1,BGR.11.1_1,2.0,0
BGR.1.2_1,BGR.1.11_1,4.0,0
BGR.1.2_1,BGR.11.9_1,8.0,0
BGR.1.2_1,BGR.1.6_1,2.0,0
BGR.1.2_1,BGR.8.3_1,9.0,0
BGR.1.2_1,BGR.11.7_1,4.0,0
BGR.1.2_1,BGR.1.13_1,1.0,0
BGR.1.2_1,BGR.20.5_1,4.0,0
BGR.1.2_1,BGR.21.12_1,5.0,0
BGR.1.2_1,BGR.11.4_1,1.0,0
BGR.1.2_1,BGR.11.3_1,4.0,0
BGR.1.2_1,BGR.11.6_1,14.0,0
BGR.1.2_1,BGR.8.2_1,2.0,0
BGR.1.2_1,BGR.1.8_1,4.0,0
BGR.1.2_1,BGR.20.4_1,1.0,0
BGR.1.2_1,BGR.11.5_1,1.0,0
BGR.1.2_1,BGR.14.16_1,2.0,0
BGR.1.2_1,BGR.12.4_1,2.0,0
BGR.1.2_1,BGR.21.8_1,2.0,0
BGR.1.2_1,BGR.5.1_1,40.0,0
BGR.1.2_1,BGR.14.13_1,1.0,0
BGR.1.2_1,BGR.20.3_1,2.0,0
BGR.1.2_1,BGR.14.11_1,2.0,0
BGR.1.2_1,BGR.14.1_1,1.0,0
BGR.1.2_1,BGR.9.5_1,1.0,0
BGR.1.2_1,BGR.13.10_1,1.0,0
BGR.1.2_1,BGR.19.3_1,1.0,0
BGR.1.2_1,BGR.2.2_1,1.0,0
BGR.1.2_1,BGR.24.11_1,1.0,0
BGR.1.3_1,BGR.8.4_1,2214.0,0
BGR.1.3_1,BGR.1.12_1,5276.0,0
BGR.1.3_1,BGR.8.1_1,863.0,0
BGR.1.3_1,BGR.8.7_1,874.0,0
BGR.1.3_1,BGR.1.7_1,1359.0,0
BGR.1.3_1,BGR.8.6_1,699.0,0
BGR.1.3_1,BGR.1.9_1,3970.0,0
BGR.1.3_1,BGR.8.3_1,4796.0,0
BGR.1.3_1,BGR.8.8_1,629.0,0
BGR.1.3_1,BGR.8.2_1,682.0,0
BGR.1.3_1,BGR.1.13_1,501.0,0
BGR.1.3_1,BGR.1.2_1,742.0,0
BGR.1.3_1,BGR.1.1_1,873.0,0
BGR.1.3_1,BGR.21.19_1,2131.0,0
BGR.1.3_1,BGR.1.14_1,415.0,0
BGR.1.3_1,BGR.8.5_1,1727.0,0
BGR.1.3_1,BGR.12.4_1,510.0,0
BGR.1.3_1,BGR.1.10_1,840.0,0
BGR.1.3_1,BGR.1.8_1,883.0,0
BGR.1.3_1,BGR.1.5_1,417.0,0
BGR.1.3_1,BGR.12.2_1,29.0,0
BGR.1.3_1,BGR.21.6_1,50.0,0
BGR.1.3_1,BGR.12.3_1,1005.0,0
BGR.1.3_1,BGR.12.6_1,18.0,0
BGR.1.3_1,BGR.21.14_1,89.0,0
BGR.1.3_1,BGR.11.11_1,287.0,0
BGR.1.3_1,BGR.1.4_1,98.0,0
BGR.1.3_1,BGR.11.2_1,46.0,0
BGR.1.3_1,BGR.8.9_1,6.0,0
BGR.1.3_1,BGR.5.1_1,2950.0,0
