origin,destination,flow,time
BHS.1_1,BHS.10_1,4.0,0
BHS.1_1,BHS.17_1,6.0,0
BHS.1_1,BHS.12_1,1.0,0
BHS.1_1,BHS.21_1,1.0,0
BHS.2_1,BHS.28_1,10.0,0
BHS.2_1,BHS.21_1,2.0,0
BHS.3_1,BHS.23_1,15.0,0
BHS.3_1,BHS.7_1,4.0,0
BHS.3_1,BHS.2_1,3.0,0
BHS.3_1,BHS.32_1,4.0,0
BHS.4_1,BHS.12_1,18.0,0
BHS.4_1,BHS.30_1,1.0,0
BHS.5_1,BHS.30_1,18.0,0
BHS.5_1,BHS.12_1,4.0,0
BHS.5_1,BHS.21_1,4.0,0
BHS.6_1,BHS.15_1,11.0,0
BHS.6_1,BHS.20_1,7.0,0
BHS.6_1,BHS.28_1,63.0,0
BHS.6_1,BHS.22_1,15.0,0
BHS.6_1,BHS.11_1,56.0,0
BHS.6_1,BHS.31_1,2.0,0
BHS.6_1,BHS.2_1,1.0,0
BHS.6_1,BHS.24_1,4.0,0
BHS.6_1,BHS.32_1,13.0,0
BHS.6_1,BHS.21_1,22.0,0
BHS.7_1,BHS.18_1,7.0,0
BHS.7_1,BHS.23_1,11.0,0
BHS.7_1,BHS.29_1,1.0,0
BHS.7_1,BHS.21_1,10.0,0
BHS.8_1,BHS.30_1,19.0,0
BHS.8_1,BHS.14_1,1.0,0
BHS.8_1,BHS.5_1,1.0,0
BHS.8_1,BHS.21_1,1.0,0
BHS.9_1,BHS.32_1,20.0,0
BHS.9_1,BHS.11_1,1.0,0
BHS.10_1,BHS.1_1,4.0,0
BHS.10_1,BHS.17_1,2.0,0
BHS.11_1,BHS.32_1,286.0,0
BHS.11_1,BHS.9_1,8.0,0
BHS.11_1,BHS.22_1,15.0,0
BHS.11_1,BHS.20_1,1.0,0
BHS.11_1,BHS.6_1,38.0,0
BHS.11_1,BHS.28_1,14.0,0
BHS.11_1,BHS.2_1,2.0,0
BHS.11_1,BHS.31_1,1.0,0
BHS.11_1,BHS.21_1,141.0,0
BHS.11_1,BHS.24_1,1.0,0
BHS.12_1,BHS.4_1,13.0,0
BHS.12_1,BHS.5_1,15.0,0
BHS.12_1,BHS.17_1,27.0,0
BHS.12_1,BHS.30_1,27.0,0
BHS.12_1,BHS.27_1,5.0,0
BHS.12_1,BHS.8_1,7.0,0
BHS.12_1,BHS.29_1,5.0,0
BHS.12_1,BHS.18_1,3.0,0
BHS.12_1,BHS.24_1,11.0,0
BHS.12_1,BHS.10_1,2.0,0
BHS.12_1,BHS.21_1,76.0,0
BHS.12_1,BHS.20_1,1.0,0
BHS.12_1,BHS.11_1,1.0,0
BHS.13_1,BHS.11_1,2.0,0
BHS.14_1,BHS.31_1,10.0,0
BHS.14_1,BHS.24_1,2.0,0
BHS.14_1,BHS.28_1,2.0,0
BHS.15_1,BHS.22_1,6.0,0
BHS.15_1,BHS.6_1,1.0,0
BHS.16_1,BHS.19_1,1.0,0
