origin,destination,flow,time
BMU.1_1,BMU.9_1,1482.0,0
BMU.1_1,BMU.3_1,290.0,0
BMU.1_1,BMU.4_1,505.0,0
BMU.1_1,BMU.5_1,288.0,0
BMU.1_1,BMU.2_1,196.0,0
BMU.1_1,BMU.11_1,155.0,0
BMU.1_1,BMU.7_1,8.0,0
BMU.1_1,BMU.10_1,78.0,0
BMU.1_1,BMU.8_1,73.0,0
BMU.1_1,BMU.6_1,37.0,0
BMU.2_1,BMU.9_1,1347.0,0
BMU.2_1,BMU.7_1,101.0,0
BMU.2_1,BMU.1_1,628.0,0
BMU.2_1,BMU.6_1,180.0,0
BMU.2_1,BMU.3_1,53.0,0
BMU.2_1,BMU.4_1,111.0,0
BMU.2_1,BMU.5_1,90.0,0
BMU.2_1,BMU.11_1,86.0,0
BMU.2_1,BMU.8_1,67.0,0
BMU.2_1,BMU.10_1,29.0,0
BMU.3_1,BMU.5_1,641.0,0
BMU.3_1,BMU.4_1,81.0,0
BMU.3_1,BMU.1_1,46.0,0
BMU.3_1,BMU.11_1,19.0,0
BMU.3_1,BMU.9_1,9.0,0
BMU.3_1,BMU.10_1,10.0,0
BMU.3_1,BMU.8_1,10.0,0
BMU.3_1,BMU.2_1,4.0,0
BMU.3_1,BMU.7_1,1.0,0
BMU.3_1,BMU.6_1,3.0,0
BMU.4_1,BMU.3_1,651.0,0
BMU.4_1,BMU.5_1,824.0,0
BMU.4_1,BMU.1_1,413.0,0
BMU.4_1,BMU.11_1,219.0,0
BMU.4_1,BMU.9_1,65.0,0
BMU.4_1,BMU.10_1,74.0,0
BMU.4_1,BMU.2_1,47.0,0
BMU.4_1,BMU.8_1,46.0,0
BMU.4_1,BMU.7_1,1.0,0
BMU.4_1,BMU.6_1,24.0,0
BMU.5_1,BMU.3_1,731.0,0
BMU.5_1,BMU.4_1,856.0,0
BMU.5_1,BMU.11_1,434.0,0
BMU.5_1,BMU.1_1,182.0,0
BMU.5_1,BMU.8_1,101.0,0
BMU.5_1,BMU.10_1,69.0,0
BMU.5_1,BMU.9_1,65.0,0
BMU.5_1,BMU.2_1,34.0,0
BMU.5_1,BMU.7_1,10.0,0
BMU.5_1,BMU.6_1,18.0,0
BMU.6_1,BMU.7_1,299.0,0
BMU.6_1,BMU.2_1,1049.0,0
BMU.6_1,BMU.9_1,234.0,0
BMU.6_1,BMU.1_1,183.0,0
BMU.6_1,BMU.3_1,28.0,0
BMU.6_1,BMU.4_1,52.0,0
BMU.6_1,BMU.5_1,48.0,0
BMU.6_1,BMU.11_1,40.0,0
BMU.6_1,BMU.8_1,23.0,0
BMU.6_1,BMU.10_1,15.0,0
BMU.7_1,BMU.6_1,262.0,0
BMU.7_1,BMU.2_1,30.0,0
BMU.7_1,BMU.9_1,9.0,0
BMU.7_1,BMU.1_1,3.0,0
BMU.7_1,BMU.3_1,2.0,0
BMU.7_1,BMU.5_1,3.0,0
BMU.8_1,BMU.10_1,1465.0,0
BMU.8_1,BMU.11_1,560.0,0
BMU.8_1,BMU.5_1,184.0,0
BMU.8_1,BMU.3_1,62.0,0
BMU.8_1,BMU.4_1,89.0,0
BMU.8_1,BMU.1_1,89.0,0
BMU.8_1,BMU.9_1,41.0,0
BMU.8_1,BMU.2_1,57.0,0
BMU.8_1,BMU.7_1,2.0,0
BMU.8_1,BMU.6_1,28.0,0
BMU.9_1,BMU.2_1,1274.0,0
BMU.9_1,BMU.1_1,392.0,0
BMU.9_1,BMU.7_1,22.0,0
BMU.9_1,BMU.4_1,121.0,0
BMU.9_1,BMU.3_1,27.0,0
BMU.9_1,BMU.5_1,74.0,0
BMU.9_1,BMU.6_1,28.0,0
BMU.9_1,BMU.11_1,65.0,0
BMU.9_1,BMU.10_1,25.0,0
BMU.9_1,BMU.8_1,24.0,0
BMU.10_1,BMU.11_1,1635.0,0
BMU.10_1,BMU.8_1,340.0,0
BMU.10_1,BMU.5_1,193.0,0
BMU.10_1,BMU.3_1,44.0,0
BMU.10_1,BMU.4_1,107.0,0
BMU.10_1,BMU.1_1,81.0,0
BMU.10_1,BMU.9_1,35.0,0
BMU.10_1,BMU.2_1,48.0,0
BMU.10_1,BMU.7_1,4.0,0
BMU.10_1,BMU.6_1,30.0,0
BMU.11_1,BMU.4_1,1674.0,0
BMU.11_1,BMU.5_1,722.0,0
BMU.11_1,BMU.3_1,146.0,0
BMU.11_1,BMU.10_1,364.0,0
BMU.11_1,BMU.8_1,228.0,0
BMU.11_1,BMU.1_1,173.0,0
BMU.11_1,BMU.9_1,90.0,0
BMU.11_1,BMU.2_1,95.0,0
BMU.11_1,BMU.7_1,6.0,0
BMU.11_1,BMU.6_1,52.0,0
BMU.1_1,BMU.1_1,3112.13000488281,0
BMU.2_1,BMU.2_1,2692.76127433777,0
BMU.3_1,BMU.3_1,824.484771728515,0
BMU.4_1,BMU.4_1,2364.698776245115,0
BMU.5_1,BMU.5_1,2500.3602523803697,0
BMU.6_1,BMU.6_1,1971.898498535155,0
BMU.7_1,BMU.7_1,309.1610794067385,0
BMU.8_1,BMU.8_1,2577.452362060545,0
BMU.9_1,BMU.9_1,2052.857528686525,0
BMU.10_1,BMU.10_1,2517.69836425781,0
BMU.11_1,BMU.11_1,3550.439208984375,0
