origin,destination,flow,time
BOL.1_1,BOL.9_1,61207.0,0
BOL.1_1,BOL.7_1,29820.0,0
BOL.1_1,BOL.2_1,18261.0,0
BOL.1_1,BOL.5_1,2425.0,0
BOL.1_1,BOL.8_1,6897.0,0
BOL.1_1,BOL.4_1,2727.0,0
BOL.1_1,BOL.3_1,362.0,0
BOL.1_1,BOL.6_1,122.0,0
BOL.2_1,BOL.5_1,109456.0,0
BOL.2_1,BOL.1_1,70619.0,0
BOL.2_1,BOL.4_1,145541.0,0
BOL.2_1,BOL.3_1,12257.0,0
BOL.2_1,BOL.7_1,16748.0,0
BOL.2_1,BOL.8_1,36550.0,0
BOL.2_1,BOL.9_1,4271.0,0
BOL.2_1,BOL.6_1,1401.0,0
BOL.3_1,BOL.4_1,94168.0,0
BOL.3_1,BOL.2_1,5947.0,0
BOL.3_1,BOL.6_1,347.0,0
BOL.3_1,BOL.8_1,3554.0,0
BOL.3_1,BOL.5_1,367.0,0
BOL.3_1,BOL.1_1,368.0,0
BOL.3_1,BOL.7_1,469.0,0
BOL.3_1,BOL.9_1,264.0,0
BOL.4_1,BOL.2_1,324288.0,0
BOL.4_1,BOL.3_1,46773.0,0
BOL.4_1,BOL.5_1,42745.0,0
BOL.4_1,BOL.6_1,12224.0,0
BOL.4_1,BOL.7_1,49753.0,0
BOL.4_1,BOL.1_1,26457.0,0
BOL.4_1,BOL.8_1,90570.0,0
BOL.4_1,BOL.9_1,10743.0,0
BOL.5_1,BOL.7_1,75287.0,0
BOL.5_1,BOL.2_1,27156.0,0
BOL.5_1,BOL.4_1,9692.0,0
BOL.5_1,BOL.1_1,962.0,0
BOL.5_1,BOL.9_1,763.0,0
BOL.5_1,BOL.3_1,589.0,0
BOL.5_1,BOL.8_1,2469.0,0
BOL.5_1,BOL.6_1,127.0,0
BOL.6_1,BOL.3_1,28660.0,0
BOL.6_1,BOL.4_1,8333.0,0
BOL.6_1,BOL.2_1,712.0,0
BOL.6_1,BOL.5_1,143.0,0
BOL.6_1,BOL.8_1,436.0,0
BOL.6_1,BOL.1_1,47.0,0
BOL.6_1,BOL.7_1,63.0,0
BOL.6_1,BOL.9_1,26.0,0
BOL.7_1,BOL.5_1,77812.0,0
BOL.7_1,BOL.1_1,34988.0,0
BOL.7_1,BOL.9_1,18301.0,0
BOL.7_1,BOL.2_1,29170.0,0
BOL.7_1,BOL.4_1,15403.0,0
BOL.7_1,BOL.8_1,6895.0,0
BOL.7_1,BOL.3_1,769.0,0
BOL.7_1,BOL.6_1,258.0,0
BOL.8_1,BOL.1_1,140738.0,0
BOL.8_1,BOL.2_1,251015.0,0
BOL.8_1,BOL.9_1,41972.0,0
BOL.8_1,BOL.3_1,33747.0,0
BOL.8_1,BOL.7_1,47593.0,0
BOL.8_1,BOL.5_1,24969.0,0
BOL.8_1,BOL.4_1,87851.0,0
BOL.8_1,BOL.6_1,4022.0,0
BOL.9_1,BOL.1_1,60872.0,0
BOL.9_1,BOL.7_1,24613.0,0
BOL.9_1,BOL.5_1,6887.0,0
BOL.9_1,BOL.2_1,10441.0,0
BOL.9_1,BOL.8_1,5668.0,0
BOL.9_1,BOL.4_1,2304.0,0
BOL.9_1,BOL.3_1,277.0,0
BOL.9_1,BOL.6_1,92.0,0
BOL.1_1,BOL.1_1,487287.45667920087,0
BOL.2_1,BOL.2_1,1587375.0041560242,0
BOL.3_1,BOL.3_1,421937.5979413312,0
BOL.4_1,BOL.4_1,2414214.227952752,0
BOL.5_1,BOL.5_1,468181.6844633664,0
BOL.6_1,BOL.6_1,153683.96052338643,0
BOL.7_1,BOL.7_1,734385.925182088,0
BOL.8_1,BOL.8_1,2527630.7098711682,0
BOL.9_1,BOL.9_1,444618.0571619824,0
