origin,destination,flow,time
BRA.1_1,BRA.22_1,12445.0,0
BRA.1_1,BRA.4_1,3834.0,0
BRA.1_1,BRA.23_1,179.0,0
BRA.1_1,BRA.12_1,734.0,0
BRA.1_1,BRA.14_1,659.0,0
BRA.1_1,BRA.11_1,119.0,0
BRA.1_1,BRA.3_1,29.0,0
BRA.1_1,BRA.9_1,143.0,0
BRA.1_1,BRA.27_1,29.0,0
BRA.1_1,BRA.7_1,38.0,0
BRA.1_1,BRA.16_1,126.0,0
BRA.1_1,BRA.25_1,178.0,0
BRA.1_1,BRA.24_1,9.0,0
BRA.1_1,BRA.10_1,7.0,0
BRA.1_1,BRA.21_1,15.0,0
BRA.1_1,BRA.13_1,28.0,0
BRA.1_1,BRA.18_1,1.0,0
BRA.1_1,BRA.5_1,10.0,0
BRA.1_1,BRA.19_1,13.0,0
BRA.1_1,BRA.6_1,2.0,0
BRA.1_1,BRA.17_1,3.0,0
BRA.1_1,BRA.26_1,2.0,0
BRA.1_1,BRA.20_1,1.0,0
BRA.2_1,BRA.26_1,28637.0,0
BRA.2_1,BRA.17_1,25837.0,0
BRA.2_1,BRA.15_1,3236.0,0
BRA.2_1,BRA.20_1,1866.0,0
BRA.2_1,BRA.6_1,2959.0,0
BRA.2_1,BRA.5_1,2183.0,0
BRA.2_1,BRA.18_1,368.0,0
BRA.2_1,BRA.10_1,619.0,0
BRA.2_1,BRA.8_1,248.0,0
BRA.2_1,BRA.27_1,108.0,0
BRA.2_1,BRA.13_1,915.0,0
BRA.2_1,BRA.7_1,99.0,0
BRA.2_1,BRA.19_1,468.0,0
BRA.2_1,BRA.9_1,154.0,0
BRA.2_1,BRA.14_1,147.0,0
BRA.2_1,BRA.25_1,495.0,0
BRA.2_1,BRA.3_1,9.0,0
BRA.2_1,BRA.12_1,30.0,0
BRA.2_1,BRA.11_1,27.0,0
BRA.2_1,BRA.16_1,74.0,0
BRA.2_1,BRA.24_1,45.0,0
BRA.2_1,BRA.21_1,71.0,0
BRA.2_1,BRA.22_1,13.0,0
BRA.2_1,BRA.23_1,4.0,0
BRA.2_1,BRA.4_1,18.0,0
BRA.2_1,BRA.1_1,3.0,0
BRA.3_1,BRA.14_1,17195.0,0
BRA.3_1,BRA.10_1,660.0,0
BRA.3_1,BRA.23_1,32.0,0
BRA.3_1,BRA.27_1,62.0,0
BRA.3_1,BRA.18_1,133.0,0
BRA.3_1,BRA.4_1,130.0,0
BRA.3_1,BRA.6_1,169.0,0
BRA.3_1,BRA.12_1,35.0,0
BRA.3_1,BRA.22_1,19.0,0
BRA.3_1,BRA.20_1,29.0,0
BRA.3_1,BRA.17_1,71.0,0
BRA.3_1,BRA.5_1,57.0,0
BRA.3_1,BRA.15_1,14.0,0
BRA.3_1,BRA.9_1,16.0,0
BRA.3_1,BRA.7_1,6.0,0
BRA.3_1,BRA.26_1,6.0,0
BRA.3_1,BRA.2_1,4.0,0
BRA.3_1,BRA.13_1,37.0,0
BRA.3_1,BRA.1_1,4.0,0
BRA.3_1,BRA.11_1,4.0,0
BRA.3_1,BRA.8_1,2.0,0
BRA.3_1,BRA.25_1,32.0,0
BRA.3_1,BRA.19_1,5.0,0
BRA.3_1,BRA.16_1,4.0,0
BRA.3_1,BRA.24_1,2.0,0
BRA.3_1,BRA.21_1,7.0,0
BRA.4_1,BRA.22_1,26324.0,0
BRA.4_1,BRA.23_1,5985.0,0
BRA.4_1,BRA.1_1,6864.0,0
BRA.4_1,BRA.14_1,27767.0,0
BRA.4_1,BRA.12_1,3987.0,0
BRA.4_1,BRA.3_1,760.0,0
BRA.4_1,BRA.27_1,1284.0,0
BRA.4_1,BRA.11_1,1812.0,0
BRA.4_1,BRA.9_1,3117.0,0
BRA.4_1,BRA.10_1,2099.0,0
BRA.4_1,BRA.7_1,713.0,0
BRA.4_1,BRA.18_1,638.0,0
BRA.4_1,BRA.25_1,3830.0,0
BRA.4_1,BRA.16_1,424.0,0
BRA.4_1,BRA.5_1,481.0,0
BRA.4_1,BRA.13_1,481.0,0
BRA.4_1,BRA.6_1,162.0,0
BRA.4_1,BRA.24_1,110.0,0
BRA.4_1,BRA.17_1,152.0,0
BRA.4_1,BRA.21_1,114.0,0
BRA.4_1,BRA.26_1,33.0,0
BRA.4_1,BRA.15_1,58.0,0
BRA.4_1,BRA.19_1,156.0,0
BRA.4_1,BRA.20_1,24.0,0
BRA.4_1,BRA.8_1,31.0,0
BRA.4_1,BRA.2_1,37.0,0
BRA.5_1,BRA.26_1,43899.0,0
