origin,destination,flow,time
BTN.1.1_1,BTN.1.3_1,433.0,0
BTN.1.1_1,BTN.16.4_1,514.0,0
BTN.1.1_1,BTN.18.14_1,147.0,0
BTN.1.1_1,BTN.6.4_1,53.0,0
BTN.1.1_1,BTN.1.2_1,132.0,0
BTN.1.1_1,BTN.6.1_1,94.0,0
BTN.1.1_1,BTN.16.1_1,41.0,0
BTN.1.1_1,BTN.1.4_1,41.0,0
BTN.1.1_1,BTN.6.6_1,29.0,0
BTN.1.1_1,BTN.16.5_1,33.0,0
BTN.1.1_1,BTN.18.4_1,33.0,0
BTN.1.1_1,BTN.16.3_1,41.0,0
BTN.1.1_1,BTN.18.8_1,19.0,0
BTN.1.1_1,BTN.6.5_1,17.0,0
BTN.1.1_1,BTN.6.2_1,10.0,0
BTN.1.1_1,BTN.18.12_1,18.0,0
BTN.1.1_1,BTN.6.3_1,19.0,0
BTN.1.1_1,BTN.4.4_1,2.0,0
BTN.1.1_1,BTN.6.7_1,8.0,0
BTN.1.1_1,BTN.18.10_1,8.0,0
BTN.1.1_1,BTN.18.5_1,10.0,0
BTN.1.1_1,BTN.6.8_1,10.0,0
BTN.1.1_1,BTN.7.17_1,5.0,0
BTN.1.1_1,BTN.16.2_1,6.0,0
BTN.1.1_1,BTN.20.4_1,18.0,0
BTN.1.1_1,BTN.20.7_1,4.0,0
BTN.1.1_1,BTN.10.11_1,10.0,0
BTN.1.1_1,BTN.18.2_1,16.0,0
BTN.1.1_1,BTN.10.8_1,4.0,0
BTN.1.1_1,BTN.7.12_1,14.0,0
BTN.1.1_1,BTN.7.16_1,4.0,0
BTN.1.1_1,BTN.18.1_1,11.0,0
BTN.1.1_1,BTN.20.8_1,13.0,0
BTN.1.1_1,BTN.18.11_1,7.0,0
BTN.1.1_1,BTN.7.13_1,6.0,0
BTN.1.1_1,BTN.7.3_1,6.0,0
BTN.1.1_1,BTN.19.1_1,3.0,0
BTN.1.1_1,BTN.10.7_1,3.0,0
BTN.1.1_1,BTN.10.3_1,2.0,0
BTN.1.1_1,BTN.19.7_1,9.0,0
BTN.1.1_1,BTN.10.2_1,2.0,0
BTN.1.1_1,BTN.7.9_1,17.0,0
BTN.1.1_1,BTN.18.13_1,7.0,0
BTN.1.1_1,BTN.7.11_1,1.0,0
BTN.1.1_1,BTN.13.7_1,8.0,0
BTN.1.1_1,BTN.18.15_1,3.0,0
BTN.1.1_1,BTN.20.1_1,1.0,0
BTN.1.1_1,BTN.10.5_1,4.0,0
BTN.1.1_1,BTN.7.14_1,1.0,0
BTN.1.1_1,BTN.10.1_1,3.0,0
BTN.1.1_1,BTN.10.9_1,2.0,0
BTN.1.1_1,BTN.7.5_1,1.0,0
BTN.1.1_1,BTN.10.4_1,1.0,0
BTN.1.1_1,BTN.18.6_1,3.0,0
BTN.1.1_1,BTN.7.1_1,2.0,0
BTN.1.1_1,BTN.13.4_1,4.0,0
BTN.1.1_1,BTN.17.8_1,2.0,0
BTN.1.1_1,BTN.19.6_1,2.0,0
BTN.1.1_1,BTN.17.7_1,2.0,0
BTN.1.1_1,BTN.7.2_1,2.0,0
BTN.1.1_1,BTN.10.10_1,2.0,0
BTN.1.1_1,BTN.18.9_1,5.0,0
BTN.1.1_1,BTN.7.10_1,2.0,0
BTN.1.1_1,BTN.7.4_1,1.0,0
BTN.1.1_1,BTN.7.15_1,1.0,0
BTN.1.1_1,BTN.15.15_1,5.0,0
BTN.1.1_1,BTN.18.3_1,1.0,0
BTN.1.1_1,BTN.10.6_1,2.0,0
BTN.1.1_1,BTN.20.3_1,1.0,0
BTN.1.1_1,BTN.4.3_1,2.0,0
BTN.1.1_1,BTN.7.6_1,1.0,0
BTN.1.1_1,BTN.7.7_1,4.0,0
BTN.1.1_1,BTN.13.9_1,1.0,0
BTN.1.1_1,BTN.18.7_1,12.0,0
BTN.1.1_1,BTN.17.3_1,1.0,0
BTN.1.1_1,BTN.17.12_1,2.0,0
BTN.1.1_1,BTN.13.5_1,7.0,0
BTN.1.1_1,BTN.13.1_1,1.0,0
BTN.1.1_1,BTN.13.3_1,2.0,0
BTN.1.1_1,BTN.17.4_1,1.0,0
BTN.1.1_1,BTN.15.3_1,3.0,0
BTN.1.1_1,BTN.20.6_1,1.0,0
BTN.1.1_1,BTN.17.11_1,2.0,0
BTN.1.1_1,BTN.19.8_1,1.0,0
BTN.1.1_1,BTN.14.1_1,4.0,0
BTN.1.1_1,BTN.9.9_1,2.0,0
BTN.1.1_1,BTN.9.7_1,2.0,0
BTN.1.1_1,BTN.15.5_1,2.0,0
BTN.1.1_1,BTN.9.3_1,1.0,0
BTN.1.1_1,BTN.15.12_1,1.0,0
BTN.1.1_1,BTN.14.2_1,2.0,0
BTN.1.1_1,BTN.9.8_1,1.0,0
BTN.1.1_1,BTN.14.6_1,1.0,0
BTN.1.1_1,BTN.8.4_1,1.0,0
BTN.1.1_1,BTN.2.3_1,1.0,0
BTN.1.1_1,BTN.8.8_1,1.0,0
BTN.1.1_1,BTN.2.1_1,1.0,0
BTN.1.1_1,BTN.8.5_1,1.0,0
BTN.1.1_1,BTN.15.7_1,1.0,0
BTN.1.1_1,BTN.3.1_1,1.0,0
BTN.1.1_1,BTN.8.7_1,1.0,0
BTN.1.1_1,BTN.5.3_1,1.0,0
BTN.1.1_1,BTN.11.7_1,1.0,0
BTN.1.1_1,BTN.2.10_1,2.0,0
BTN.1.2_1,BTN.1.4_1,340.0,0
