origin,destination,flow,time
BWA.1.1_1,BWA.13.1_1,7265.0,0
BWA.1.1_1,BWA.1.7_1,144.0,0
BWA.1.1_1,BWA.1.5_1,12781.0,0
BWA.1.1_1,BWA.3.1_1,13106.0,0
BWA.1.1_1,BWA.11.1_1,7594.0,0
BWA.1.1_1,BWA.1.3_1,1880.0,0
BWA.1.1_1,BWA.1.6_1,4704.0,0
BWA.1.1_1,BWA.1.4_1,1569.0,0
BWA.1.1_1,BWA.1.8_1,2144.0,0
BWA.1.1_1,BWA.8.1_1,942.0,0
BWA.1.1_1,BWA.9.1_1,1896.0,0
BWA.1.1_1,BWA.1.2_1,299.0,0
BWA.1.1_1,BWA.4.1_1,218.0,0
BWA.1.1_1,BWA.14.1_1,916.0,0
BWA.1.1_1,BWA.10.1_1,29.0,0
BWA.1.1_1,BWA.9.2_1,118.0,0
BWA.1.1_1,BWA.15.2_1,65.0,0
BWA.1.1_1,BWA.15.1_1,123.0,0
BWA.1.1_1,BWA.15.3_1,100.0,0
BWA.1.1_1,BWA.15.4_1,131.0,0
BWA.1.1_1,BWA.2.1_1,46.0,0
BWA.1.1_1,BWA.12.1_1,147.0,0
BWA.1.1_1,BWA.5.1_1,87.0,0
BWA.1.1_1,BWA.7.2_1,28.0,0
BWA.1.1_1,BWA.12.2_1,75.0,0
BWA.1.1_1,BWA.7.3_1,45.0,0
BWA.1.2_1,BWA.16.1_1,7.0,0
BWA.1.2_1,BWA.1.8_1,28379.0,0
BWA.1.2_1,BWA.1.6_1,4947.0,0
BWA.1.2_1,BWA.12.1_1,1572.0,0
BWA.1.2_1,BWA.1.4_1,809.0,0
BWA.1.2_1,BWA.3.1_1,572.0,0
BWA.1.2_1,BWA.5.1_1,323.0,0
BWA.1.2_1,BWA.11.1_1,523.0,0
BWA.1.2_1,BWA.9.1_1,974.0,0
BWA.1.2_1,BWA.9.2_1,119.0,0
BWA.1.2_1,BWA.1.5_1,69.0,0
BWA.1.2_1,BWA.1.3_1,64.0,0
BWA.1.2_1,BWA.13.1_1,19.0,0
BWA.1.2_1,BWA.2.1_1,63.0,0
BWA.1.2_1,BWA.1.1_1,160.0,0
BWA.1.2_1,BWA.8.1_1,137.0,0
BWA.1.2_1,BWA.1.7_1,2.0,0
BWA.1.2_1,BWA.12.2_1,99.0,0
BWA.1.2_1,BWA.15.3_1,75.0,0
BWA.1.2_1,BWA.4.1_1,46.0,0
BWA.1.2_1,BWA.15.2_1,21.0,0
BWA.1.2_1,BWA.14.1_1,267.0,0
BWA.1.2_1,BWA.10.1_1,9.0,0
BWA.1.2_1,BWA.7.2_1,12.0,0
BWA.1.2_1,BWA.15.4_1,49.0,0
BWA.1.2_1,BWA.15.1_1,47.0,0
BWA.1.2_1,BWA.7.3_1,18.0,0
BWA.1.3_1,BWA.1.5_1,10516.0,0
BWA.1.3_1,BWA.1.4_1,5470.0,0
BWA.1.3_1,BWA.1.7_1,13.0,0
BWA.1.3_1,BWA.8.1_1,1999.0,0
BWA.1.3_1,BWA.1.6_1,1173.0,0
BWA.1.3_1,BWA.13.1_1,61.0,0
BWA.1.3_1,BWA.1.1_1,364.0,0
BWA.1.3_1,BWA.9.1_1,538.0,0
BWA.1.3_1,BWA.4.1_1,56.0,0
BWA.1.3_1,BWA.3.1_1,51.0,0
BWA.1.3_1,BWA.11.1_1,84.0,0
BWA.1.3_1,BWA.14.1_1,179.0,0
BWA.1.3_1,BWA.10.1_1,5.0,0
BWA.1.3_1,BWA.9.2_1,15.0,0
BWA.1.3_1,BWA.1.2_1,24.0,0
BWA.1.3_1,BWA.15.2_1,10.0,0
BWA.1.3_1,BWA.15.1_1,13.0,0
BWA.1.3_1,BWA.1.8_1,45.0,0
BWA.1.3_1,BWA.15.3_1,15.0,0
BWA.1.3_1,BWA.15.4_1,18.0,0
BWA.1.3_1,BWA.5.1_1,6.0,0
BWA.1.3_1,BWA.12.1_1,21.0,0
BWA.1.3_1,BWA.7.3_1,4.0,0
BWA.1.3_1,BWA.7.2_1,2.0,0
BWA.1.3_1,BWA.2.1_1,5.0,0
BWA.1.3_1,BWA.12.2_1,13.0,0
BWA.1.4_1,BWA.1.3_1,14590.0,0
BWA.1.4_1,BWA.9.1_1,23026.0,0
BWA.1.4_1,BWA.8.1_1,1708.0,0
BWA.1.4_1,BWA.1.6_1,1549.0,0
BWA.1.4_1,BWA.1.5_1,288.0,0
BWA.1.4_1,BWA.4.1_1,336.0,0
BWA.1.4_1,BWA.1.7_1,3.0,0
BWA.1.4_1,BWA.14.1_1,1386.0,0
BWA.1.4_1,BWA.13.1_1,41.0,0
BWA.1.4_1,BWA.9.2_1,128.0,0
BWA.1.4_1,BWA.10.1_1,41.0,0
BWA.1.4_1,BWA.1.1_1,232.0,0
BWA.1.4_1,BWA.15.2_1,61.0,0
BWA.1.4_1,BWA.1.2_1,167.0,0
BWA.1.4_1,BWA.3.1_1,148.0,0
BWA.1.4_1,BWA.15.3_1,119.0,0
BWA.1.4_1,BWA.15.1_1,87.0,0
BWA.1.4_1,BWA.11.1_1,131.0,0
BWA.1.4_1,BWA.15.4_1,99.0,0
BWA.1.4_1,BWA.1.8_1,174.0,0
BWA.1.4_1,BWA.5.1_1,60.0,0
BWA.1.4_1,BWA.12.1_1,95.0,0
BWA.1.4_1,BWA.7.2_1,23.0,0
BWA.1.4_1,BWA.7.3_1,28.0,0
BWA.1.4_1,BWA.2.1_1,17.0,0
BWA.1.4_1,BWA.12.2_1,49.0,0
BWA.1.5_1,BWA.1.7_1,185.0,0
BWA.1.5_1,BWA.1.3_1,10419.0,0
BWA.1.5_1,BWA.13.1_1,1720.0,0
BWA.1.5_1,BWA.1.1_1,4848.0,0
BWA.1.5_1,BWA.1.6_1,1902.0,0
BWA.1.5_1,BWA.1.4_1,452.0,0
BWA.1.5_1,BWA.3.1_1,297.0,0
BWA.1.5_1,BWA.11.1_1,273.0,0
BWA.1.5_1,BWA.8.1_1,211.0,0
BWA.1.5_1,BWA.9.1_1,351.0,0
BWA.1.5_1,BWA.4.1_1,36.0,0
BWA.1.5_1,BWA.1.2_1,45.0,0
BWA.1.5_1,BWA.1.8_1,75.0,0
BWA.1.5_1,BWA.14.1_1,136.0,0
BWA.1.5_1,BWA.10.1_1,4.0,0
BWA.1.5_1,BWA.9.2_1,11.0,0
BWA.1.5_1,BWA.15.2_1,5.0,0
BWA.1.5_1,BWA.15.1_1,14.0,0
BWA.1.5_1,BWA.15.3_1,21.0,0
BWA.1.5_1,BWA.15.4_1,18.0,0
BWA.1.5_1,BWA.12.1_1,23.0,0
BWA.1.5_1,BWA.5.1_1,10.0,0
BWA.1.5_1,BWA.2.1_1,3.0,0
BWA.1.5_1,BWA.7.2_1,5.0,0
BWA.1.5_1,BWA.7.3_1,7.0,0
BWA.1.5_1,BWA.12.2_1,12.0,0
BWA.1.6_1,BWA.1.5_1,18004.0,0
BWA.1.6_1,BWA.1.4_1,21781.0,0
BWA.1.6_1,BWA.1.3_1,6242.0,0
BWA.1.6_1,BWA.3.1_1,9414.0,0
BWA.1.6_1,BWA.13.1_1,1354.0,0
