origin,destination,flow,time
CAF.1_1,CAF.10_1,2219.0,0
CAF.1_1,CAF.13_1,502.0,0
CAF.1_1,CAF.17_1,29.0,0
CAF.1_1,CAF.5_1,53.0,0
CAF.1_1,CAF.6_1,43.0,0
CAF.1_1,CAF.15_1,81.0,0
CAF.1_1,CAF.3_1,18.0,0
CAF.1_1,CAF.9_1,10.0,0
CAF.1_1,CAF.12_1,25.0,0
CAF.1_1,CAF.2_1,4.0,0
CAF.1_1,CAF.14_1,10.0,0
CAF.1_1,CAF.7_1,1.0,0
CAF.1_1,CAF.4_1,1.0,0
CAF.1_1,CAF.11_1,3.0,0
CAF.1_1,CAF.8_1,6.0,0
CAF.2_1,CAF.12_1,11652.0,0
CAF.2_1,CAF.7_1,586.0,0
CAF.2_1,CAF.6_1,175.0,0
CAF.2_1,CAF.16_1,147.0,0
CAF.2_1,CAF.15_1,382.0,0
CAF.2_1,CAF.8_1,266.0,0
CAF.2_1,CAF.13_1,161.0,0
CAF.2_1,CAF.3_1,137.0,0
CAF.2_1,CAF.10_1,48.0,0
CAF.2_1,CAF.14_1,140.0,0
CAF.2_1,CAF.11_1,68.0,0
CAF.2_1,CAF.1_1,9.0,0
CAF.2_1,CAF.9_1,35.0,0
CAF.2_1,CAF.5_1,16.0,0
CAF.2_1,CAF.17_1,14.0,0
CAF.2_1,CAF.4_1,5.0,0
CAF.3_1,CAF.13_1,9610.0,0
CAF.3_1,CAF.9_1,2017.0,0
CAF.3_1,CAF.6_1,953.0,0
CAF.3_1,CAF.2_1,1128.0,0
CAF.3_1,CAF.5_1,386.0,0
CAF.3_1,CAF.10_1,421.0,0
CAF.3_1,CAF.12_1,1450.0,0
CAF.3_1,CAF.1_1,58.0,0
CAF.3_1,CAF.7_1,220.0,0
CAF.3_1,CAF.15_1,272.0,0
CAF.3_1,CAF.4_1,35.0,0
CAF.3_1,CAF.17_1,33.0,0
CAF.3_1,CAF.16_1,62.0,0
CAF.3_1,CAF.8_1,210.0,0
CAF.3_1,CAF.14_1,169.0,0
CAF.3_1,CAF.11_1,74.0,0
CAF.4_1,CAF.9_1,2913.0,0
CAF.4_1,CAF.5_1,342.0,0
CAF.4_1,CAF.3_1,334.0,0
CAF.4_1,CAF.17_1,43.0,0
CAF.4_1,CAF.13_1,117.0,0
CAF.4_1,CAF.1_1,14.0,0
CAF.4_1,CAF.6_1,29.0,0
CAF.4_1,CAF.10_1,41.0,0
CAF.4_1,CAF.2_1,36.0,0
CAF.4_1,CAF.12_1,59.0,0
CAF.4_1,CAF.15_1,17.0,0
CAF.4_1,CAF.7_1,12.0,0
CAF.4_1,CAF.14_1,7.0,0
CAF.4_1,CAF.16_1,2.0,0
CAF.4_1,CAF.8_1,4.0,0
CAF.4_1,CAF.11_1,5.0,0
CAF.5_1,CAF.9_1,4050.0,0
CAF.5_1,CAF.17_1,400.0,0
CAF.5_1,CAF.1_1,226.0,0
CAF.5_1,CAF.13_1,768.0,0
CAF.5_1,CAF.4_1,75.0,0
CAF.5_1,CAF.3_1,249.0,0
CAF.5_1,CAF.10_1,67.0,0
CAF.5_1,CAF.6_1,55.0,0
CAF.5_1,CAF.15_1,123.0,0
CAF.5_1,CAF.2_1,45.0,0
CAF.5_1,CAF.12_1,93.0,0
CAF.5_1,CAF.7_1,24.0,0
CAF.5_1,CAF.14_1,34.0,0
CAF.5_1,CAF.8_1,17.0,0
CAF.5_1,CAF.11_1,6.0,0
CAF.5_1,CAF.16_1,6.0,0
CAF.6_1,CAF.10_1,4170.0,0
CAF.6_1,CAF.12_1,3289.0,0
CAF.6_1,CAF.13_1,191.0,0
CAF.6_1,CAF.2_1,82.0,0
CAF.6_1,CAF.15_1,129.0,0
CAF.6_1,CAF.3_1,65.0,0
CAF.6_1,CAF.7_1,63.0,0
CAF.6_1,CAF.1_1,7.0,0
CAF.6_1,CAF.14_1,65.0,0
CAF.6_1,CAF.8_1,36.0,0
CAF.6_1,CAF.16_1,10.0,0
CAF.6_1,CAF.11_1,25.0,0
CAF.6_1,CAF.5_1,7.0,0
CAF.6_1,CAF.9_1,11.0,0
CAF.6_1,CAF.17_1,5.0,0
CAF.6_1,CAF.4_1,4.0,0
CAF.7_1,CAF.2_1,8150.0,0
CAF.7_1,CAF.12_1,6358.0,0
CAF.7_1,CAF.16_1,284.0,0
CAF.7_1,CAF.8_1,741.0,0
CAF.7_1,CAF.6_1,175.0,0
CAF.7_1,CAF.11_1,267.0,0
CAF.7_1,CAF.15_1,324.0,0
CAF.7_1,CAF.14_1,285.0,0
CAF.7_1,CAF.10_1,57.0,0
CAF.7_1,CAF.13_1,143.0,0
CAF.7_1,CAF.3_1,99.0,0
CAF.7_1,CAF.1_1,9.0,0
CAF.7_1,CAF.9_1,72.0,0
CAF.7_1,CAF.5_1,24.0,0
CAF.7_1,CAF.17_1,14.0,0
CAF.7_1,CAF.4_1,11.0,0
CAF.8_1,CAF.16_1,6197.0,0
CAF.8_1,CAF.11_1,7081.0,0
CAF.8_1,CAF.7_1,3617.0,0
CAF.8_1,CAF.12_1,4669.0,0
CAF.8_1,CAF.14_1,1165.0,0
CAF.8_1,CAF.2_1,401.0,0
CAF.8_1,CAF.15_1,586.0,0
CAF.8_1,CAF.6_1,149.0,0
CAF.8_1,CAF.10_1,137.0,0
CAF.8_1,CAF.13_1,284.0,0
CAF.8_1,CAF.3_1,210.0,0
