origin,destination,flow,time
CAN.1_1,CAN.12_1,52853.0,0
CAN.1_1,CAN.2_1,93242.0,0
CAN.1_1,CAN.3_1,12041.0,0
CAN.1_1,CAN.6_1,336.0,0
CAN.1_1,CAN.13_1,374.0,0
CAN.1_1,CAN.9_1,50431.0,0
CAN.1_1,CAN.8_1,48.0,0
CAN.1_1,CAN.11_1,10127.0,0
CAN.1_1,CAN.4_1,705.0,0
CAN.1_1,CAN.5_1,407.0,0
CAN.1_1,CAN.10_1,139.0,0
CAN.1_1,CAN.7_1,756.0,0
CAN.2_1,CAN.1_1,134661.0,0
CAN.2_1,CAN.13_1,656.0,0
CAN.2_1,CAN.12_1,16510.0,0
CAN.2_1,CAN.6_1,530.0,0
CAN.2_1,CAN.3_1,14844.0,0
CAN.2_1,CAN.8_1,332.0,0
CAN.2_1,CAN.9_1,64303.0,0
CAN.2_1,CAN.11_1,12784.0,0
CAN.2_1,CAN.5_1,644.0,0
CAN.2_1,CAN.4_1,879.0,0
CAN.2_1,CAN.10_1,156.0,0
CAN.2_1,CAN.7_1,939.0,0
CAN.3_1,CAN.12_1,32530.0,0
CAN.3_1,CAN.9_1,31427.0,0
CAN.3_1,CAN.1_1,1190.0,0
CAN.3_1,CAN.11_1,1159.0,0
CAN.3_1,CAN.6_1,5.0,0
CAN.3_1,CAN.2_1,449.0,0
CAN.3_1,CAN.8_1,2.0,0
CAN.3_1,CAN.13_1,6.0,0
CAN.3_1,CAN.4_1,61.0,0
CAN.3_1,CAN.5_1,30.0,0
CAN.3_1,CAN.10_1,15.0,0
CAN.3_1,CAN.7_1,82.0,0
CAN.4_1,CAN.10_1,6294.0,0
CAN.4_1,CAN.7_1,17036.0,0
CAN.4_1,CAN.5_1,3661.0,0
CAN.4_1,CAN.11_1,10355.0,0
CAN.4_1,CAN.9_1,1684.0,0
CAN.4_1,CAN.3_1,72.0,0
CAN.4_1,CAN.12_1,45.0,0
CAN.4_1,CAN.1_1,140.0,0
CAN.4_1,CAN.2_1,126.0,0
CAN.5_1,CAN.10_1,5660.0,0
CAN.5_1,CAN.11_1,18676.0,0
CAN.5_1,CAN.4_1,124.0,0
CAN.5_1,CAN.7_1,140.0,0
CAN.5_1,CAN.9_1,685.0,0
CAN.5_1,CAN.3_1,29.0,0
CAN.5_1,CAN.12_1,23.0,0
CAN.5_1,CAN.1_1,60.0,0
CAN.5_1,CAN.6_1,1.0,0
CAN.5_1,CAN.2_1,67.0,0
CAN.5_1,CAN.13_1,1.0,0
CAN.6_1,CAN.13_1,1030.0,0
CAN.6_1,CAN.1_1,997.0,0
CAN.6_1,CAN.2_1,12.0,0
CAN.6_1,CAN.12_1,1.0,0
CAN.6_1,CAN.3_1,1.0,0
CAN.6_1,CAN.9_1,3.0,0
CAN.6_1,CAN.11_1,2.0,0
CAN.7_1,CAN.10_1,6446.0,0
CAN.7_1,CAN.4_1,17474.0,0
CAN.7_1,CAN.5_1,5076.0,0
CAN.7_1,CAN.11_1,14339.0,0
CAN.7_1,CAN.9_1,2326.0,0
CAN.7_1,CAN.3_1,69.0,0
CAN.7_1,CAN.12_1,74.0,0
CAN.7_1,CAN.8_1,2.0,0
CAN.7_1,CAN.1_1,229.0,0
CAN.7_1,CAN.6_1,1.0,0
CAN.7_1,CAN.2_1,195.0,0
CAN.7_1,CAN.13_1,1.0,0
CAN.8_1,CAN.6_1,908.0,0
CAN.8_1,CAN.3_1,644.0,0
CAN.8_1,CAN.12_1,16.0,0
CAN.8_1,CAN.11_1,15.0,0
CAN.8_1,CAN.1_1,1.0,0
CAN.8_1,CAN.9_1,4.0,0
CAN.9_1,CAN.3_1,99803.0,0
CAN.9_1,CAN.11_1,371604.0,0
CAN.9_1,CAN.12_1,32943.0,0
CAN.9_1,CAN.4_1,20238.0,0
CAN.9_1,CAN.10_1,3571.0,0
CAN.9_1,CAN.7_1,22196.0,0
CAN.9_1,CAN.5_1,11728.0,0
CAN.9_1,CAN.1_1,84873.0,0
