origin,destination,flow,time
CHE.1_1,CHE.4_1,4396.0,0
CHE.1_1,CHE.26_1,6266.0,0
CHE.1_1,CHE.12_1,569.0,0
CHE.1_1,CHE.25_1,144.0,0
CHE.1_1,CHE.19_1,224.0,0
CHE.1_1,CHE.5_1,139.0,0
CHE.1_1,CHE.17_1,63.0,0
CHE.1_1,CHE.14_1,30.0,0
CHE.1_1,CHE.18_1,119.0,0
CHE.1_1,CHE.15_1,18.0,0
CHE.1_1,CHE.20_1,153.0,0
CHE.1_1,CHE.11_1,41.0,0
CHE.1_1,CHE.6_1,475.0,0
CHE.1_1,CHE.22_1,18.0,0
CHE.1_1,CHE.9_1,11.0,0
CHE.1_1,CHE.16_1,134.0,0
CHE.1_1,CHE.2_1,16.0,0
CHE.1_1,CHE.3_1,5.0,0
CHE.1_1,CHE.7_1,86.0,0
CHE.1_1,CHE.13_1,47.0,0
CHE.1_1,CHE.21_1,81.0,0
CHE.1_1,CHE.10_1,41.0,0
CHE.1_1,CHE.23_1,68.0,0
CHE.1_1,CHE.24_1,126.0,0
CHE.1_1,CHE.8_1,59.0,0
CHE.2_1,CHE.3_1,272.0,0
CHE.2_1,CHE.16_1,736.0,0
CHE.2_1,CHE.20_1,37.0,0
CHE.2_1,CHE.9_1,3.0,0
CHE.2_1,CHE.26_1,33.0,0
CHE.2_1,CHE.18_1,10.0,0
CHE.2_1,CHE.17_1,3.0,0
CHE.2_1,CHE.10_1,3.0,0
CHE.2_1,CHE.1_1,4.0,0
CHE.2_1,CHE.12_1,3.0,0
CHE.2_1,CHE.4_1,4.0,0
CHE.2_1,CHE.21_1,2.0,0
CHE.2_1,CHE.19_1,1.0,0
CHE.2_1,CHE.6_1,2.0,0
CHE.2_1,CHE.23_1,1.0,0
CHE.2_1,CHE.13_1,1.0,0
CHE.3_1,CHE.2_1,257.0,0
CHE.3_1,CHE.16_1,79.0,0
CHE.3_1,CHE.20_1,4.0,0
CHE.3_1,CHE.9_1,1.0,0
CHE.3_1,CHE.18_1,1.0,0
CHE.3_1,CHE.26_1,4.0,0
CHE.3_1,CHE.21_1,1.0,0
CHE.4_1,CHE.5_1,2206.0,0
CHE.4_1,CHE.19_1,1463.0,0
CHE.4_1,CHE.1_1,1127.0,0
CHE.4_1,CHE.11_1,70.0,0
CHE.4_1,CHE.12_1,248.0,0
CHE.4_1,CHE.6_1,354.0,0
CHE.4_1,CHE.25_1,23.0,0
CHE.4_1,CHE.26_1,208.0,0
CHE.4_1,CHE.17_1,6.0,0
CHE.4_1,CHE.15_1,3.0,0
CHE.4_1,CHE.14_1,4.0,0
CHE.4_1,CHE.13_1,12.0,0
CHE.4_1,CHE.18_1,9.0,0
CHE.4_1,CHE.7_1,19.0,0
CHE.4_1,CHE.20_1,13.0,0
CHE.4_1,CHE.9_1,2.0,0
CHE.4_1,CHE.16_1,26.0,0
CHE.4_1,CHE.2_1,2.0,0
CHE.4_1,CHE.24_1,38.0,0
CHE.4_1,CHE.23_1,9.0,0
CHE.4_1,CHE.21_1,11.0,0
CHE.4_1,CHE.10_1,5.0,0
CHE.4_1,CHE.8_1,7.0,0
CHE.5_1,CHE.4_1,2119.0,0
CHE.5_1,CHE.19_1,443.0,0
CHE.5_1,CHE.11_1,80.0,0
CHE.5_1,CHE.1_1,328.0,0
CHE.5_1,CHE.12_1,74.0,0
