origin,destination,flow,time
CHL.1.1_1,CHL.1.3_1,458.0,0
CHL.1.1_1,CHL.1.4_1,17.0,0
CHL.1.1_1,CHL.9.4_1,28.0,0
CHL.1.1_1,CHL.1.2_1,7.0,0
CHL.1.1_1,CHL.9.1_1,115.0,0
CHL.1.1_1,CHL.9.2_1,52.0,0
CHL.1.1_1,CHL.9.3_1,5.0,0
CHL.1.1_1,CHL.10.1_1,2.0,0
CHL.1.1_1,CHL.11.4_1,1.0,0
CHL.1.1_1,CHL.10.2_1,5.0,0
CHL.1.1_1,CHL.3.1_1,3.0,0
CHL.1.1_1,CHL.6.1_1,2.0,0
CHL.1.1_1,CHL.6.3_1,3.0,0
CHL.1.1_1,CHL.13.1_1,2.0,0
CHL.1.1_1,CHL.12.3_1,1.0,0
CHL.1.1_1,CHL.14.3_1,1.0,0
CHL.1.1_1,CHL.14.5_1,1.0,0
CHL.1.2_1,CHL.1.4_1,67.0,0
CHL.1.2_1,CHL.1.1_1,13.0,0
CHL.1.2_1,CHL.11.4_1,1.0,0
CHL.1.2_1,CHL.9.4_1,1.0,0
CHL.1.2_1,CHL.11.2_1,3.0,0
CHL.1.3_1,CHL.1.1_1,447.0,0
CHL.1.3_1,CHL.1.4_1,75.0,0
CHL.1.3_1,CHL.9.4_1,101.0,0
CHL.1.3_1,CHL.9.1_1,415.0,0
CHL.1.3_1,CHL.1.2_1,1.0,0
CHL.1.3_1,CHL.9.2_1,145.0,0
CHL.1.3_1,CHL.9.3_1,22.0,0
CHL.1.3_1,CHL.10.1_1,5.0,0
CHL.1.3_1,CHL.10.2_1,16.0,0
CHL.1.3_1,CHL.11.4_1,1.0,0
CHL.1.3_1,CHL.3.1_1,18.0,0
CHL.1.3_1,CHL.6.1_1,1.0,0
CHL.1.3_1,CHL.6.2_1,3.0,0
CHL.1.3_1,CHL.13.1_1,3.0,0
CHL.1.3_1,CHL.6.3_1,5.0,0
CHL.1.3_1,CHL.12.4_1,2.0,0
CHL.1.3_1,CHL.8.1_1,1.0,0
CHL.1.3_1,CHL.14.3_1,6.0,0
CHL.1.3_1,CHL.14.2_1,4.0,0
CHL.1.3_1,CHL.14.6_1,1.0,0
CHL.1.3_1,CHL.16.7_1,1.0,0
CHL.1.4_1,CHL.1.1_1,134.0,0
CHL.1.4_1,CHL.1.3_1,26.0,0
CHL.1.4_1,CHL.1.2_1,1.0,0
CHL.1.4_1,CHL.9.1_1,5.0,0
CHL.1.4_1,CHL.11.4_1,4.0,0
CHL.1.4_1,CHL.9.2_1,3.0,0
CHL.1.4_1,CHL.9.3_1,1.0,0
CHL.2.1_1,CHL.2.2_1,2400.0,0
CHL.2.1_1,CHL.5.1_1,296.0,0
CHL.2.1_1,CHL.2.3_1,408.0,0
CHL.2.1_1,CHL.5.2_1,1417.0,0
CHL.2.1_1,CHL.15.1_1,1500.0,0
CHL.2.1_1,CHL.5.3_1,141.0,0
CHL.2.1_1,CHL.4.1_1,332.0,0
CHL.2.1_1,CHL.7.2_1,748.0,0
CHL.2.1_1,CHL.4.2_1,8.0,0
CHL.2.1_1,CHL.7.3_1,147.0,0
CHL.2.1_1,CHL.7.1_1,39.0,0
CHL.2.1_1,CHL.16.3_1,49.0,0
CHL.2.1_1,CHL.16.6_1,64.0,0
CHL.2.1_1,CHL.16.2_1,109.0,0
CHL.2.1_1,CHL.16.4_1,96.0,0
CHL.2.1_1,CHL.14.1_1,101.0,0
CHL.2.1_1,CHL.16.7_1,311.0,0
CHL.2.1_1,CHL.14.5_1,349.0,0
CHL.2.1_1,CHL.14.6_1,15.0,0
CHL.2.1_1,CHL.14.2_1,244.0,0
CHL.2.1_1,CHL.16.5_1,3.0,0
CHL.2.1_1,CHL.14.3_1,56.0,0
CHL.2.1_1,CHL.14.4_1,7.0,0
CHL.2.1_1,CHL.8.1_1,17.0,0
CHL.2.1_1,CHL.8.3_1,13.0,0
CHL.2.1_1,CHL.12.2_1,13.0,0
CHL.2.1_1,CHL.12.4_1,10.0,0
CHL.2.1_1,CHL.12.3_1,6.0,0
CHL.2.1_1,CHL.12.1_1,1.0,0
CHL.2.1_1,CHL.13.2_1,1.0,0
CHL.2.1_1,CHL.13.3_1,2.0,0
CHL.2.1_1,CHL.13.1_1,4.0,0
CHL.2.1_1,CHL.6.3_1,19.0,0
CHL.2.1_1,CHL.6.2_1,6.0,0
CHL.2.1_1,CHL.6.1_1,4.0,0
CHL.2.1_1,CHL.3.2_1,3.0,0
CHL.2.1_1,CHL.3.1_1,13.0,0
CHL.2.1_1,CHL.10.2_1,3.0,0
CHL.2.1_1,CHL.9.3_1,1.0,0
CHL.2.1_1,CHL.9.2_1,3.0,0
CHL.2.1_1,CHL.9.1_1,2.0,0
CHL.2.1_1,CHL.1.3_1,1.0,0
CHL.2.2_1,CHL.2.3_1,607.0,0
CHL.2.2_1,CHL.2.1_1,1829.0,0
CHL.2.2_1,CHL.15.1_1,316.0,0
CHL.2.2_1,CHL.5.1_1,7.0,0
CHL.2.2_1,CHL.4.1_1,59.0,0
CHL.2.2_1,CHL.4.2_1,2.0,0
CHL.2.2_1,CHL.5.2_1,61.0,0
CHL.2.2_1,CHL.5.3_1,11.0,0
CHL.2.2_1,CHL.7.2_1,88.0,0
CHL.2.2_1,CHL.7.3_1,12.0,0
CHL.2.2_1,CHL.7.1_1,8.0,0
CHL.2.2_1,CHL.16.3_1,8.0,0
CHL.2.2_1,CHL.16.6_1,12.0,0
CHL.2.2_1,CHL.16.2_1,13.0,0
CHL.2.2_1,CHL.16.4_1,15.0,0
CHL.2.2_1,CHL.14.1_1,13.0,0
CHL.2.2_1,CHL.16.7_1,40.0,0
CHL.2.2_1,CHL.14.5_1,46.0,0
CHL.2.2_1,CHL.14.2_1,38.0,0
CHL.2.2_1,CHL.14.3_1,4.0,0
CHL.2.2_1,CHL.16.5_1,1.0,0
CHL.2.2_1,CHL.8.1_1,3.0,0
CHL.2.2_1,CHL.12.2_1,1.0,0
CHL.2.2_1,CHL.12.4_1,3.0,0
CHL.2.2_1,CHL.12.3_1,2.0,0
CHL.2.2_1,CHL.13.3_1,1.0,0
CHL.2.2_1,CHL.3.2_1,1.0,0
CHL.2.2_1,CHL.3.1_1,4.0,0
CHL.2.2_1,CHL.10.2_1,1.0,0
CHL.2.2_1,CHL.9.1_1,2.0,0
CHL.2.2_1,CHL.11.2_1,2.0,0
CHL.2.3_1,CHL.2.2_1,637.0,0
CHL.2.3_1,CHL.15.1_1,96.0,0
CHL.2.3_1,CHL.2.1_1,14.0,0
CHL.2.3_1,CHL.4.1_1,3.0,0
CHL.2.3_1,CHL.4.2_1,1.0,0
CHL.2.3_1,CHL.5.1_1,1.0,0
CHL.2.3_1,CHL.5.2_1,6.0,0
CHL.2.3_1,CHL.5.3_1,1.0,0
CHL.2.3_1,CHL.7.2_1,6.0,0
CHL.2.3_1,CHL.7.1_1,1.0,0
CHL.2.3_1,CHL.16.3_1,1.0,0
CHL.2.3_1,CHL.16.6_1,2.0,0
CHL.2.3_1,CHL.16.2_1,1.0,0
CHL.2.3_1,CHL.16.7_1,5.0,0
CHL.2.3_1,CHL.14.5_1,2.0,0
CHL.2.3_1,CHL.14.2_1,3.0,0
CHL.2.3_1,CHL.14.3_1,2.0,0
CHL.2.3_1,CHL.3.1_1,1.0,0
CHL.3.1_1,CHL.3.2_1,2754.0,0
CHL.3.1_1,CHL.10.2_1,3269.0,0
CHL.3.1_1,CHL.10.1_1,524.0,0
CHL.3.1_1,CHL.6.1_1,1547.0,0
CHL.3.1_1,CHL.6.2_1,2199.0,0
CHL.3.1_1,CHL.9.3_1,882.0,0
CHL.3.1_1,CHL.6.3_1,2513.0,0
CHL.3.1_1,CHL.13.1_1,441.0,0
CHL.3.1_1,CHL.9.2_1,599.0,0
CHL.3.1_1,CHL.13.3_1,101.0,0
CHL.3.1_1,CHL.13.2_1,78.0,0
CHL.3.1_1,CHL.12.3_1,242.0,0
CHL.3.1_1,CHL.12.1_1,52.0,0
CHL.3.1_1,CHL.12.4_1,300.0,0
CHL.3.1_1,CHL.9.1_1,145.0,0
CHL.3.1_1,CHL.12.2_1,182.0,0
CHL.3.1_1,CHL.9.4_1,8.0,0
CHL.3.1_1,CHL.8.3_1,121.0,0
CHL.3.1_1,CHL.8.2_1,23.0,0
CHL.3.1_1,CHL.8.1_1,349.0,0
CHL.3.1_1,CHL.14.4_1,111.0,0
CHL.3.1_1,CHL.14.3_1,487.0,0
CHL.3.1_1,CHL.16.5_1,36.0,0
CHL.3.1_1,CHL.14.6_1,45.0,0
CHL.3.1_1,CHL.14.2_1,674.0,0
CHL.3.1_1,CHL.14.5_1,181.0,0
CHL.3.1_1,CHL.16.7_1,90.0,0
CHL.3.1_1,CHL.14.1_1,15.0,0
CHL.3.1_1,CHL.1.3_1,7.0,0
CHL.3.1_1,CHL.16.4_1,13.0,0
CHL.3.1_1,CHL.16.2_1,14.0,0
CHL.3.1_1,CHL.1.1_1,1.0,0
CHL.3.1_1,CHL.16.6_1,14.0,0
CHL.3.1_1,CHL.16.3_1,4.0,0
CHL.3.1_1,CHL.7.1_1,9.0,0
CHL.3.1_1,CHL.7.3_1,8.0,0
CHL.3.1_1,CHL.7.2_1,32.0,0
CHL.3.1_1,CHL.5.3_1,3.0,0
CHL.3.1_1,CHL.5.2_1,10.0,0
CHL.3.1_1,CHL.11.4_1,1.0,0
CHL.3.1_1,CHL.5.1_1,1.0,0
CHL.3.1_1,CHL.11.2_1,6.0,0
CHL.3.1_1,CHL.2.1_1,31.0,0
CHL.3.1_1,CHL.2.2_1,6.0,0
CHL.3.1_1,CHL.2.3_1,1.0,0
CHL.3.1_1,CHL.15.1_1,17.0,0
CHL.3.1_1,CHL.4.1_1,9.0,0
CHL.3.1_1,CHL.16.1_1,1.0,0
CHL.3.2_1,CHL.6.2_1,2301.0,0
CHL.3.2_1,CHL.3.1_1,601.0,0
CHL.3.2_1,CHL.6.1_1,55.0,0
CHL.3.2_1,CHL.13.1_1,47.0,0
CHL.3.2_1,CHL.6.3_1,93.0,0
CHL.3.2_1,CHL.13.3_1,3.0,0
CHL.3.2_1,CHL.10.2_1,15.0,0
CHL.3.2_1,CHL.13.2_1,3.0,0
CHL.3.2_1,CHL.12.3_1,10.0,0
CHL.3.2_1,CHL.12.1_1,1.0,0
CHL.3.2_1,CHL.9.3_1,9.0,0
CHL.3.2_1,CHL.12.4_1,10.0,0
CHL.3.2_1,CHL.12.2_1,11.0,0
CHL.3.2_1,CHL.9.2_1,6.0,0
CHL.3.2_1,CHL.8.3_1,4.0,0
CHL.3.2_1,CHL.8.1_1,12.0,0
CHL.3.2_1,CHL.14.4_1,1.0,0
CHL.3.2_1,CHL.14.3_1,13.0,0
CHL.3.2_1,CHL.16.5_1,3.0,0
