origin,destination,flow,time
CHN.1_1,CHN.15_1,3542284.0,0
CHN.1_1,CHN.31_1,777602.0,0
CHN.1_1,CHN.24_1,233949.0,0
CHN.1_1,CHN.12_1,436480.0,0
CHN.1_1,CHN.13_1,152221.0,0
CHN.1_1,CHN.16_1,102549.0,0
CHN.1_1,CHN.23_1,153073.0,0
CHN.1_1,CHN.4_1,45843.0,0
CHN.1_1,CHN.14_1,64873.0,0
CHN.1_1,CHN.25_1,31643.0,0
CHN.1_1,CHN.27_1,12574.0,0
CHN.1_1,CHN.22_1,26615.0,0
CHN.1_1,CHN.10_1,45594.0,0
CHN.1_1,CHN.3_1,14023.0,0
CHN.1_1,CHN.2_1,13735.0,0
CHN.1_1,CHN.6_1,51744.0,0
CHN.1_1,CHN.8_1,11804.0,0
CHN.1_1,CHN.18_1,14715.0,0
CHN.1_1,CHN.20_1,2273.0,0
CHN.1_1,CHN.7_1,13984.0,0
CHN.1_1,CHN.26_1,20733.0,0
CHN.1_1,CHN.19_1,6263.0,0
CHN.1_1,CHN.17_1,6375.0,0
CHN.1_1,CHN.9_1,2245.0,0
CHN.1_1,CHN.5_1,5708.0,0
CHN.1_1,CHN.30_1,10112.0,0
CHN.1_1,CHN.11_1,7689.0,0
CHN.1_1,CHN.21_1,1224.0,0
CHN.1_1,CHN.29_1,649.0,0
CHN.1_1,CHN.28_1,4637.0,0
CHN.2_1,CHN.10_1,2057284.0,0
CHN.2_1,CHN.27_1,103756.0,0
CHN.2_1,CHN.23_1,295264.0,0
CHN.2_1,CHN.25_1,53243.0,0
CHN.2_1,CHN.19_1,27970.0,0
CHN.2_1,CHN.18_1,37059.0,0
CHN.2_1,CHN.12_1,53194.0,0
CHN.2_1,CHN.15_1,29803.0,0
CHN.2_1,CHN.22_1,10800.0,0
CHN.2_1,CHN.17_1,6957.0,0
CHN.2_1,CHN.1_1,12670.0,0
CHN.2_1,CHN.20_1,1387.0,0
CHN.2_1,CHN.13_1,9612.0,0
CHN.2_1,CHN.24_1,4855.0,0
CHN.2_1,CHN.11_1,5550.0,0
CHN.2_1,CHN.31_1,7528.0,0
CHN.2_1,CHN.5_1,2786.0,0
CHN.2_1,CHN.3_1,2713.0,0
CHN.2_1,CHN.16_1,4636.0,0
CHN.2_1,CHN.14_1,5642.0,0
CHN.2_1,CHN.4_1,2949.0,0
CHN.2_1,CHN.26_1,5430.0,0
CHN.2_1,CHN.8_1,2169.0,0
CHN.2_1,CHN.21_1,386.0,0
CHN.2_1,CHN.6_1,6510.0,0
CHN.2_1,CHN.7_1,2152.0,0
CHN.2_1,CHN.30_1,2135.0,0
CHN.2_1,CHN.9_1,400.0,0
CHN.2_1,CHN.28_1,1010.0,0
CHN.2_1,CHN.29_1,129.0,0
CHN.3_1,CHN.8_1,1506461.0,0
CHN.3_1,CHN.13_1,564671.0,0
CHN.3_1,CHN.14_1,230535.0,0
CHN.3_1,CHN.26_1,118956.0,0
CHN.3_1,CHN.22_1,35569.0,0
CHN.3_1,CHN.12_1,58672.0,0
CHN.3_1,CHN.7_1,19452.0,0
CHN.3_1,CHN.16_1,16091.0,0
CHN.3_1,CHN.20_1,2227.0,0
CHN.3_1,CHN.30_1,12924.0,0
CHN.3_1,CHN.1_1,12708.0,0
CHN.3_1,CHN.6_1,20092.0,0
CHN.3_1,CHN.25_1,4763.0,0
CHN.3_1,CHN.5_1,3047.0,0
CHN.3_1,CHN.4_1,4295.0,0
CHN.3_1,CHN.15_1,7605.0,0
CHN.3_1,CHN.23_1,7750.0,0
CHN.3_1,CHN.31_1,4216.0,0
CHN.3_1,CHN.9_1,621.0,0
CHN.3_1,CHN.21_1,399.0,0
CHN.3_1,CHN.10_1,4252.0,0
CHN.3_1,CHN.24_1,1707.0,0
CHN.3_1,CHN.27_1,840.0,0
CHN.3_1,CHN.2_1,1347.0,0
CHN.3_1,CHN.19_1,1194.0,0
CHN.3_1,CHN.18_1,1827.0,0
CHN.3_1,CHN.29_1,147.0,0
CHN.3_1,CHN.17_1,1145.0,0
CHN.3_1,CHN.28_1,1008.0,0
CHN.3_1,CHN.11_1,1480.0,0
CHN.4_1,CHN.16_1,2222815.0,0
CHN.4_1,CHN.31_1,760047.0,0
CHN.4_1,CHN.6_1,480696.0,0
CHN.4_1,CHN.1_1,102974.0,0
CHN.4_1,CHN.14_1,80649.0,0
CHN.4_1,CHN.24_1,29160.0,0
CHN.4_1,CHN.15_1,59655.0,0
CHN.4_1,CHN.13_1,29935.0,0
CHN.4_1,CHN.7_1,21786.0,0
CHN.4_1,CHN.12_1,35165.0,0
CHN.4_1,CHN.3_1,8092.0,0
CHN.4_1,CHN.8_1,9531.0,0
CHN.4_1,CHN.9_1,2617.0,0
CHN.4_1,CHN.23_1,23345.0,0
CHN.4_1,CHN.22_1,7466.0,0
CHN.4_1,CHN.25_1,7045.0,0
CHN.4_1,CHN.27_1,2892.0,0
CHN.4_1,CHN.10_1,11851.0,0
CHN.4_1,CHN.2_1,3860.0,0
CHN.4_1,CHN.26_1,10109.0,0
CHN.4_1,CHN.30_1,5487.0,0
CHN.4_1,CHN.20_1,814.0,0
CHN.4_1,CHN.18_1,4624.0,0
CHN.4_1,CHN.19_1,2786.0,0
CHN.4_1,CHN.5_1,2456.0,0
CHN.4_1,CHN.17_1,2465.0,0
CHN.4_1,CHN.21_1,601.0,0
CHN.4_1,CHN.11_1,3416.0,0
CHN.4_1,CHN.29_1,281.0,0
CHN.4_1,CHN.28_1,2034.0,0
CHN.5_1,CHN.20_1,571375.0,0
CHN.5_1,CHN.21_1,333570.0,0
CHN.5_1,CHN.22_1,828924.0,0
CHN.5_1,CHN.26_1,425514.0,0
CHN.5_1,CHN.25_1,84110.0,0
CHN.5_1,CHN.3_1,40489.0,0
CHN.5_1,CHN.12_1,89741.0,0
CHN.5_1,CHN.13_1,30359.0,0
CHN.5_1,CHN.19_1,11642.0,0
CHN.5_1,CHN.10_1,26661.0,0
CHN.5_1,CHN.8_1,9242.0,0
CHN.5_1,CHN.29_1,819.0,0
CHN.5_1,CHN.2_1,6597.0,0
CHN.5_1,CHN.28_1,5521.0,0
CHN.5_1,CHN.30_1,9532.0,0
CHN.5_1,CHN.27_1,2826.0,0
CHN.5_1,CHN.14_1,10045.0,0
CHN.5_1,CHN.23_1,11785.0,0
CHN.5_1,CHN.1_1,5715.0,0
CHN.5_1,CHN.7_1,4115.0,0
CHN.5_1,CHN.15_1,6147.0,0
CHN.5_1,CHN.16_1,3080.0,0
CHN.5_1,CHN.18_1,2630.0,0
CHN.5_1,CHN.6_1,6172.0,0
CHN.5_1,CHN.31_1,2720.0,0
CHN.5_1,CHN.24_1,1263.0,0
CHN.5_1,CHN.4_1,1505.0,0
CHN.5_1,CHN.17_1,1036.0,0
CHN.5_1,CHN.9_1,333.0,0
CHN.5_1,CHN.11_1,1389.0,0
CHN.6_1,CHN.7_1,3719691.0,0
CHN.6_1,CHN.14_1,2734007.0,0
CHN.6_1,CHN.16_1,1181821.0,0
CHN.6_1,CHN.4_1,706938.0,0
CHN.6_1,CHN.9_1,147542.0,0
CHN.6_1,CHN.8_1,451931.0,0
CHN.6_1,CHN.13_1,577350.0,0
CHN.6_1,CHN.3_1,232511.0,0
CHN.6_1,CHN.31_1,451602.0,0
CHN.6_1,CHN.1_1,331358.0,0
CHN.6_1,CHN.12_1,415055.0,0
CHN.6_1,CHN.24_1,112559.0,0
CHN.6_1,CHN.30_1,155452.0,0
CHN.6_1,CHN.15_1,220828.0,0
CHN.6_1,CHN.26_1,173089.0,0
CHN.6_1,CHN.22_1,74605.0,0
CHN.6_1,CHN.23_1,166537.0,0
CHN.6_1,CHN.25_1,56662.0,0
CHN.6_1,CHN.20_1,10091.0,0
CHN.6_1,CHN.27_1,22965.0,0
CHN.6_1,CHN.10_1,96061.0,0
CHN.6_1,CHN.2_1,32076.0,0
CHN.6_1,CHN.5_1,28570.0,0
CHN.6_1,CHN.21_1,7138.0,0
CHN.6_1,CHN.18_1,46331.0,0
CHN.6_1,CHN.19_1,25829.0,0
CHN.6_1,CHN.17_1,25724.0,0
CHN.6_1,CHN.29_1,3117.0,0
CHN.6_1,CHN.11_1,34973.0,0
CHN.6_1,CHN.28_1,21956.0,0
CHN.7_1,CHN.8_1,2021279.0,0
CHN.7_1,CHN.6_1,1713067.0,0
CHN.7_1,CHN.14_1,276031.0,0
CHN.7_1,CHN.9_1,29212.0,0
CHN.7_1,CHN.3_1,70425.0,0
CHN.7_1,CHN.30_1,101670.0,0
CHN.7_1,CHN.16_1,76585.0,0
CHN.7_1,CHN.13_1,67332.0,0
CHN.7_1,CHN.4_1,39467.0,0
CHN.7_1,CHN.26_1,62330.0,0
CHN.7_1,CHN.12_1,56603.0,0
CHN.7_1,CHN.1_1,27327.0,0
CHN.7_1,CHN.22_1,15539.0,0
CHN.7_1,CHN.31_1,22772.0,0
CHN.7_1,CHN.15_1,24928.0,0
CHN.7_1,CHN.24_1,8332.0,0
CHN.7_1,CHN.20_1,1857.0,0
CHN.7_1,CHN.25_1,9279.0,0
CHN.7_1,CHN.23_1,21072.0,0
CHN.7_1,CHN.5_1,4789.0,0
CHN.7_1,CHN.21_1,1219.0,0
CHN.7_1,CHN.10_1,12993.0,0
CHN.7_1,CHN.27_1,2537.0,0
CHN.7_1,CHN.2_1,4241.0,0
CHN.7_1,CHN.29_1,478.0,0
CHN.7_1,CHN.19_1,3886.0,0
CHN.7_1,CHN.18_1,6002.0,0
CHN.7_1,CHN.17_1,3600.0,0
CHN.7_1,CHN.28_1,3218.0,0
CHN.7_1,CHN.11_1,4741.0,0
CHN.8_1,CHN.3_1,1512199.0,0
CHN.8_1,CHN.7_1,841798.0,0
CHN.8_1,CHN.14_1,412305.0,0
CHN.8_1,CHN.30_1,144906.0,0
CHN.8_1,CHN.26_1,134338.0,0
CHN.8_1,CHN.13_1,58696.0,0
CHN.8_1,CHN.6_1,83878.0,0
CHN.8_1,CHN.16_1,22192.0,0
CHN.8_1,CHN.9_1,3933.0,0
CHN.8_1,CHN.22_1,14261.0,0
CHN.8_1,CHN.12_1,28448.0,0
CHN.8_1,CHN.4_1,9817.0,0
CHN.8_1,CHN.1_1,12263.0,0
CHN.8_1,CHN.20_1,1388.0,0
CHN.8_1,CHN.25_1,7081.0,0
CHN.8_1,CHN.31_1,10190.0,0
CHN.8_1,CHN.5_1,3809.0,0
CHN.8_1,CHN.15_1,10561.0,0
CHN.8_1,CHN.21_1,803.0,0
CHN.8_1,CHN.24_1,3589.0,0
CHN.8_1,CHN.23_1,9994.0,0
CHN.8_1,CHN.10_1,6470.0,0
CHN.8_1,CHN.27_1,1329.0,0
CHN.8_1,CHN.2_1,2190.0,0
CHN.8_1,CHN.29_1,244.0,0
CHN.8_1,CHN.19_1,1898.0,0
CHN.8_1,CHN.18_1,3077.0,0
CHN.8_1,CHN.28_1,1658.0,0
CHN.8_1,CHN.17_1,1728.0,0
CHN.8_1,CHN.11_1,2477.0,0
CHN.9_1,CHN.7_1,806725.0,0
CHN.9_1,CHN.6_1,112904.0,0
CHN.9_1,CHN.8_1,8140.0,0
CHN.9_1,CHN.14_1,10395.0,0
CHN.9_1,CHN.30_1,4924.0,0
CHN.9_1,CHN.16_1,3565.0,0
CHN.9_1,CHN.4_1,2289.0,0
CHN.9_1,CHN.3_1,1330.0,0
CHN.9_1,CHN.13_1,2267.0,0
CHN.9_1,CHN.26_1,2503.0,0
CHN.9_1,CHN.31_1,1566.0,0
CHN.9_1,CHN.1_1,1281.0,0
CHN.9_1,CHN.12_1,1587.0,0
CHN.9_1,CHN.24_1,444.0,0
CHN.9_1,CHN.22_1,495.0,0
CHN.9_1,CHN.15_1,926.0,0
CHN.9_1,CHN.20_1,70.0,0
CHN.9_1,CHN.25_1,369.0,0
CHN.9_1,CHN.23_1,876.0,0
CHN.9_1,CHN.5_1,198.0,0
CHN.9_1,CHN.21_1,50.0,0
CHN.9_1,CHN.10_1,544.0,0
CHN.9_1,CHN.27_1,111.0,0
CHN.9_1,CHN.2_1,172.0,0
CHN.9_1,CHN.29_1,23.0,0
CHN.9_1,CHN.18_1,249.0,0
CHN.9_1,CHN.19_1,164.0,0
CHN.9_1,CHN.17_1,146.0,0
CHN.9_1,CHN.28_1,116.0,0
CHN.9_1,CHN.11_1,202.0,0
CHN.10_1,CHN.2_1,2130855.0,0
CHN.10_1,CHN.27_1,802992.0,0
CHN.10_1,CHN.23_1,2271885.0,0
CHN.10_1,CHN.25_1,409191.0,0
CHN.10_1,CHN.19_1,214144.0,0
CHN.10_1,CHN.18_1,287073.0,0
CHN.10_1,CHN.12_1,410221.0,0
CHN.10_1,CHN.15_1,228704.0,0
CHN.10_1,CHN.22_1,83194.0,0
CHN.10_1,CHN.1_1,107067.0,0
CHN.10_1,CHN.20_1,11779.0,0
CHN.10_1,CHN.17_1,42737.0,0
CHN.10_1,CHN.13_1,74026.0,0
CHN.10_1,CHN.24_1,37597.0,0
CHN.10_1,CHN.31_1,65532.0,0
CHN.10_1,CHN.3_1,25341.0,0
CHN.10_1,CHN.11_1,34318.0,0
CHN.10_1,CHN.16_1,37950.0,0
CHN.10_1,CHN.5_1,18283.0,0
CHN.10_1,CHN.14_1,43550.0,0
CHN.10_1,CHN.4_1,23015.0,0
CHN.10_1,CHN.26_1,41317.0,0
CHN.10_1,CHN.8_1,15753.0,0
CHN.10_1,CHN.21_1,3022.0,0
CHN.10_1,CHN.6_1,50670.0,0
CHN.10_1,CHN.7_1,16802.0,0
CHN.10_1,CHN.30_1,16356.0,0
CHN.10_1,CHN.9_1,2971.0,0
CHN.10_1,CHN.28_1,7787.0,0
CHN.10_1,CHN.29_1,1054.0,0
CHN.11_1,CHN.17_1,1657805.0,0
CHN.11_1,CHN.18_1,951787.0,0
CHN.11_1,CHN.19_1,271630.0,0
CHN.11_1,CHN.2_1,193268.0,0
CHN.11_1,CHN.27_1,87413.0,0
CHN.11_1,CHN.10_1,256996.0,0
CHN.11_1,CHN.23_1,172345.0,0
CHN.11_1,CHN.25_1,43186.0,0
CHN.11_1,CHN.15_1,68994.0,0
CHN.11_1,CHN.24_1,20709.0,0
CHN.11_1,CHN.12_1,49644.0,0
CHN.11_1,CHN.1_1,23357.0,0
CHN.11_1,CHN.22_1,13111.0,0
CHN.11_1,CHN.20_1,2287.0,0
CHN.11_1,CHN.31_1,18193.0,0
CHN.11_1,CHN.13_1,13713.0,0
CHN.11_1,CHN.5_1,5685.0,0
CHN.11_1,CHN.16_1,10122.0,0
CHN.11_1,CHN.4_1,7525.0,0
CHN.11_1,CHN.3_1,4700.0,0
CHN.11_1,CHN.14_1,10819.0,0
CHN.11_1,CHN.26_1,10889.0,0
CHN.11_1,CHN.21_1,786.0,0
CHN.11_1,CHN.8_1,4189.0,0
CHN.11_1,CHN.6_1,13440.0,0
CHN.11_1,CHN.7_1,4494.0,0
CHN.11_1,CHN.28_1,2301.0,0
CHN.11_1,CHN.30_1,4162.0,0
CHN.11_1,CHN.9_1,745.0,0
CHN.11_1,CHN.29_1,269.0,0
CHN.12_1,CHN.13_1,3693073.0,0
CHN.12_1,CHN.1_1,1821274.0,0
CHN.12_1,CHN.25_1,725763.0,0
CHN.12_1,CHN.22_1,529491.0,0
CHN.12_1,CHN.23_1,880499.0,0
CHN.12_1,CHN.15_1,444073.0,0
CHN.12_1,CHN.10_1,289040.0,0
CHN.12_1,CHN.3_1,83943.0,0
CHN.12_1,CHN.27_1,48030.0,0
CHN.12_1,CHN.14_1,169962.0,0
CHN.12_1,CHN.16_1,102372.0,0
CHN.12_1,CHN.2_1,53153.0,0
CHN.12_1,CHN.20_1,13144.0,0
CHN.12_1,CHN.24_1,54338.0,0
CHN.12_1,CHN.31_1,95150.0,0
CHN.12_1,CHN.4_1,53200.0,0
