origin,destination,flow,time
CIV.1_1,CIV.7_1,14982.0,0
CIV.1_1,CIV.3_1,8369.0,0
CIV.1_1,CIV.5_1,7794.0,0
CIV.1_1,CIV.6_1,4374.0,0
CIV.1_1,CIV.13_1,1053.0,0
CIV.1_1,CIV.2_1,5452.0,0
CIV.1_1,CIV.9_1,3730.0,0
CIV.1_1,CIV.11_1,1630.0,0
CIV.1_1,CIV.14_1,986.0,0
CIV.1_1,CIV.8_1,2136.0,0
CIV.1_1,CIV.12_1,656.0,0
CIV.1_1,CIV.10_1,1095.0,0
CIV.1_1,CIV.4_1,165.0,0
CIV.2_1,CIV.5_1,11715.0,0
CIV.2_1,CIV.9_1,6454.0,0
CIV.2_1,CIV.8_1,2842.0,0
CIV.2_1,CIV.13_1,309.0,0
CIV.2_1,CIV.7_1,1006.0,0
CIV.2_1,CIV.1_1,1973.0,0
CIV.2_1,CIV.6_1,312.0,0
CIV.2_1,CIV.12_1,210.0,0
CIV.2_1,CIV.11_1,272.0,0
CIV.2_1,CIV.3_1,185.0,0
CIV.2_1,CIV.4_1,47.0,0
CIV.2_1,CIV.10_1,258.0,0
CIV.2_1,CIV.14_1,143.0,0
CIV.3_1,CIV.1_1,11193.0,0
CIV.3_1,CIV.7_1,577.0,0
CIV.3_1,CIV.6_1,322.0,0
CIV.3_1,CIV.13_1,70.0,0
CIV.3_1,CIV.5_1,282.0,0
CIV.3_1,CIV.14_1,139.0,0
CIV.3_1,CIV.11_1,147.0,0
CIV.3_1,CIV.9_1,197.0,0
CIV.3_1,CIV.2_1,156.0,0
CIV.3_1,CIV.12_1,47.0,0
CIV.3_1,CIV.10_1,68.0,0
CIV.3_1,CIV.8_1,97.0,0
CIV.3_1,CIV.4_1,6.0,0
CIV.4_1,CIV.12_1,2518.0,0
CIV.4_1,CIV.10_1,486.0,0
CIV.4_1,CIV.8_1,162.0,0
CIV.4_1,CIV.11_1,35.0,0
CIV.4_1,CIV.9_1,43.0,0
CIV.4_1,CIV.13_1,2.0,0
CIV.4_1,CIV.6_1,8.0,0
CIV.4_1,CIV.5_1,21.0,0
CIV.4_1,CIV.14_1,8.0,0
CIV.4_1,CIV.2_1,10.0,0
CIV.4_1,CIV.7_1,5.0,0
CIV.4_1,CIV.1_1,9.0,0
CIV.4_1,CIV.3_1,5.0,0
CIV.5_1,CIV.13_1,3439.0,0
CIV.5_1,CIV.2_1,8715.0,0
CIV.5_1,CIV.7_1,1859.0,0
CIV.5_1,CIV.9_1,1661.0,0
CIV.5_1,CIV.6_1,520.0,0
CIV.5_1,CIV.1_1,1184.0,0
CIV.5_1,CIV.8_1,351.0,0
