origin,destination,flow,time
CMR.1_1,CMR.7_1,197441.0,0
CMR.1_1,CMR.2_1,50748.0,0
CMR.1_1,CMR.6_1,7453.0,0
CMR.1_1,CMR.8_1,4818.0,0
CMR.1_1,CMR.3_1,1914.0,0
CMR.1_1,CMR.5_1,5534.0,0
CMR.1_1,CMR.9_1,2061.0,0
CMR.1_1,CMR.10_1,818.0,0
CMR.1_1,CMR.4_1,3021.0,0
CMR.2_1,CMR.8_1,368055.0,0
CMR.2_1,CMR.5_1,349876.0,0
CMR.2_1,CMR.10_1,48069.0,0
CMR.2_1,CMR.6_1,90124.0,0
CMR.2_1,CMR.3_1,33031.0,0
CMR.2_1,CMR.1_1,38025.0,0
CMR.2_1,CMR.9_1,45787.0,0
CMR.2_1,CMR.7_1,53009.0,0
CMR.2_1,CMR.4_1,56121.0,0
CMR.3_1,CMR.2_1,177519.0,0
CMR.3_1,CMR.10_1,4213.0,0
CMR.3_1,CMR.1_1,4632.0,0
CMR.3_1,CMR.8_1,4594.0,0
CMR.3_1,CMR.5_1,5581.0,0
CMR.3_1,CMR.6_1,1972.0,0
CMR.3_1,CMR.7_1,1835.0,0
CMR.3_1,CMR.9_1,1015.0,0
CMR.3_1,CMR.4_1,1585.0,0
CMR.4_1,CMR.7_1,425262.0,0
CMR.4_1,CMR.1_1,98681.0,0
CMR.4_1,CMR.6_1,106012.0,0
CMR.4_1,CMR.8_1,65893.0,0
CMR.4_1,CMR.2_1,105585.0,0
CMR.4_1,CMR.3_1,13242.0,0
CMR.4_1,CMR.9_1,22112.0,0
CMR.4_1,CMR.5_1,34673.0,0
CMR.4_1,CMR.10_1,6372.0,0
CMR.5_1,CMR.9_1,314362.0,0
CMR.5_1,CMR.8_1,159466.0,0
CMR.5_1,CMR.2_1,191956.0,0
CMR.5_1,CMR.10_1,18036.0,0
CMR.5_1,CMR.6_1,35604.0,0
CMR.5_1,CMR.1_1,17514.0,0
CMR.5_1,CMR.3_1,11349.0,0
CMR.5_1,CMR.7_1,27399.0,0
CMR.5_1,CMR.4_1,29073.0,0
CMR.7_1,CMR.1_1,211749.0,0
CMR.7_1,CMR.4_1,230476.0,0
CMR.7_1,CMR.6_1,46295.0,0
CMR.7_1,CMR.2_1,60087.0,0
CMR.7_1,CMR.8_1,13236.0,0
CMR.7_1,CMR.3_1,5694.0,0
CMR.7_1,CMR.9_1,9684.0,0
CMR.7_1,CMR.5_1,14855.0,0
CMR.7_1,CMR.10_1,2699.0,0
CMR.6_1,CMR.8_1,229271.0,0
CMR.6_1,CMR.9_1,80032.0,0
CMR.6_1,CMR.5_1,66501.0,0
CMR.6_1,CMR.2_1,35644.0,0
CMR.6_1,CMR.1_1,5383.0,0
CMR.6_1,CMR.10_1,3179.0,0
CMR.6_1,CMR.7_1,8331.0,0
CMR.6_1,CMR.3_1,2385.0,0
CMR.6_1,CMR.4_1,8028.0,0
CMR.8_1,CMR.6_1,226422.0,0
CMR.8_1,CMR.5_1,101541.0,0
CMR.8_1,CMR.9_1,20409.0,0
CMR.8_1,CMR.2_1,29824.0,0
CMR.8_1,CMR.1_1,4458.0,0
CMR.8_1,CMR.10_1,2674.0,0
CMR.8_1,CMR.3_1,2605.0,0
CMR.8_1,CMR.7_1,6155.0,0
CMR.8_1,CMR.4_1,6726.0,0
CMR.10_1,CMR.2_1,163327.0,0
CMR.10_1,CMR.5_1,10747.0,0
CMR.10_1,CMR.3_1,1458.0,0
CMR.10_1,CMR.8_1,2301.0,0
CMR.10_1,CMR.9_1,1712.0,0
CMR.10_1,CMR.6_1,1445.0,0
CMR.10_1,CMR.1_1,745.0,0
CMR.10_1,CMR.7_1,1247.0,0
CMR.10_1,CMR.4_1,1369.0,0
CMR.9_1,CMR.5_1,287751.0,0
CMR.9_1,CMR.8_1,35450.0,0
CMR.9_1,CMR.6_1,23063.0,0
CMR.9_1,CMR.2_1,29152.0,0
CMR.9_1,CMR.10_1,2940.0,0
CMR.9_1,CMR.1_1,3941.0,0
CMR.9_1,CMR.3_1,2532.0,0
CMR.9_1,CMR.7_1,6261.0,0
CMR.9_1,CMR.4_1,6553.0,0
CMR.1_1,CMR.1_1,1095232.544584048,0
CMR.2_1,CMR.2_1,4328391.342025279,0
CMR.3_1,CMR.3_1,811785.1781479841,0
CMR.4_1,CMR.4_1,3511330.333768432,0
CMR.5_1,CMR.5_1,3219037.8785994397,0
CMR.7_1,CMR.7_1,2379102.993478248,0
CMR.6_1,CMR.6_1,1755017.41628604,0
CMR.8_1,CMR.8_1,1603259.9487036641,0
CMR.10_1,CMR.10_1,737404.3600273137,0
CMR.9_1,CMR.9_1,1590574.1820242722,0
