origin,destination,flow,time
COD.1.1_1,COD.1.2_1,33.0,0
COD.1.1_1,COD.1.6_1,10.0,0
COD.1.1_1,COD.1.8_1,19.0,0
COD.1.1_1,COD.25.3_1,5723.0,0
COD.1.1_1,COD.1.5_1,1380.0,0
COD.1.1_1,COD.18.2_1,1264.0,0
COD.1.1_1,COD.1.7_1,232.0,0
COD.1.1_1,COD.18.3_1,1.0,0
COD.1.1_1,COD.20.6_1,181.0,0
COD.1.1_1,COD.25.2_1,144.0,0
COD.1.1_1,COD.1.4_1,47.0,0
COD.1.1_1,COD.25.10_1,57.0,0
COD.1.1_1,COD.18.5_1,2.0,0
COD.1.1_1,COD.25.5_1,147.0,0
COD.1.1_1,COD.26.5_1,59.0,0
COD.1.1_1,COD.1.3_1,16.0,0
COD.1.1_1,COD.18.4_1,106.0,0
COD.1.1_1,COD.20.2_1,62.0,0
COD.1.1_1,COD.25.7_1,68.0,0
COD.1.1_1,COD.18.1_1,29.0,0
COD.1.1_1,COD.20.4_1,9.0,0
COD.1.1_1,COD.1.10_1,18.0,0
COD.1.1_1,COD.20.3_1,7.0,0
COD.1.1_1,COD.26.1_1,5.0,0
COD.1.1_1,COD.25.8_1,12.0,0
COD.1.1_1,COD.23.1_1,13.0,0
COD.1.1_1,COD.5.7_1,10.0,0
COD.1.1_1,COD.25.1_1,9.0,0
COD.1.1_1,COD.25.9_1,14.0,0
COD.1.1_1,COD.23.2_1,23.0,0
COD.1.1_1,COD.26.4_1,7.0,0
COD.1.1_1,COD.5.8_1,13.0,0
COD.1.1_1,COD.5.6_1,4.0,0
COD.1.1_1,COD.26.6_1,6.0,0
COD.1.1_1,COD.2.1_1,7.0,0
COD.1.1_1,COD.20.1_1,4.0,0
COD.1.1_1,COD.26.2_1,6.0,0
COD.1.1_1,COD.5.2_1,4.0,0
COD.1.1_1,COD.23.5_1,5.0,0
COD.1.1_1,COD.17.8_1,2.0,0
COD.1.1_1,COD.23.4_1,13.0,0
COD.1.1_1,COD.2.8_1,2.0,0
COD.1.1_1,COD.2.4_1,2.0,0
COD.1.1_1,COD.23.6_1,1.0,0
COD.1.1_1,COD.6.10_1,5.0,0
COD.1.1_1,COD.26.7_1,1.0,0
COD.1.1_1,COD.5.10_1,1.0,0
COD.1.1_1,COD.17.12_1,1.0,0
COD.1.1_1,COD.2.5_1,5.0,0
COD.1.1_1,COD.17.2_1,2.0,0
COD.1.1_1,COD.19.4_1,14.0,0
COD.1.1_1,COD.19.11_1,1.0,0
COD.1.1_1,COD.19.2_1,1.0,0
COD.1.1_1,COD.19.1_1,11.0,0
COD.1.1_1,COD.5.4_1,4.0,0
COD.1.1_1,COD.2.9_1,4.0,0
COD.1.1_1,COD.17.7_1,1.0,0
COD.1.1_1,COD.19.7_1,2.0,0
COD.1.1_1,COD.6.7_1,2.0,0
COD.1.1_1,COD.6.5_1,8.0,0
COD.1.1_1,COD.19.5_1,4.0,0
COD.1.1_1,COD.2.3_1,1.0,0
COD.1.1_1,COD.6.2_1,2.0,0
COD.1.1_1,COD.17.11_1,1.0,0
COD.1.1_1,COD.19.9_1,4.0,0
COD.1.1_1,COD.22.6_1,3.0,0
COD.1.1_1,COD.6.8_1,7.0,0
COD.1.1_1,COD.16.10_1,1.0,0
COD.1.1_1,COD.17.6_1,2.0,0
COD.1.1_1,COD.22.5_1,2.0,0
COD.1.1_1,COD.22.4_1,1.0,0
COD.1.1_1,COD.22.2_1,2.0,0
COD.1.1_1,COD.9.7_1,3.0,0
COD.1.1_1,COD.22.8_1,2.0,0
COD.1.1_1,COD.17.4_1,2.0,0
COD.1.1_1,COD.16.6_1,2.0,0
COD.1.1_1,COD.7.1_1,3.0,0
COD.1.1_1,COD.9.2_1,1.0,0
COD.1.1_1,COD.22.3_1,1.0,0
COD.1.1_1,COD.8.4_1,1.0,0
COD.1.1_1,COD.7.4_1,2.0,0
COD.1.1_1,COD.8.5_1,1.0,0
COD.1.1_1,COD.14.1_1,1.0,0
COD.1.1_1,COD.24.10_1,1.0,0
COD.1.1_1,COD.14.8_1,1.0,0
COD.1.1_1,COD.24.1_1,1.0,0
COD.1.1_1,COD.13.6_1,1.0,0
COD.1.1_1,COD.13.12_1,1.0,0
COD.1.1_1,COD.9.4_1,1.0,0
COD.1.1_1,COD.12.6_1,1.0,0
COD.1.1_1,COD.12.1_1,1.0,0
COD.1.1_1,COD.10.1_1,3.0,0
COD.1.1_1,COD.4.6_1,2.0,0
COD.1.1_1,COD.15.2_1,1.0,0
COD.1.1_1,COD.11.4_1,1.0,0
COD.1.1_1,COD.15.7_1,1.0,0
COD.1.2_1,COD.1.1_1,37.0,0
COD.1.3_1,COD.1.9_1,7.0,0
COD.1.3_1,COD.1.4_1,2631.0,0
COD.1.3_1,COD.1.10_1,1254.0,0
COD.1.3_1,COD.1.7_1,282.0,0
COD.1.3_1,COD.1.5_1,145.0,0
COD.1.3_1,COD.5.6_1,40.0,0
COD.1.3_1,COD.5.5_1,1.0,0
COD.1.3_1,COD.5.2_1,43.0,0
COD.1.3_1,COD.5.7_1,54.0,0
COD.1.3_1,COD.1.1_1,27.0,0
COD.1.3_1,COD.5.8_1,40.0,0
COD.1.3_1,COD.25.2_1,27.0,0
COD.1.3_1,COD.25.3_1,20.0,0
COD.1.3_1,COD.5.10_1,13.0,0
COD.1.3_1,COD.25.1_1,3.0,0
COD.1.3_1,COD.20.6_1,7.0,0
COD.1.3_1,COD.5.4_1,12.0,0
COD.1.3_1,COD.18.2_1,13.0,0
COD.1.3_1,COD.6.10_1,6.0,0
COD.1.3_1,COD.25.7_1,13.0,0
COD.1.3_1,COD.25.5_1,5.0,0
COD.1.3_1,COD.25.10_1,2.0,0
COD.1.3_1,COD.6.2_1,13.0,0
COD.1.3_1,COD.6.5_1,13.0,0
COD.1.3_1,COD.6.7_1,2.0,0
COD.1.3_1,COD.25.9_1,3.0,0
COD.1.3_1,COD.6.8_1,2.0,0
COD.1.3_1,COD.19.1_1,4.0,0
COD.1.3_1,COD.19.4_1,3.0,0
COD.1.3_1,COD.19.7_1,1.0,0
