origin,destination,flow,time
COL.1_1,COL.31_1,4868.0,0
COL.1_1,COL.8_1,4800.0,0
COL.1_1,COL.16_1,282.0,0
COL.1_1,COL.23_1,511.0,0
COL.1_1,COL.15_1,48.0,0
COL.1_1,COL.20_1,395.0,0
COL.1_1,COL.17_1,175.0,0
COL.1_1,COL.32_1,8.0,0
COL.1_1,COL.10_1,115.0,0
COL.1_1,COL.29_1,58.0,0
COL.1_1,COL.14_1,113.0,0
COL.1_1,COL.9_1,2.0,0
COL.1_1,COL.21_1,6.0,0
COL.1_1,COL.24_1,2.0,0
COL.1_1,COL.30_1,6.0,0
COL.1_1,COL.6_1,3.0,0
COL.1_1,COL.7_1,2.0,0
COL.1_1,COL.25_1,3.0,0
COL.1_1,COL.3_1,2.0,0
COL.1_1,COL.27_1,3.0,0
COL.1_1,COL.2_1,11.0,0
COL.1_1,COL.22_1,1.0,0
COL.1_1,COL.5_1,2.0,0
COL.1_1,COL.13_1,3.0,0
COL.1_1,COL.28_1,1.0,0
COL.1_1,COL.11_1,2.0,0
COL.1_1,COL.4_1,4.0,0
COL.2_1,COL.13_1,173185.0,0
COL.2_1,COL.7_1,51053.0,0
COL.2_1,COL.12_1,25898.0,0
COL.2_1,COL.25_1,38719.0,0
COL.2_1,COL.27_1,73191.0,0
COL.2_1,COL.5_1,59996.0,0
COL.2_1,COL.28_1,15574.0,0
COL.2_1,COL.24_1,9428.0,0
COL.2_1,COL.14_1,108650.0,0
COL.2_1,COL.6_1,6802.0,0
COL.2_1,COL.29_1,7171.0,0
COL.2_1,COL.22_1,5942.0,0
COL.2_1,COL.30_1,17430.0,0
COL.2_1,COL.11_1,3218.0,0
COL.2_1,COL.19_1,3993.0,0
COL.2_1,COL.4_1,7456.0,0
COL.2_1,COL.9_1,1804.0,0
COL.2_1,COL.17_1,3087.0,0
COL.2_1,COL.20_1,2693.0,0
COL.2_1,COL.3_1,836.0,0
COL.2_1,COL.10_1,3339.0,0
COL.2_1,COL.18_1,2627.0,0
COL.2_1,COL.21_1,3387.0,0
COL.2_1,COL.16_1,262.0,0
COL.2_1,COL.8_1,1032.0,0
COL.2_1,COL.23_1,826.0,0
COL.2_1,COL.32_1,130.0,0
COL.2_1,COL.15_1,151.0,0
COL.2_1,COL.31_1,135.0,0
COL.2_1,COL.26_1,145.0,0
COL.2_1,COL.1_1,203.0,0
COL.3_1,COL.9_1,23951.0,0
COL.3_1,COL.6_1,6951.0,0
COL.3_1,COL.32_1,193.0,0
COL.3_1,COL.22_1,1955.0,0
COL.3_1,COL.27_1,1430.0,0
COL.3_1,COL.14_1,1548.0,0
COL.3_1,COL.20_1,48.0,0
COL.3_1,COL.11_1,27.0,0
COL.3_1,COL.5_1,88.0,0
COL.3_1,COL.15_1,4.0,0
COL.3_1,COL.7_1,27.0,0
COL.3_1,COL.2_1,142.0,0
COL.3_1,COL.16_1,1.0,0
COL.3_1,COL.28_1,14.0,0
COL.3_1,COL.19_1,15.0,0
COL.3_1,COL.29_1,26.0,0
COL.3_1,COL.18_1,9.0,0
COL.3_1,COL.13_1,29.0,0
COL.3_1,COL.24_1,1.0,0
COL.3_1,COL.25_1,13.0,0
COL.3_1,COL.4_1,20.0,0
COL.3_1,COL.12_1,4.0,0
COL.3_1,COL.17_1,12.0,0
COL.3_1,COL.30_1,31.0,0
COL.3_1,COL.8_1,2.0,0
COL.3_1,COL.10_1,13.0,0
COL.3_1,COL.23_1,1.0,0
COL.3_1,COL.1_1,1.0,0
COL.3_1,COL.21_1,10.0,0
COL.3_1,COL.26_1,2.0,0
COL.4_1,COL.19_1,87655.0,0
COL.4_1,COL.28_1,33408.0,0
COL.4_1,COL.11_1,25998.0,0
COL.4_1,COL.5_1,39201.0,0
COL.4_1,COL.18_1,11576.0,0
COL.4_1,COL.13_1,13137.0,0
COL.4_1,COL.22_1,6083.0,0
COL.4_1,COL.2_1,18637.0,0
COL.4_1,COL.27_1,3770.0,0
COL.4_1,COL.12_1,751.0,0
COL.4_1,COL.6_1,1709.0,0
COL.4_1,COL.7_1,1121.0,0
COL.4_1,COL.3_1,451.0,0
COL.4_1,COL.25_1,985.0,0
COL.4_1,COL.14_1,8928.0,0
COL.4_1,COL.9_1,328.0,0
COL.4_1,COL.24_1,286.0,0
COL.4_1,COL.29_1,669.0,0
COL.4_1,COL.26_1,33.0,0
COL.4_1,COL.30_1,1852.0,0
COL.4_1,COL.20_1,447.0,0
COL.4_1,COL.32_1,31.0,0
