origin,destination,flow,time
CPV.1_1,CPV.11_1,5432.0,0
CPV.1_1,CPV.3_1,658.0,0
CPV.1_1,CPV.21_1,2014.0,0
CPV.1_1,CPV.18_1,144.0,0
CPV.1_1,CPV.14_1,180.0,0
CPV.1_1,CPV.15_1,269.0,0
CPV.1_1,CPV.17_1,790.0,0
CPV.1_1,CPV.19_1,49.0,0
CPV.1_1,CPV.12_1,83.0,0
CPV.1_1,CPV.7_1,33.0,0
CPV.1_1,CPV.10_1,18.0,0
CPV.1_1,CPV.8_1,8.0,0
CPV.1_1,CPV.22_1,9.0,0
CPV.1_1,CPV.4_1,9.0,0
CPV.1_1,CPV.13_1,28.0,0
CPV.1_1,CPV.16_1,12.0,0
CPV.1_1,CPV.20_1,80.0,0
CPV.1_1,CPV.2_1,2.0,0
CPV.1_1,CPV.5_1,19.0,0
CPV.1_1,CPV.9_1,19.0,0
CPV.1_1,CPV.6_1,5.0,0
CPV.2_1,CPV.16_1,1676.0,0
CPV.2_1,CPV.13_1,455.0,0
CPV.2_1,CPV.4_1,40.0,0
CPV.2_1,CPV.12_1,121.0,0
CPV.2_1,CPV.10_1,24.0,0
CPV.2_1,CPV.21_1,47.0,0
CPV.2_1,CPV.19_1,8.0,0
CPV.2_1,CPV.18_1,6.0,0
CPV.2_1,CPV.17_1,46.0,0
CPV.2_1,CPV.7_1,2.0,0
CPV.2_1,CPV.15_1,2.0,0
CPV.2_1,CPV.3_1,1.0,0
CPV.2_1,CPV.20_1,6.0,0
CPV.2_1,CPV.1_1,2.0,0
CPV.2_1,CPV.5_1,3.0,0
CPV.2_1,CPV.11_1,4.0,0
CPV.3_1,CPV.14_1,1949.0,0
CPV.3_1,CPV.15_1,766.0,0
CPV.3_1,CPV.7_1,194.0,0
CPV.3_1,CPV.17_1,338.0,0
CPV.3_1,CPV.18_1,3.0,0
CPV.3_1,CPV.19_1,14.0,0
CPV.3_1,CPV.10_1,9.0,0
CPV.3_1,CPV.21_1,21.0,0
CPV.3_1,CPV.12_1,8.0,0
CPV.3_1,CPV.1_1,4.0,0
CPV.3_1,CPV.13_1,2.0,0
CPV.3_1,CPV.16_1,2.0,0
CPV.3_1,CPV.2_1,1.0,0
CPV.3_1,CPV.11_1,5.0,0
CPV.3_1,CPV.8_1,1.0,0
CPV.3_1,CPV.20_1,6.0,0
CPV.3_1,CPV.6_1,1.0,0
CPV.3_1,CPV.9_1,1.0,0
CPV.4_1,CPV.13_1,2282.0,0
CPV.4_1,CPV.16_1,162.0,0
CPV.4_1,CPV.2_1,40.0,0
