origin,destination,flow,time
CRI.1.1_1,CRI.1.10_1,1553.0,0
CRI.1.1_1,CRI.4.8_1,1273.0,0
CRI.1.1_1,CRI.4.3_1,792.0,0
CRI.1.1_1,CRI.4.1_1,1261.0,0
CRI.1.1_1,CRI.4.2_1,1050.0,0
CRI.1.1_1,CRI.1.15_1,441.0,0
CRI.1.1_1,CRI.4.7_1,713.0,0
CRI.1.1_1,CRI.1.7_1,670.0,0
CRI.1.1_1,CRI.4.6_1,557.0,0
CRI.1.1_1,CRI.7.16_1,873.0,0
CRI.1.1_1,CRI.4.4_1,1378.0,0
CRI.1.1_1,CRI.7.7_1,501.0,0
CRI.1.1_1,CRI.7.18_1,128.0,0
CRI.1.1_1,CRI.4.9_1,282.0,0
CRI.1.1_1,CRI.4.5_1,74.0,0
CRI.1.1_1,CRI.7.15_1,734.0,0
CRI.1.1_1,CRI.7.11_1,110.0,0
CRI.1.1_1,CRI.1.3_1,92.0,0
CRI.1.1_1,CRI.1.9_1,108.0,0
CRI.1.1_1,CRI.1.4_1,206.0,0
CRI.1.1_1,CRI.7.12_1,77.0,0
CRI.1.1_1,CRI.7.2_1,242.0,0
CRI.1.1_1,CRI.1.2_1,30.0,0
CRI.1.1_1,CRI.7.10_1,104.0,0
CRI.1.1_1,CRI.7.4_1,116.0,0
CRI.1.1_1,CRI.7.8_1,175.0,0
CRI.1.1_1,CRI.7.20_1,42.0,0
CRI.1.1_1,CRI.2.5_1,139.0,0
CRI.1.1_1,CRI.7.5_1,309.0,0
CRI.1.1_1,CRI.1.12_1,11.0,0
CRI.1.1_1,CRI.7.1_1,20.0,0
CRI.1.1_1,CRI.7.3_1,75.0,0
CRI.1.1_1,CRI.2.6_1,42.0,0
CRI.1.1_1,CRI.7.14_1,25.0,0
CRI.1.1_1,CRI.1.8_1,20.0,0
CRI.1.1_1,CRI.1.13_1,70.0,0
CRI.1.1_1,CRI.2.2_1,102.0,0
CRI.1.1_1,CRI.7.9_1,8.0,0
CRI.1.1_1,CRI.7.19_1,4.0,0
CRI.1.1_1,CRI.6.5_1,31.0,0
CRI.1.1_1,CRI.2.1_1,8.0,0
CRI.1.1_1,CRI.2.3_1,31.0,0
CRI.1.1_1,CRI.4.10_1,35.0,0
CRI.1.1_1,CRI.6.8_1,10.0,0
CRI.1.1_1,CRI.7.17_1,8.0,0
CRI.1.1_1,CRI.6.6_1,9.0,0
CRI.1.1_1,CRI.6.10_1,6.0,0
CRI.1.1_1,CRI.1.11_1,86.0,0
CRI.1.1_1,CRI.7.6_1,3.0,0
CRI.1.1_1,CRI.2.7_1,29.0,0
CRI.1.1_1,CRI.5.1_1,24.0,0
CRI.1.1_1,CRI.2.4_1,13.0,0
CRI.1.1_1,CRI.5.4_1,52.0,0
CRI.1.1_1,CRI.6.1_1,11.0,0
CRI.1.1_1,CRI.2.8_1,30.0,0
CRI.1.1_1,CRI.5.5_1,20.0,0
CRI.1.1_1,CRI.3.1_1,10.0,0
CRI.1.1_1,CRI.3.11_1,11.0,0
CRI.1.1_1,CRI.6.11_1,37.0,0
CRI.1.1_1,CRI.1.5_1,11.0,0
CRI.1.1_1,CRI.7.13_1,28.0,0
CRI.1.1_1,CRI.1.6_1,9.0,0
CRI.1.1_1,CRI.5.3_1,15.0,0
CRI.1.1_1,CRI.3.3_1,9.0,0
CRI.1.1_1,CRI.3.8_1,2.0,0
CRI.1.1_1,CRI.5.2_1,28.0,0
CRI.1.1_1,CRI.3.2_1,6.0,0
CRI.1.1_1,CRI.3.5_1,4.0,0
CRI.1.1_1,CRI.1.14_1,8.0,0
CRI.1.1_1,CRI.3.9_1,20.0,0
CRI.1.1_1,CRI.5.6_1,12.0,0
CRI.1.1_1,CRI.6.2_1,14.0,0
CRI.1.1_1,CRI.3.7_1,17.0,0
CRI.1.1_1,CRI.3.4_1,6.0,0
CRI.1.1_1,CRI.6.9_1,7.0,0
CRI.1.1_1,CRI.3.10_1,12.0,0
CRI.1.1_1,CRI.3.6_1,6.0,0
CRI.1.1_1,CRI.6.4_1,5.0,0
CRI.1.1_1,CRI.6.7_1,10.0,0
CRI.1.1_1,CRI.6.3_1,9.0,0
CRI.1.2_1,CRI.1.7_1,557.0,0
CRI.1.2_1,CRI.1.15_1,43.0,0
CRI.1.2_1,CRI.1.9_1,59.0,0
CRI.1.2_1,CRI.1.4_1,32.0,0
CRI.1.2_1,CRI.1.13_1,16.0,0
CRI.1.2_1,CRI.1.10_1,3.0,0
CRI.1.2_1,CRI.1.1_1,13.0,0
CRI.1.2_1,CRI.4.8_1,2.0,0
CRI.1.2_1,CRI.6.8_1,1.0,0
CRI.1.2_1,CRI.4.3_1,1.0,0
CRI.1.2_1,CRI.4.4_1,5.0,0
CRI.1.2_1,CRI.6.5_1,1.0,0
CRI.1.2_1,CRI.1.11_1,2.0,0
CRI.1.2_1,CRI.7.15_1,1.0,0
CRI.1.2_1,CRI.7.8_1,1.0,0
CRI.1.2_1,CRI.2.5_1,2.0,0
CRI.1.2_1,CRI.7.3_1,1.0,0
CRI.1.3_1,CRI.1.9_1,972.0,0
CRI.1.3_1,CRI.1.12_1,64.0,0
CRI.1.3_1,CRI.1.7_1,215.0,0
CRI.1.3_1,CRI.7.11_1,94.0,0
CRI.1.3_1,CRI.1.8_1,61.0,0
CRI.1.3_1,CRI.1.1_1,161.0,0
CRI.1.3_1,CRI.1.10_1,6.0,0
CRI.1.3_1,CRI.7.16_1,13.0,0
CRI.1.3_1,CRI.4.2_1,9.0,0
CRI.1.3_1,CRI.1.15_1,4.0,0
CRI.1.3_1,CRI.7.14_1,3.0,0
CRI.1.3_1,CRI.7.19_1,1.0,0
CRI.1.3_1,CRI.6.5_1,6.0,0
CRI.1.3_1,CRI.4.3_1,2.0,0
CRI.1.3_1,CRI.7.7_1,7.0,0
CRI.1.3_1,CRI.7.1_1,1.0,0
CRI.1.3_1,CRI.7.2_1,8.0,0
CRI.1.3_1,CRI.4.1_1,1.0,0
CRI.1.3_1,CRI.4.6_1,2.0,0
CRI.1.3_1,CRI.7.15_1,3.0,0
CRI.1.3_1,CRI.1.13_1,2.0,0
CRI.1.3_1,CRI.4.4_1,3.0,0
CRI.1.3_1,CRI.7.5_1,3.0,0
CRI.1.3_1,CRI.7.12_1,1.0,0
CRI.1.3_1,CRI.7.10_1,2.0,0
CRI.1.3_1,CRI.2.5_1,4.0,0
CRI.1.3_1,CRI.7.9_1,1.0,0
CRI.1.3_1,CRI.7.20_1,2.0,0
CRI.1.3_1,CRI.2.2_1,1.0,0
CRI.1.3_1,CRI.1.11_1,2.0,0
CRI.1.3_1,CRI.4.10_1,1.0,0
CRI.1.3_1,CRI.3.11_1,1.0,0
CRI.1.3_1,CRI.5.5_1,1.0,0
CRI.1.4_1,CRI.1.15_1,839.0,0
CRI.1.4_1,CRI.1.2_1,399.0,0
CRI.1.4_1,CRI.1.10_1,658.0,0
CRI.1.4_1,CRI.1.1_1,1800.0,0
CRI.1.4_1,CRI.4.4_1,247.0,0
CRI.1.4_1,CRI.4.8_1,34.0,0
CRI.1.4_1,CRI.1.7_1,36.0,0
CRI.1.4_1,CRI.4.1_1,36.0,0
CRI.1.4_1,CRI.4.7_1,24.0,0
CRI.1.4_1,CRI.4.3_1,9.0,0
CRI.1.4_1,CRI.4.10_1,39.0,0
CRI.1.4_1,CRI.1.9_1,23.0,0
CRI.1.4_1,CRI.4.2_1,13.0,0
CRI.1.4_1,CRI.4.5_1,10.0,0
CRI.1.4_1,CRI.4.6_1,14.0,0
CRI.1.4_1,CRI.1.11_1,61.0,0
CRI.1.4_1,CRI.7.12_1,15.0,0
CRI.1.4_1,CRI.4.9_1,11.0,0
CRI.1.4_1,CRI.1.13_1,23.0,0
CRI.1.4_1,CRI.1.3_1,7.0,0
CRI.1.4_1,CRI.7.18_1,8.0,0
CRI.1.4_1,CRI.7.16_1,17.0,0
CRI.1.4_1,CRI.7.20_1,4.0,0
CRI.1.4_1,CRI.7.15_1,28.0,0
CRI.1.4_1,CRI.7.7_1,13.0,0
