origin,destination,flow,time
CZE.1_1,CZE.4_1,3007.0,0
CZE.1_1,CZE.12_1,2160.0,0
CZE.1_1,CZE.10_1,273.0,0
CZE.1_1,CZE.11_1,331.0,0
CZE.1_1,CZE.9_1,85.0,0
CZE.1_1,CZE.2_1,145.0,0
CZE.1_1,CZE.13_1,64.0,0
CZE.1_1,CZE.3_1,20.0,0
CZE.1_1,CZE.5_1,44.0,0
CZE.1_1,CZE.6_1,29.0,0
CZE.1_1,CZE.8_1,31.0,0
CZE.1_1,CZE.14_1,24.0,0
CZE.1_1,CZE.7_1,35.0,0
CZE.2_1,CZE.4_1,3997.0,0
CZE.2_1,CZE.14_1,2327.0,0
CZE.2_1,CZE.8_1,1385.0,0
CZE.2_1,CZE.9_1,812.0,0
CZE.2_1,CZE.7_1,1194.0,0
CZE.2_1,CZE.5_1,387.0,0
CZE.2_1,CZE.1_1,337.0,0
CZE.2_1,CZE.12_1,582.0,0
CZE.2_1,CZE.11_1,332.0,0
CZE.2_1,CZE.6_1,83.0,0
CZE.2_1,CZE.10_1,97.0,0
CZE.2_1,CZE.13_1,150.0,0
CZE.2_1,CZE.3_1,42.0,0
CZE.3_1,CZE.10_1,1991.0,0
CZE.3_1,CZE.13_1,456.0,0
CZE.3_1,CZE.11_1,226.0,0
CZE.3_1,CZE.12_1,95.0,0
CZE.3_1,CZE.6_1,14.0,0
CZE.3_1,CZE.1_1,18.0,0
CZE.3_1,CZE.5_1,19.0,0
CZE.3_1,CZE.4_1,13.0,0
CZE.3_1,CZE.9_1,11.0,0
CZE.3_1,CZE.2_1,14.0,0
CZE.3_1,CZE.8_1,9.0,0
CZE.3_1,CZE.7_1,9.0,0
CZE.3_1,CZE.14_1,5.0,0
CZE.4_1,CZE.9_1,2646.0,0
CZE.4_1,CZE.2_1,1418.0,0
CZE.4_1,CZE.1_1,263.0,0
CZE.4_1,CZE.12_1,352.0,0
CZE.4_1,CZE.5_1,55.0,0
CZE.4_1,CZE.11_1,120.0,0
CZE.4_1,CZE.8_1,37.0,0
CZE.4_1,CZE.14_1,37.0,0
CZE.4_1,CZE.6_1,16.0,0
CZE.4_1,CZE.7_1,42.0,0
CZE.4_1,CZE.10_1,15.0,0
CZE.4_1,CZE.13_1,24.0,0
CZE.4_1,CZE.3_1,8.0,0
CZE.5_1,CZE.9_1,2809.0,0
CZE.5_1,CZE.6_1,854.0,0
CZE.5_1,CZE.12_1,1050.0,0
CZE.5_1,CZE.11_1,304.0,0
CZE.5_1,CZE.4_1,63.0,0
CZE.5_1,CZE.8_1,74.0,0
CZE.5_1,CZE.13_1,70.0,0
CZE.5_1,CZE.2_1,85.0,0
CZE.5_1,CZE.7_1,57.0,0
CZE.5_1,CZE.1_1,22.0,0
CZE.5_1,CZE.14_1,11.0,0
CZE.5_1,CZE.10_1,18.0,0
CZE.5_1,CZE.3_1,6.0,0
CZE.6_1,CZE.5_1,2454.0,0
CZE.6_1,CZE.11_1,1151.0,0
CZE.6_1,CZE.13_1,228.0,0
CZE.6_1,CZE.12_1,210.0,0
CZE.6_1,CZE.9_1,35.0,0
CZE.6_1,CZE.4_1,34.0,0
CZE.6_1,CZE.3_1,23.0,0
CZE.6_1,CZE.10_1,38.0,0
CZE.6_1,CZE.1_1,34.0,0
CZE.6_1,CZE.8_1,22.0,0
CZE.6_1,CZE.2_1,35.0,0
CZE.6_1,CZE.7_1,23.0,0
CZE.6_1,CZE.14_1,7.0,0
CZE.7_1,CZE.8_1,4385.0,0
CZE.7_1,CZE.14_1,2008.0,0
CZE.7_1,CZE.2_1,2109.0,0
CZE.7_1,CZE.9_1,531.0,0
CZE.7_1,CZE.5_1,439.0,0
CZE.7_1,CZE.4_1,310.0,0
CZE.7_1,CZE.6_1,241.0,0
CZE.7_1,CZE.12_1,581.0,0
CZE.7_1,CZE.11_1,292.0,0
CZE.7_1,CZE.1_1,131.0,0
CZE.7_1,CZE.13_1,107.0,0
CZE.7_1,CZE.10_1,85.0,0
CZE.7_1,CZE.3_1,39.0,0
CZE.8_1,CZE.7_1,4111.0,0
CZE.8_1,CZE.9_1,518.0,0
CZE.8_1,CZE.14_1,336.0,0
