origin,destination,flow,time
DEU.1.1_1,DEU.1.43_1,36120.0,0
DEU.1.1_1,DEU.2.61_1,22025.0,0
DEU.1.1_1,DEU.1.14_1,13275.0,0
DEU.1.1_1,DEU.1.3_1,5491.0,0
DEU.1.1_1,DEU.1.34_1,4716.0,0
DEU.1.1_1,DEU.1.16_1,1453.0,0
DEU.1.1_1,DEU.2.38_1,1272.0,0
DEU.1.1_1,DEU.1.11_1,3602.0,0
DEU.1.1_1,DEU.2.56_1,205.0,0
DEU.1.1_1,DEU.2.23_1,406.0,0
DEU.1.1_1,DEU.1.29_1,1204.0,0
DEU.1.1_1,DEU.2.90_1,401.0,0
DEU.1.1_1,DEU.1.39_1,375.0,0
DEU.1.1_1,DEU.1.33_1,922.0,0
DEU.1.1_1,DEU.1.41_1,429.0,0
DEU.1.1_1,DEU.1.40_1,898.0,0
DEU.1.1_1,DEU.1.32_1,328.0,0
DEU.1.1_1,DEU.2.10_1,222.0,0
DEU.1.1_1,DEU.1.45_1,189.0,0
DEU.1.1_1,DEU.1.4_1,318.0,0
DEU.1.1_1,DEU.2.9_1,200.0,0
DEU.1.1_1,DEU.1.24_1,331.0,0
DEU.1.1_1,DEU.2.25_1,63.0,0
DEU.1.1_1,DEU.1.6_1,124.0,0
DEU.1.1_1,DEU.2.45_1,26.0,0
DEU.1.1_1,DEU.2.43_1,27.0,0
DEU.1.1_1,DEU.1.37_1,83.0,0
DEU.1.1_1,DEU.1.42_1,55.0,0
DEU.1.1_1,DEU.2.53_1,35.0,0
DEU.1.1_1,DEU.2.1_1,54.0,0
DEU.1.1_1,DEU.1.5_1,2.0,0
DEU.1.1_1,DEU.2.69_1,58.0,0
DEU.1.1_1,DEU.1.8_1,58.0,0
DEU.1.1_1,DEU.2.49_1,48.0,0
DEU.1.1_1,DEU.1.22_1,104.0,0
DEU.1.1_1,DEU.1.17_1,35.0,0
DEU.1.1_1,DEU.1.36_1,43.0,0
DEU.1.1_1,DEU.1.30_1,31.0,0
DEU.1.1_1,DEU.2.68_1,54.0,0
DEU.1.1_1,DEU.1.19_1,32.0,0
DEU.1.1_1,DEU.1.18_1,91.0,0
DEU.1.1_1,DEU.1.10_1,45.0,0
DEU.1.1_1,DEU.1.13_1,18.0,0
DEU.1.1_1,DEU.2.35_1,43.0,0
DEU.1.1_1,DEU.2.62_1,32.0,0
DEU.1.1_1,DEU.2.94_1,18.0,0
DEU.1.1_1,DEU.2.6_1,42.0,0
DEU.1.1_1,DEU.2.5_1,8.0,0
DEU.1.1_1,DEU.2.21_1,31.0,0
DEU.1.1_1,DEU.1.38_1,54.0,0
DEU.1.1_1,DEU.2.93_1,24.0,0
DEU.1.1_1,DEU.2.85_1,24.0,0
DEU.1.1_1,DEU.1.21_1,86.0,0
DEU.1.1_1,DEU.2.42_1,24.0,0
DEU.1.1_1,DEU.1.31_1,40.0,0
DEU.1.1_1,DEU.1.2_1,11.0,0
DEU.1.1_1,DEU.1.20_1,48.0,0
DEU.1.1_1,DEU.1.27_1,22.0,0
DEU.1.1_1,DEU.2.27_1,18.0,0
DEU.1.1_1,DEU.2.72_1,19.0,0
DEU.1.1_1,DEU.1.25_1,19.0,0
DEU.1.1_1,DEU.2.79_1,19.0,0
DEU.1.1_1,DEU.2.54_1,185.0,0
DEU.1.1_1,DEU.1.35_1,48.0,0
DEU.1.1_1,DEU.1.28_1,31.0,0
DEU.1.1_1,DEU.2.37_1,8.0,0
DEU.1.1_1,DEU.2.81_1,4.0,0
DEU.1.1_1,DEU.2.64_1,9.0,0
DEU.1.1_1,DEU.2.36_1,7.0,0
DEU.1.1_1,DEU.2.60_1,39.0,0
DEU.1.1_1,DEU.1.15_1,11.0,0
DEU.1.1_1,DEU.11.12_1,8.0,0
DEU.1.1_1,DEU.2.33_1,7.0,0
DEU.1.1_1,DEU.1.44_1,20.0,0
DEU.1.1_1,DEU.2.12_1,14.0,0
DEU.1.1_1,DEU.11.28_1,9.0,0
DEU.1.1_1,DEU.1.9_1,11.0,0
DEU.1.1_1,DEU.2.31_1,7.0,0
DEU.1.1_1,DEU.2.67_1,38.0,0
DEU.1.1_1,DEU.2.96_1,11.0,0
DEU.1.1_1,DEU.1.7_1,21.0,0
