origin,destination,flow,time
DJI.1.1_1,DJI.3.1_1,2125.0,0
DJI.1.1_1,DJI.2.2_1,32.0,0
DJI.1.1_1,DJI.5.4_1,15.0,0
DJI.1.1_1,DJI.5.3_1,29.0,0
DJI.1.1_1,DJI.2.3_1,31.0,0
DJI.1.1_1,DJI.2.1_1,11.0,0
DJI.1.1_1,DJI.5.1_1,15.0,0
DJI.1.1_1,DJI.4.2_1,11.0,0
DJI.1.1_1,DJI.5.2_1,13.0,0
DJI.1.1_1,DJI.4.1_1,9.0,0
DJI.2.1_1,DJI.2.3_1,356.0,0
DJI.2.1_1,DJI.2.2_1,49.0,0
DJI.2.1_1,DJI.5.1_1,20.0,0
DJI.2.1_1,DJI.1.1_1,40.0,0
DJI.2.1_1,DJI.5.4_1,2.0,0
DJI.2.1_1,DJI.3.1_1,27.0,0
DJI.2.1_1,DJI.4.1_1,1.0,0
DJI.2.2_1,DJI.1.1_1,593.0,0
DJI.2.2_1,DJI.2.3_1,68.0,0
DJI.2.2_1,DJI.2.1_1,9.0,0
DJI.2.2_1,DJI.3.1_1,69.0,0
DJI.2.2_1,DJI.5.3_1,4.0,0
DJI.2.2_1,DJI.5.2_1,3.0,0
DJI.2.2_1,DJI.4.2_1,4.0,0
DJI.2.3_1,DJI.5.1_1,475.0,0
DJI.2.3_1,DJI.2.1_1,196.0,0
DJI.2.3_1,DJI.2.2_1,162.0,0
DJI.2.3_1,DJI.5.4_1,61.0,0
DJI.2.3_1,DJI.5.3_1,94.0,0
DJI.2.3_1,DJI.5.2_1,73.0,0
DJI.2.3_1,DJI.1.1_1,101.0,0
DJI.2.3_1,DJI.3.1_1,133.0,0
DJI.2.3_1,DJI.4.2_1,6.0,0
DJI.2.3_1,DJI.4.1_1,1.0,0
DJI.3.1_1,DJI.1.1_1,3911.0,0
DJI.3.1_1,DJI.5.4_1,567.0,0
DJI.3.1_1,DJI.2.2_1,901.0,0
DJI.3.1_1,DJI.5.3_1,832.0,0
DJI.3.1_1,DJI.4.2_1,736.0,0
DJI.3.1_1,DJI.5.1_1,648.0,0
DJI.3.1_1,DJI.2.3_1,1004.0,0
DJI.3.1_1,DJI.5.2_1,654.0,0
DJI.3.1_1,DJI.4.1_1,255.0,0
DJI.3.1_1,DJI.2.1_1,316.0,0
DJI.4.1_1,DJI.4.2_1,263.0,0
DJI.4.1_1,DJI.5.3_1,60.0,0
DJI.4.1_1,DJI.5.2_1,30.0,0
DJI.4.1_1,DJI.5.4_1,5.0,0
DJI.4.1_1,DJI.5.1_1,7.0,0
DJI.4.1_1,DJI.3.1_1,31.0,0
DJI.4.1_1,DJI.1.1_1,1.0,0
DJI.4.1_1,DJI.2.3_1,2.0,0
DJI.4.2_1,DJI.4.1_1,261.0,0
DJI.4.2_1,DJI.5.3_1,200.0,0
DJI.4.2_1,DJI.5.4_1,49.0,0
DJI.4.2_1,DJI.5.2_1,68.0,0
DJI.4.2_1,DJI.3.1_1,137.0,0
DJI.4.2_1,DJI.5.1_1,2.0,0
DJI.4.2_1,DJI.1.1_1,3.0,0
DJI.4.2_1,DJI.2.3_1,2.0,0
DJI.4.2_1,DJI.2.1_1,2.0,0
DJI.5.1_1,DJI.5.2_1,381.0,0
DJI.5.1_1,DJI.5.3_1,122.0,0
DJI.5.1_1,DJI.2.3_1,88.0,0
DJI.5.1_1,DJI.5.4_1,11.0,0
DJI.5.1_1,DJI.2.2_1,16.0,0
DJI.5.1_1,DJI.3.1_1,77.0,0
DJI.5.1_1,DJI.2.1_1,2.0,0
DJI.5.1_1,DJI.1.1_1,3.0,0
DJI.5.1_1,DJI.4.1_1,4.0,0
DJI.5.2_1,DJI.5.3_1,440.0,0
DJI.5.2_1,DJI.5.1_1,127.0,0
DJI.5.2_1,DJI.4.1_1,47.0,0
DJI.5.2_1,DJI.5.4_1,50.0,0
DJI.5.2_1,DJI.4.2_1,56.0,0
DJI.5.2_1,DJI.2.3_1,56.0,0
DJI.5.2_1,DJI.3.1_1,82.0,0
DJI.5.2_1,DJI.2.2_1,2.0,0
DJI.5.2_1,DJI.1.1_1,5.0,0
DJI.5.3_1,DJI.5.4_1,288.0,0
DJI.5.3_1,DJI.5.2_1,205.0,0
DJI.5.3_1,DJI.5.1_1,71.0,0
DJI.5.3_1,DJI.4.2_1,51.0,0
DJI.5.3_1,DJI.4.1_1,15.0,0
DJI.5.3_1,DJI.3.1_1,110.0,0
DJI.5.3_1,DJI.2.3_1,6.0,0
DJI.5.3_1,DJI.2.2_1,1.0,0
DJI.5.3_1,DJI.1.1_1,8.0,0
DJI.5.3_1,DJI.2.1_1,1.0,0
DJI.5.4_1,DJI.5.3_1,261.0,0
DJI.5.4_1,DJI.3.1_1,145.0,0
DJI.5.4_1,DJI.5.1_1,1.0,0
DJI.5.4_1,DJI.4.2_1,2.0,0
DJI.5.4_1,DJI.1.1_1,2.0,0
DJI.5.4_1,DJI.2.2_1,1.0,0
DJI.5.4_1,DJI.2.3_1,1.0,0
DJI.5.4_1,DJI.4.1_1,1.0,0
DJI.1.1_1,DJI.1.1_1,112290.50726972539,0
DJI.2.1_1,DJI.2.1_1,24285.191084285936,0
DJI.2.2_1,DJI.2.2_1,36761.99284645081,0
DJI.2.3_1,DJI.2.3_1,63825.43711780784,0
DJI.3.1_1,DJI.3.1_1,481417.5426031495,0
DJI.4.1_1,DJI.4.1_1,19567.383976392743,0
DJI.4.2_1,DJI.4.2_1,35514.65316575524,0
DJI.5.1_1,DJI.5.1_1,34501.717826662054,0
DJI.5.2_1,DJI.5.2_1,42390.309033660866,0
DJI.5.3_1,DJI.5.3_1,37048.76304452892,0
DJI.5.4_1,DJI.5.4_1,20288.129976787568,0
