origin,destination,flow,time
DMA.1_1,DMA.4_1,102.0,0
DMA.1_1,DMA.10_1,6.0,0
DMA.1_1,DMA.5_1,20.0,0
DMA.1_1,DMA.2_1,13.0,0
DMA.1_1,DMA.9_1,19.0,0
DMA.1_1,DMA.3_1,14.0,0
DMA.1_1,DMA.8_1,3.0,0
DMA.2_1,DMA.9_1,77.0,0
DMA.2_1,DMA.5_1,16.0,0
DMA.2_1,DMA.3_1,17.0,0
DMA.2_1,DMA.8_1,2.0,0
DMA.2_1,DMA.1_1,3.0,0
DMA.2_1,DMA.4_1,1.0,0
DMA.3_1,DMA.8_1,166.0,0
DMA.3_1,DMA.6_1,26.0,0
DMA.3_1,DMA.9_1,123.0,0
DMA.3_1,DMA.7_1,16.0,0
DMA.3_1,DMA.2_1,36.0,0
DMA.3_1,DMA.5_1,22.0,0
DMA.3_1,DMA.10_1,4.0,0
DMA.3_1,DMA.1_1,28.0,0
DMA.3_1,DMA.4_1,19.0,0
DMA.4_1,DMA.10_1,29.0,0
DMA.4_1,DMA.1_1,69.0,0
DMA.4_1,DMA.5_1,11.0,0
DMA.4_1,DMA.9_1,20.0,0
DMA.4_1,DMA.2_1,3.0,0
DMA.4_1,DMA.3_1,6.0,0
DMA.4_1,DMA.8_1,1.0,0
DMA.5_1,DMA.9_1,83.0,0
DMA.5_1,DMA.10_1,3.0,0
DMA.5_1,DMA.1_1,10.0,0
DMA.5_1,DMA.2_1,6.0,0
DMA.5_1,DMA.4_1,4.0,0
DMA.5_1,DMA.3_1,8.0,0
DMA.5_1,DMA.6_1,1.0,0
DMA.6_1,DMA.7_1,15.0,0
DMA.6_1,DMA.3_1,14.0,0
DMA.7_1,DMA.6_1,22.0,0
DMA.7_1,DMA.8_1,8.0,0
DMA.7_1,DMA.3_1,8.0,0
DMA.8_1,DMA.3_1,121.0,0
DMA.8_1,DMA.6_1,2.0,0
DMA.8_1,DMA.7_1,1.0,0
DMA.8_1,DMA.9_1,7.0,0
DMA.8_1,DMA.2_1,3.0,0
DMA.8_1,DMA.5_1,4.0,0
DMA.8_1,DMA.1_1,2.0,0
DMA.8_1,DMA.10_1,2.0,0
DMA.8_1,DMA.4_1,1.0,0
DMA.9_1,DMA.3_1,184.0,0
DMA.9_1,DMA.5_1,9.0,0
DMA.9_1,DMA.2_1,11.0,0
DMA.9_1,DMA.8_1,7.0,0
DMA.9_1,DMA.1_1,12.0,0
DMA.9_1,DMA.4_1,5.0,0
DMA.10_1,DMA.4_1,25.0,0
DMA.10_1,DMA.5_1,2.0,0
DMA.10_1,DMA.3_1,2.0,0
DMA.1_1,DMA.1_1,8682.191744956976,0
DMA.2_1,DMA.2_1,5727.593254756925,0
DMA.3_1,DMA.3_1,21590.19876220707,0
DMA.4_1,DMA.4_1,6857.84411140442,0
DMA.5_1,DMA.5_1,5657.311647109982,0
DMA.6_1,DMA.6_1,1458.9150210571286,0
DMA.7_1,DMA.7_1,1867.5329752349814,0
DMA.8_1,DMA.8_1,7038.394112930298,0
DMA.9_1,DMA.9_1,11188.68718566893,0
DMA.10_1,DMA.10_1,1462.4303856277445,0
