origin,destination,flow,time
DZA.1.1_1,DZA.1.20_1,538.0,0
DZA.1.1_1,DZA.1.12_1,344.0,0
DZA.1.1_1,DZA.1.8_1,309.0,0
DZA.1.1_1,DZA.1.18_1,95.0,0
DZA.1.1_1,DZA.1.9_1,368.0,0
DZA.1.1_1,DZA.1.6_1,261.0,0
DZA.1.1_1,DZA.1.7_1,249.0,0
DZA.1.1_1,DZA.1.27_1,265.0,0
DZA.1.1_1,DZA.1.21_1,311.0,0
DZA.1.1_1,DZA.1.13_1,153.0,0
DZA.1.1_1,DZA.1.28_1,152.0,0
DZA.1.1_1,DZA.1.22_1,76.0,0
DZA.1.1_1,DZA.1.19_1,107.0,0
DZA.1.1_1,DZA.1.10_1,111.0,0
DZA.1.1_1,DZA.7.12_1,23.0,0
DZA.1.1_1,DZA.7.17_1,30.0,0
DZA.1.1_1,DZA.1.3_1,73.0,0
DZA.1.1_1,DZA.1.15_1,41.0,0
DZA.1.1_1,DZA.1.4_1,121.0,0
DZA.1.1_1,DZA.1.14_1,33.0,0
DZA.1.1_1,DZA.1.26_1,24.0,0
DZA.1.1_1,DZA.7.21_1,6.0,0
DZA.1.1_1,DZA.1.2_1,39.0,0
DZA.1.1_1,DZA.1.17_1,43.0,0
DZA.1.1_1,DZA.7.11_1,20.0,0
DZA.1.1_1,DZA.1.24_1,113.0,0
DZA.1.1_1,DZA.7.4_1,6.0,0
DZA.1.1_1,DZA.1.11_1,11.0,0
DZA.1.1_1,DZA.41.4_1,35.0,0
DZA.1.1_1,DZA.7.7_1,13.0,0
DZA.1.1_1,DZA.1.16_1,61.0,0
DZA.1.1_1,DZA.7.20_1,1.0,0
DZA.1.1_1,DZA.7.3_1,27.0,0
DZA.1.1_1,DZA.41.7_1,59.0,0
DZA.1.1_1,DZA.1.25_1,21.0,0
DZA.1.1_1,DZA.7.9_1,13.0,0
DZA.1.1_1,DZA.7.18_1,6.0,0
DZA.1.1_1,DZA.20.9_1,32.0,0
DZA.1.1_1,DZA.7.19_1,8.0,0
DZA.1.1_1,DZA.7.5_1,22.0,0
DZA.1.1_1,DZA.17.11_1,1.0,0
DZA.1.1_1,DZA.7.14_1,4.0,0
DZA.1.1_1,DZA.7.1_1,15.0,0
DZA.1.1_1,DZA.7.2_1,168.0,0
DZA.1.1_1,DZA.7.8_1,3.0,0
DZA.1.1_1,DZA.41.2_1,4.0,0
DZA.1.1_1,DZA.7.10_1,5.0,0
DZA.1.1_1,DZA.20.6_1,34.0,0
DZA.1.1_1,DZA.17.10_1,51.0,0
DZA.1.1_1,DZA.7.15_1,1.0,0
DZA.1.1_1,DZA.31.9_1,1.0,0
DZA.1.1_1,DZA.1.5_1,15.0,0
DZA.1.1_1,DZA.31.3_1,4.0,0
DZA.1.1_1,DZA.41.6_1,4.0,0
DZA.1.1_1,DZA.44.1_1,1.0,0
DZA.1.1_1,DZA.31.11_1,1.0,0
DZA.1.1_1,DZA.17.5_1,4.0,0
DZA.1.1_1,DZA.31.12_1,4.0,0
DZA.1.1_1,DZA.31.2_1,23.0,0
DZA.1.1_1,DZA.20.8_1,3.0,0
DZA.1.1_1,DZA.17.6_1,6.0,0
DZA.1.1_1,DZA.17.8_1,1.0,0
DZA.1.1_1,DZA.20.12_1,1.0,0
DZA.1.1_1,DZA.33.8_1,14.0,0
DZA.1.1_1,DZA.31.1_1,8.0,0
DZA.1.1_1,DZA.31.10_1,8.0,0
DZA.1.1_1,DZA.17.13_1,4.0,0
DZA.1.1_1,DZA.20.11_1,12.0,0
DZA.1.1_1,DZA.17.16_1,1.0,0
DZA.1.1_1,DZA.31.8_1,18.0,0
DZA.1.1_1,DZA.20.3_1,4.0,0
DZA.1.1_1,DZA.33.14_1,13.0,0
DZA.1.1_1,DZA.17.14_1,1.0,0
DZA.1.1_1,DZA.20.2_1,6.0,0
DZA.1.1_1,DZA.17.22_1,1.0,0
DZA.1.1_1,DZA.25.2_1,2.0,0
DZA.1.1_1,DZA.44.2_1,10.0,0
DZA.1.1_1,DZA.20.7_1,10.0,0
DZA.1.1_1,DZA.17.9_1,2.0,0
DZA.1.1_1,DZA.20.4_1,4.0,0
DZA.1.1_1,DZA.31.6_1,5.0,0
DZA.1.1_1,DZA.31.5_1,3.0,0
DZA.1.1_1,DZA.17.3_1,2.0,0
DZA.1.1_1,DZA.20.13_1,2.0,0
DZA.1.1_1,DZA.31.7_1,2.0,0
DZA.1.1_1,DZA.20.1_1,4.0,0
