origin,destination,flow,time
EGY.1.1_1,EGY.5.8_1,2312.0,0
EGY.1.1_1,EGY.5.2_1,591.0,0
EGY.1.1_1,EGY.1.4_1,548.0,0
EGY.1.1_1,EGY.1.8_1,605.0,0
EGY.1.1_1,EGY.5.3_1,194.0,0
EGY.1.1_1,EGY.1.5_1,129.0,0
EGY.1.1_1,EGY.1.15_1,290.0,0
EGY.1.1_1,EGY.16.11_1,110.0,0
EGY.1.1_1,EGY.5.12_1,91.0,0
EGY.1.1_1,EGY.1.3_1,78.0,0
EGY.1.1_1,EGY.5.1_1,78.0,0
EGY.1.1_1,EGY.5.4_1,42.0,0
EGY.1.1_1,EGY.1.19_1,20.0,0
EGY.1.1_1,EGY.1.17_1,20.0,0
EGY.1.1_1,EGY.1.20_1,11.0,0
EGY.1.1_1,EGY.1.13_1,4.0,0
EGY.1.1_1,EGY.16.6_1,5.0,0
EGY.1.1_1,EGY.5.10_1,16.0,0
EGY.1.1_1,EGY.5.9_1,30.0,0
EGY.1.1_1,EGY.16.7_1,3.0,0
EGY.1.1_1,EGY.5.11_1,6.0,0
EGY.1.1_1,EGY.5.7_1,15.0,0
EGY.1.1_1,EGY.16.14_1,9.0,0
EGY.1.1_1,EGY.9.4_1,5.0,0
EGY.1.1_1,EGY.1.9_1,5.0,0
EGY.1.1_1,EGY.12.6_1,1.0,0
EGY.1.1_1,EGY.16.13_1,5.0,0
EGY.1.1_1,EGY.16.21_1,7.0,0
EGY.1.1_1,EGY.16.19_1,22.0,0
EGY.1.1_1,EGY.16.20_1,4.0,0
EGY.1.1_1,EGY.9.7_1,10.0,0
EGY.1.1_1,EGY.1.11_1,11.0,0
EGY.1.1_1,EGY.16.4_1,8.0,0
EGY.1.1_1,EGY.23.4_1,6.0,0
EGY.1.1_1,EGY.16.16_1,11.0,0
EGY.1.1_1,EGY.9.11_1,5.0,0
EGY.1.1_1,EGY.23.7_1,5.0,0
EGY.1.1_1,EGY.1.18_1,8.0,0
EGY.1.1_1,EGY.16.9_1,4.0,0
EGY.1.1_1,EGY.5.5_1,4.0,0
EGY.1.1_1,EGY.9.9_1,12.0,0
EGY.1.1_1,EGY.5.6_1,4.0,0
EGY.1.1_1,EGY.1.14_1,2.0,0
EGY.1.1_1,EGY.21.8_1,2.0,0
EGY.1.1_1,EGY.23.9_1,2.0,0
EGY.1.1_1,EGY.12.5_1,4.0,0
EGY.1.1_1,EGY.1.10_1,9.0,0
EGY.1.1_1,EGY.9.2_1,5.0,0
EGY.1.1_1,EGY.16.3_1,3.0,0
EGY.1.1_1,EGY.16.12_1,7.0,0
EGY.1.1_1,EGY.9.1_1,3.0,0
EGY.1.1_1,EGY.16.10_1,5.0,0
EGY.1.1_1,EGY.16.15_1,1.0,0
EGY.1.1_1,EGY.3.12_1,2.0,0
EGY.1.1_1,EGY.9.10_1,1.0,0
EGY.1.1_1,EGY.23.3_1,1.0,0
EGY.1.1_1,EGY.21.5_1,1.0,0
EGY.1.1_1,EGY.9.5_1,3.0,0
EGY.1.1_1,EGY.3.10_1,3.0,0
EGY.1.1_1,EGY.12.12_1,1.0,0
EGY.1.1_1,EGY.23.5_1,3.0,0
EGY.1.1_1,EGY.23.2_1,4.0,0
EGY.1.1_1,EGY.1.6_1,1.0,0
EGY.1.1_1,EGY.23.1_1,1.0,0
EGY.1.1_1,EGY.9.3_1,2.0,0
EGY.1.1_1,EGY.12.2_1,3.0,0
EGY.1.1_1,EGY.12.4_1,1.0,0
EGY.1.1_1,EGY.12.8_1,1.0,0
EGY.1.1_1,EGY.3.3_1,1.0,0
EGY.1.1_1,EGY.23.6_1,1.0,0
EGY.1.1_1,EGY.11.10_1,1.0,0
EGY.1.1_1,EGY.11.17_1,2.0,0
EGY.1.1_1,EGY.3.7_1,1.0,0
EGY.1.1_1,EGY.3.4_1,1.0,0
EGY.1.1_1,EGY.12.11_1,1.0,0
