origin,destination,flow,time
ERI.1_1,ERI.5_1,30673.0,0
ERI.1_1,ERI.2_1,9156.0,0
ERI.1_1,ERI.4_1,3106.0,0
ERI.1_1,ERI.6_1,1196.0,0
ERI.1_1,ERI.3_1,215.0,0
ERI.2_1,ERI.1_1,38582.0,0
ERI.2_1,ERI.6_1,15690.0,0
ERI.2_1,ERI.5_1,15221.0,0
ERI.2_1,ERI.4_1,8352.0,0
ERI.2_1,ERI.3_1,817.0,0
ERI.3_1,ERI.5_1,7454.0,0
ERI.3_1,ERI.1_1,365.0,0
ERI.3_1,ERI.2_1,298.0,0
ERI.3_1,ERI.4_1,84.0,0
ERI.3_1,ERI.6_1,37.0,0
ERI.4_1,ERI.6_1,29323.0,0
ERI.4_1,ERI.1_1,15411.0,0
ERI.4_1,ERI.5_1,10612.0,0
ERI.4_1,ERI.2_1,6679.0,0
ERI.4_1,ERI.3_1,481.0,0
ERI.5_1,ERI.1_1,33254.0,0
ERI.5_1,ERI.2_1,20344.0,0
ERI.5_1,ERI.4_1,6827.0,0
ERI.5_1,ERI.6_1,2561.0,0
ERI.5_1,ERI.3_1,500.0,0
ERI.6_1,ERI.2_1,28440.0,0
ERI.6_1,ERI.4_1,4637.0,0
ERI.6_1,ERI.1_1,1670.0,0
ERI.6_1,ERI.5_1,1451.0,0
ERI.6_1,ERI.3_1,142.0,0
ERI.1_1,ERI.1_1,842582.6352935792,0
ERI.2_1,ERI.2_1,1494591.4226724834,0
ERI.3_1,ERI.3_1,156539.58254237205,0
ERI.4_1,ERI.4_1,1187617.811065771,0
ERI.5_1,ERI.5_1,1206244.9870096159,0
ERI.6_1,ERI.6_1,690463.56187849,0
