origin,destination,flow,time
EST.1.1_1,EST.1.2_1,10.0,0
EST.1.2_1,EST.1.1_1,14.0,0
EST.1.2_1,EST.1.10_1,56.0,0
EST.1.2_1,EST.1.16_1,31.0,0
EST.1.2_1,EST.4.1_1,2.0,0
EST.1.2_1,EST.4.2_1,8.0,0
EST.1.2_1,EST.1.4_1,9.0,0
EST.1.2_1,EST.1.8_1,14.0,0
EST.1.2_1,EST.1.17_1,21.0,0
EST.1.2_1,EST.1.11_1,1.0,0
EST.1.2_1,EST.6.2_1,1.0,0
EST.1.2_1,EST.1.12_1,4.0,0
EST.1.2_1,EST.1.7_1,2.0,0
EST.1.2_1,EST.4.4_1,1.0,0
EST.1.2_1,EST.1.20_1,9.0,0
EST.1.2_1,EST.6.11_1,1.0,0
EST.1.2_1,EST.3.7_1,1.0,0
EST.1.2_1,EST.8.12_1,1.0,0
EST.1.3_1,EST.1.5_1,277.0,0
EST.1.3_1,EST.1.19_1,44.0,0
EST.1.3_1,EST.1.20_1,161.0,0
EST.1.3_1,EST.1.18_1,2.0,0
EST.1.3_1,EST.1.15_1,1.0,0
EST.1.3_1,EST.1.22_1,1.0,0
EST.1.3_1,EST.1.17_1,1.0,0
EST.1.3_1,EST.1.12_1,2.0,0
EST.1.3_1,EST.1.4_1,1.0,0
EST.1.3_1,EST.11.9_1,2.0,0
EST.1.3_1,EST.11.1_1,1.0,0
EST.1.3_1,EST.4.2_1,1.0,0
EST.1.3_1,EST.6.7_1,1.0,0
EST.1.3_1,EST.8.12_1,3.0,0
EST.1.3_1,EST.8.9_1,1.0,0
EST.1.3_1,EST.3.2_1,1.0,0
EST.1.3_1,EST.3.7_1,1.0,0
EST.1.3_1,EST.12.11_1,1.0,0
EST.1.3_1,EST.3.10_1,1.0,0
EST.1.3_1,EST.3.6_1,2.0,0
EST.1.3_1,EST.12.4_1,1.0,0
EST.1.3_1,EST.3.16_1,1.0,0
EST.1.4_1,EST.1.12_1,104.0,0
EST.1.4_1,EST.1.16_1,8.0,0
EST.1.4_1,EST.1.17_1,24.0,0
EST.1.4_1,EST.1.22_1,6.0,0
EST.1.4_1,EST.1.20_1,10.0,0
EST.1.4_1,EST.4.2_1,1.0,0
EST.1.4_1,EST.4.9_1,1.0,0
EST.1.5_1,EST.1.21_1,24.0,0
EST.1.5_1,EST.1.3_1,257.0,0
EST.1.5_1,EST.1.19_1,83.0,0
EST.1.5_1,EST.1.15_1,8.0,0
EST.1.5_1,EST.1.6_1,11.0,0
EST.1.5_1,EST.1.14_1,5.0,0
EST.1.5_1,EST.1.18_1,41.0,0
EST.1.5_1,EST.1.13_1,5.0,0
EST.1.5_1,EST.1.20_1,155.0,0
EST.1.5_1,EST.11.6_1,1.0,0
EST.1.5_1,EST.1.17_1,2.0,0
EST.1.5_1,EST.1.22_1,3.0,0
EST.1.5_1,EST.1.8_1,1.0,0
EST.1.5_1,EST.7.1_1,2.0,0
EST.1.5_1,EST.1.2_1,1.0,0
EST.1.5_1,EST.4.12_1,1.0,0
EST.1.5_1,EST.4.8_1,1.0,0
EST.1.5_1,EST.8.12_1,1.0,0
EST.1.5_1,EST.6.10_1,2.0,0
EST.1.5_1,EST.8.10_1,2.0,0
EST.1.5_1,EST.15.10_1,1.0,0
EST.1.5_1,EST.12.6_1,1.0,0
EST.1.5_1,EST.15.14_1,2.0,0
EST.1.5_1,EST.8.11_1,1.0,0
EST.1.5_1,EST.12.1_1,1.0,0
EST.1.5_1,EST.13.18_1,2.0,0
EST.1.5_1,EST.3.8_1,1.0,0
EST.1.5_1,EST.3.6_1,2.0,0
EST.1.5_1,EST.3.16_1,2.0,0
EST.1.5_1,EST.16.7_1,1.0,0
EST.1.6_1,EST.1.21_1,21.0,0
EST.1.6_1,EST.1.13_1,22.0,0
EST.1.6_1,EST.1.19_1,31.0,0
EST.1.6_1,EST.11.6_1,6.0,0
EST.1.6_1,EST.1.5_1,5.0,0
EST.1.6_1,EST.1.3_1,2.0,0
EST.1.6_1,EST.7.10_1,1.0,0
EST.1.6_1,EST.1.20_1,1.0,0
EST.1.6_1,EST.1.17_1,1.0,0
EST.1.6_1,EST.14.12_1,1.0,0
EST.1.7_1,EST.1.17_1,124.0,0
EST.1.7_1,EST.1.18_1,17.0,0
EST.1.7_1,EST.11.6_1,8.0,0
EST.1.7_1,EST.1.20_1,30.0,0
EST.1.7_1,EST.1.8_1,1.0,0
EST.1.7_1,EST.7.4_1,1.0,0
EST.1.7_1,EST.15.9_1,1.0,0
EST.1.8_1,EST.1.16_1,78.0,0
EST.1.8_1,EST.1.9_1,16.0,0
EST.1.8_1,EST.11.2_1,17.0,0
EST.1.8_1,EST.1.17_1,86.0,0
EST.1.8_1,EST.1.7_1,12.0,0
EST.1.8_1,EST.11.3_1,5.0,0
EST.1.8_1,EST.11.6_1,18.0,0
EST.1.8_1,EST.1.18_1,5.0,0
EST.1.8_1,EST.1.2_1,5.0,0
EST.1.8_1,EST.11.9_1,7.0,0
EST.1.8_1,EST.1.4_1,1.0,0
EST.1.8_1,EST.1.12_1,4.0,0
EST.1.8_1,EST.1.20_1,18.0,0
EST.1.8_1,EST.1.5_1,1.0,0
EST.1.8_1,EST.6.10_1,1.0,0
EST.1.8_1,EST.6.2_1,1.0,0
EST.1.8_1,EST.8.12_1,1.0,0
EST.1.8_1,EST.7.9_1,1.0,0
EST.1.8_1,EST.3.6_1,1.0,0
EST.1.9_1,EST.11.3_1,14.0,0
EST.1.9_1,EST.1.8_1,17.0,0
EST.1.9_1,EST.4.12_1,1.0,0
EST.1.9_1,EST.4.9_1,1.0,0
EST.1.10_1,EST.1.11_1,26.0,0
EST.1.10_1,EST.1.2_1,49.0,0
EST.1.10_1,EST.1.1_1,1.0,0
EST.1.10_1,EST.6.2_1,6.0,0
EST.1.10_1,EST.1.4_1,13.0,0
