origin,destination,flow,time
ETH.1_1,ETH.8_1,35953.0,0
ETH.1_1,ETH.3_1,1062.0,0
ETH.1_1,ETH.10_1,508.0,0
ETH.1_1,ETH.5_1,10.0,0
ETH.1_1,ETH.7_1,6.0,0
ETH.1_1,ETH.2_1,21.0,0
ETH.1_1,ETH.4_1,18.0,0
ETH.1_1,ETH.6_1,9.0,0
ETH.1_1,ETH.11_1,100.0,0
ETH.1_1,ETH.9_1,100.0,0
ETH.2_1,ETH.3_1,18828.0,0
ETH.2_1,ETH.5_1,31.0,0
ETH.2_1,ETH.11_1,326.0,0
ETH.2_1,ETH.7_1,16.0,0
ETH.2_1,ETH.1_1,119.0,0
ETH.2_1,ETH.8_1,552.0,0
ETH.2_1,ETH.4_1,9.0,0
ETH.2_1,ETH.9_1,39.0,0
ETH.2_1,ETH.10_1,98.0,0
ETH.2_1,ETH.6_1,1.0,0
ETH.3_1,ETH.11_1,64688.0,0
ETH.3_1,ETH.1_1,26630.0,0
ETH.3_1,ETH.2_1,12028.0,0
ETH.3_1,ETH.4_1,6785.0,0
ETH.3_1,ETH.8_1,104726.0,0
ETH.3_1,ETH.5_1,569.0,0
ETH.3_1,ETH.7_1,301.0,0
ETH.3_1,ETH.10_1,20199.0,0
ETH.3_1,ETH.6_1,434.0,0
ETH.3_1,ETH.9_1,4269.0,0
ETH.4_1,ETH.3_1,11993.0,0
ETH.4_1,ETH.6_1,15.0,0
ETH.4_1,ETH.1_1,68.0,0
ETH.4_1,ETH.10_1,236.0,0
ETH.4_1,ETH.11_1,30.0,0
ETH.4_1,ETH.8_1,105.0,0
ETH.4_1,ETH.2_1,2.0,0
ETH.4_1,ETH.5_1,1.0,0
ETH.4_1,ETH.9_1,12.0,0
ETH.5_1,ETH.7_1,1796.0,0
ETH.5_1,ETH.2_1,2333.0,0
ETH.5_1,ETH.9_1,696.0,0
ETH.5_1,ETH.1_1,58.0,0
ETH.5_1,ETH.8_1,122.0,0
ETH.5_1,ETH.3_1,14.0,0
ETH.5_1,ETH.11_1,3.0,0
ETH.5_1,ETH.10_1,8.0,0
ETH.6_1,ETH.10_1,6155.0,0
ETH.6_1,ETH.4_1,10.0,0
ETH.6_1,ETH.8_1,100.0,0
ETH.6_1,ETH.1_1,2.0,0
ETH.6_1,ETH.3_1,16.0,0
ETH.6_1,ETH.11_1,2.0,0
ETH.6_1,ETH.9_1,3.0,0
ETH.7_1,ETH.5_1,1749.0,0
ETH.7_1,ETH.9_1,893.0,0
ETH.7_1,ETH.2_1,23.0,0
ETH.7_1,ETH.1_1,17.0,0
ETH.7_1,ETH.8_1,47.0,0
ETH.7_1,ETH.3_1,5.0,0
ETH.7_1,ETH.11_1,3.0,0
ETH.7_1,ETH.10_1,3.0,0
ETH.8_1,ETH.1_1,56287.0,0
ETH.8_1,ETH.10_1,213109.0,0
ETH.8_1,ETH.7_1,1604.0,0
ETH.8_1,ETH.5_1,3063.0,0
ETH.8_1,ETH.3_1,106976.0,0
ETH.8_1,ETH.6_1,2147.0,0
ETH.8_1,ETH.4_1,3930.0,0
ETH.8_1,ETH.9_1,20420.0,0
ETH.8_1,ETH.2_1,5506.0,0
ETH.8_1,ETH.11_1,16036.0,0
ETH.9_1,ETH.7_1,2844.0,0
ETH.9_1,ETH.5_1,4657.0,0
ETH.9_1,ETH.8_1,55928.0,0
ETH.9_1,ETH.1_1,661.0,0
ETH.9_1,ETH.2_1,333.0,0
ETH.9_1,ETH.10_1,2555.0,0
ETH.9_1,ETH.3_1,1474.0,0
ETH.9_1,ETH.11_1,284.0,0
ETH.9_1,ETH.4_1,45.0,0
ETH.9_1,ETH.6_1,29.0,0
ETH.10_1,ETH.8_1,190457.0,0
ETH.10_1,ETH.6_1,933.0,0
ETH.10_1,ETH.1_1,5590.0,0
ETH.10_1,ETH.4_1,1677.0,0
ETH.10_1,ETH.3_1,23740.0,0
ETH.10_1,ETH.7_1,211.0,0
ETH.10_1,ETH.5_1,373.0,0
ETH.10_1,ETH.9_1,4560.0,0
ETH.10_1,ETH.2_1,1286.0,0
ETH.10_1,ETH.11_1,3724.0,0
ETH.11_1,ETH.3_1,53850.0,0
ETH.11_1,ETH.2_1,846.0,0
ETH.11_1,ETH.4_1,481.0,0
ETH.11_1,ETH.1_1,1282.0,0
ETH.11_1,ETH.5_1,157.0,0
ETH.11_1,ETH.7_1,66.0,0
ETH.11_1,ETH.8_1,6113.0,0
ETH.11_1,ETH.6_1,37.0,0
ETH.11_1,ETH.10_1,1201.0,0
ETH.11_1,ETH.9_1,236.0,0
ETH.1_1,ETH.1_1,3740922.0736907977,0
ETH.2_1,ETH.2_1,1981924.57690032,0
ETH.3_1,ETH.3_1,23822305.113397624,0
ETH.4_1,ETH.4_1,1233821.2238582768,0
ETH.5_1,ETH.5_1,498032.5465008541,0
ETH.6_1,ETH.6_1,622601.8489649375,0
ETH.7_1,ETH.7_1,271301.0325512691,0
ETH.8_1,ETH.8_1,42478788.19878055,0
ETH.9_1,ETH.9_1,6812225.202870441,0
ETH.10_1,ETH.10_1,23022602.53285251,0
ETH.11_1,ETH.11_1,6362647.5370968385,0
