origin,destination,flow,time
FJI.1_1,FJI.5_1,65520.0,0
FJI.1_1,FJI.4_1,114.0,0
FJI.1_1,FJI.3_1,11351.0,0
FJI.1_1,FJI.2_1,2318.0,0
FJI.2_1,FJI.3_1,5378.0,0
FJI.2_1,FJI.5_1,954.0,0
FJI.2_1,FJI.1_1,193.0,0
FJI.3_1,FJI.4_1,256.0,0
FJI.3_1,FJI.5_1,21111.0,0
FJI.3_1,FJI.1_1,3800.0,0
FJI.3_1,FJI.2_1,149.0,0
FJI.4_1,FJI.5_1,226.0,0
FJI.5_1,FJI.1_1,58257.0,0
FJI.5_1,FJI.4_1,73.0,0
FJI.5_1,FJI.3_1,7212.0,0
FJI.5_1,FJI.2_1,1501.0,0
FJI.1_1,FJI.1_1,317212.34561929683,0
FJI.2_1,FJI.2_1,26102.33615860936,0
FJI.3_1,FJI.3_1,101264.1425922632,0
FJI.4_1,FJI.4_1,905.6696601867679,0
FJI.5_1,FJI.5_1,268173.9887251376,0
