origin,destination,flow,time
FRA.1.1_1,FRA.1.11_1,9885.0,0
FRA.1.1_1,FRA.2.4_1,378.0,0
FRA.1.1_1,FRA.1.7_1,811.0,0
FRA.1.1_1,FRA.2.6_1,358.0,0
FRA.1.1_1,FRA.1.8_1,517.0,0
FRA.1.1_1,FRA.1.9_1,213.0,0
FRA.1.1_1,FRA.1.12_1,110.0,0
FRA.1.1_1,FRA.2.2_1,101.0,0
FRA.1.1_1,FRA.2.1_1,87.0,0
FRA.1.1_1,FRA.1.5_1,62.0,0
FRA.1.1_1,FRA.1.6_1,38.0,0
FRA.1.1_1,FRA.1.3_1,31.0,0
FRA.1.1_1,FRA.1.2_1,30.0,0
FRA.1.1_1,FRA.13.4_1,17.0,0
FRA.1.1_1,FRA.1.10_1,59.0,0
FRA.1.1_1,FRA.2.3_1,15.0,0
FRA.1.1_1,FRA.2.5_1,18.0,0
FRA.1.1_1,FRA.2.7_1,13.0,0
FRA.1.1_1,FRA.6.5_1,13.0,0
FRA.1.1_1,FRA.11.10_1,4.0,0
FRA.1.1_1,FRA.13.1_1,10.0,0
FRA.1.1_1,FRA.13.6_1,39.0,0
FRA.1.1_1,FRA.2.8_1,25.0,0
FRA.1.1_1,FRA.1.4_1,2.0,0
FRA.1.1_1,FRA.4.1_1,30.0,0
FRA.1.1_1,FRA.6.4_1,41.0,0
FRA.1.1_1,FRA.6.10_1,18.0,0
FRA.1.1_1,FRA.11.4_1,40.0,0
FRA.1.1_1,FRA.10.4_1,11.0,0
FRA.1.1_1,FRA.6.2_1,17.0,0
FRA.1.1_1,FRA.13.2_1,32.0,0
FRA.1.1_1,FRA.10.3_1,9.0,0
FRA.1.1_1,FRA.13.3_1,67.0,0
FRA.1.1_1,FRA.11.3_1,12.0,0
FRA.1.1_1,FRA.4.4_1,8.0,0
FRA.1.1_1,FRA.13.5_1,15.0,0
FRA.1.1_1,FRA.4.6_1,22.0,0
FRA.1.1_1,FRA.6.7_1,24.0,0
FRA.1.1_1,FRA.10.8_1,9.0,0
FRA.1.1_1,FRA.11.8_1,13.0,0
FRA.1.1_1,FRA.6.8_1,6.0,0
FRA.1.1_1,FRA.6.6_1,11.0,0
FRA.1.1_1,FRA.6.3_1,22.0,0
FRA.1.1_1,FRA.8.4_1,21.0,0
FRA.1.1_1,FRA.11.9_1,2.0,0
FRA.1.1_1,FRA.6.9_1,8.0,0
FRA.1.1_1,FRA.4.5_1,4.0,0
FRA.1.1_1,FRA.8.1_1,19.0,0
FRA.1.1_1,FRA.11.13_1,2.0,0
FRA.1.1_1,FRA.8.7_1,15.0,0
FRA.1.1_1,FRA.4.3_1,4.0,0
FRA.1.1_1,FRA.10.12_1,4.0,0
FRA.1.1_1,FRA.8.5_1,11.0,0
FRA.1.1_1,FRA.8.3_1,19.0,0
FRA.1.1_1,FRA.8.2_1,10.0,0
FRA.1.1_1,FRA.11.12_1,3.0,0
FRA.1.1_1,FRA.4.2_1,2.0,0
FRA.1.1_1,FRA.6.1_1,1.0,0
FRA.1.1_1,FRA.10.2_1,3.0,0
FRA.1.1_1,FRA.8.8_1,5.0,0
FRA.1.1_1,FRA.11.2_1,7.0,0
FRA.1.1_1,FRA.7.1_1,1.0,0
FRA.1.1_1,FRA.8.6_1,5.0,0
FRA.1.1_1,FRA.7.3_1,7.0,0
FRA.1.1_1,FRA.10.5_1,1.0,0
FRA.1.1_1,FRA.12.4_1,1.0,0
FRA.1.1_1,FRA.11.6_1,6.0,0
FRA.1.1_1,FRA.11.11_1,3.0,0
FRA.1.1_1,FRA.10.1_1,3.0,0
FRA.1.1_1,FRA.9.2_1,2.0,0
FRA.1.1_1,FRA.12.2_1,2.0,0
FRA.1.1_1,FRA.9.4_1,1.0,0
FRA.1.1_1,FRA.10.7_1,5.0,0
FRA.1.1_1,FRA.7.5_1,1.0,0
FRA.1.1_1,FRA.12.3_1,2.0,0
FRA.1.1_1,FRA.7.2_1,9.0,0
FRA.1.1_1,FRA.9.5_1,4.0,0
