origin,destination,flow,time
FRO.1_1,FRO.4_1,92.0,0
FRO.1_1,FRO.2_1,8.0,0
FRO.1_1,FRO.6_1,3.0,0
FRO.1_1,FRO.3_1,1.0,0
FRO.1_1,FRO.5_1,3.0,0
FRO.2_1,FRO.1_1,38.0,0
FRO.2_1,FRO.4_1,5.0,0
FRO.2_1,FRO.6_1,2.0,0
FRO.2_1,FRO.5_1,3.0,0
FRO.3_1,FRO.4_1,11.0,0
FRO.4_1,FRO.1_1,135.0,0
FRO.4_1,FRO.6_1,15.0,0
FRO.4_1,FRO.3_1,13.0,0
FRO.4_1,FRO.2_1,36.0,0
FRO.4_1,FRO.5_1,21.0,0
FRO.5_1,FRO.3_1,15.0,0
FRO.5_1,FRO.4_1,26.0,0
FRO.6_1,FRO.4_1,30.0,0
FRO.6_1,FRO.5_1,1.0,0
FRO.1_1,FRO.1_1,10630.484536516615,0
FRO.2_1,FRO.2_1,4847.901949896608,0
FRO.3_1,FRO.3_1,1144.1349903159594,0
FRO.4_1,FRO.4_1,21847.62754229992,0
FRO.5_1,FRO.5_1,4139.923150834426,0
FRO.6_1,FRO.6_1,3087.6102975436684,0
