origin,destination,flow,time
GAB.1.1_1,GAB.1.3_1,1079.0,0
GAB.1.1_1,GAB.9.1_1,559.0,0
GAB.1.1_1,GAB.1.2_1,1658.0,0
GAB.1.1_1,GAB.3.1_1,3.0,0
GAB.1.1_1,GAB.3.2_1,5.0,0
GAB.1.1_1,GAB.9.4_1,1.0,0
GAB.1.1_1,GAB.8.1_1,11.0,0
GAB.1.1_1,GAB.4.7_1,1.0,0
GAB.1.1_1,GAB.4.5_1,1.0,0
GAB.1.1_1,GAB.6.3_1,2.0,0
GAB.1.1_1,GAB.9.5_1,6.0,0
GAB.1.1_1,GAB.4.6_1,1.0,0
GAB.1.1_1,GAB.4.3_1,1.0,0
GAB.1.1_1,GAB.7.1_1,2.0,0
GAB.1.1_1,GAB.9.3_1,4.0,0
GAB.1.1_1,GAB.9.2_1,2.0,0
GAB.1.1_1,GAB.7.2_1,1.0,0
GAB.1.1_1,GAB.4.1_1,1.0,0
GAB.1.1_1,GAB.2.1_1,1.0,0
GAB.1.1_1,GAB.5.4_1,2.0,0
GAB.1.1_1,GAB.2.6_1,1.0,0
GAB.1.1_1,GAB.2.4_1,7.0,0
GAB.1.1_1,GAB.2.5_1,1.0,0
GAB.1.2_1,GAB.1.1_1,5153.0,0
GAB.1.2_1,GAB.1.3_1,2280.0,0
GAB.1.2_1,GAB.3.2_1,15066.0,0
GAB.1.2_1,GAB.8.1_1,22229.0,0
GAB.1.2_1,GAB.9.1_1,1498.0,0
GAB.1.2_1,GAB.3.1_1,3190.0,0
GAB.1.2_1,GAB.8.2_1,1346.0,0
GAB.1.2_1,GAB.4.7_1,2259.0,0
GAB.1.2_1,GAB.4.5_1,934.0,0
GAB.1.2_1,GAB.9.4_1,4244.0,0
GAB.1.2_1,GAB.6.2_1,2392.0,0
GAB.1.2_1,GAB.4.3_1,3773.0,0
GAB.1.2_1,GAB.4.6_1,2252.0,0
GAB.1.2_1,GAB.8.3_1,1239.0,0
