origin,destination,flow,time
GBR.1.1_1,GBR.1.83_1,17681.0,0
GBR.1.1_1,GBR.1.105_1,2342.0,0
GBR.1.1_1,GBR.1.46_1,1583.0,0
GBR.1.1_1,GBR.1.77_1,562.0,0
GBR.1.1_1,GBR.1.27_1,536.0,0
GBR.1.1_1,GBR.1.49_1,761.0,0
GBR.1.1_1,GBR.1.68_1,175.0,0
GBR.1.1_1,GBR.1.15_1,150.0,0
GBR.1.1_1,GBR.1.100_1,150.0,0
GBR.1.1_1,GBR.1.10_1,266.0,0
GBR.1.1_1,GBR.1.93_1,109.0,0
GBR.1.1_1,GBR.1.25_1,221.0,0
GBR.1.1_1,GBR.1.76_1,42.0,0
GBR.1.1_1,GBR.1.54_1,113.0,0
GBR.1.1_1,GBR.1.14_1,34.0,0
GBR.1.1_1,GBR.1.104_1,42.0,0
GBR.1.1_1,GBR.1.67_1,120.0,0
GBR.1.1_1,GBR.1.80_1,21.0,0
GBR.1.1_1,GBR.1.118_1,15.0,0
GBR.1.1_1,GBR.1.7_1,26.0,0
GBR.1.1_1,GBR.1.60_1,17.0,0
GBR.1.1_1,GBR.1.5_1,20.0,0
GBR.1.1_1,GBR.1.66_1,35.0,0
GBR.1.1_1,GBR.1.18_1,34.0,0
GBR.1.1_1,GBR.1.24_1,21.0,0
GBR.1.1_1,GBR.1.107_1,15.0,0
GBR.1.1_1,GBR.1.95_1,23.0,0
GBR.1.1_1,GBR.1.111_1,16.0,0
GBR.1.1_1,GBR.1.63_1,29.0,0
GBR.1.1_1,GBR.1.31_1,15.0,0
GBR.1.1_1,GBR.1.79_1,4.0,0
GBR.1.1_1,GBR.1.48_1,56.0,0
GBR.1.1_1,GBR.1.37_1,6.0,0
GBR.1.1_1,GBR.1.92_1,48.0,0
GBR.1.1_1,GBR.1.45_1,10.0,0
GBR.1.1_1,GBR.1.19_1,16.0,0
GBR.1.1_1,GBR.1.47_1,1.0,0
GBR.1.1_1,GBR.1.82_1,32.0,0
GBR.1.1_1,GBR.1.52_1,23.0,0
GBR.1.1_1,GBR.1.51_1,20.0,0
GBR.1.1_1,GBR.1.50_1,6.0,0
GBR.1.1_1,GBR.1.114_1,5.0,0
GBR.1.1_1,GBR.1.6_1,2.0,0
GBR.1.1_1,GBR.1.106_1,6.0,0
GBR.1.1_1,GBR.1.101_1,5.0,0
GBR.1.1_1,GBR.1.116_1,1.0,0
GBR.1.1_1,GBR.4.10_1,3.0,0
GBR.1.1_1,GBR.1.94_1,6.0,0
GBR.1.1_1,GBR.4.22_1,3.0,0
GBR.1.1_1,GBR.1.81_1,5.0,0
GBR.1.1_1,GBR.1.4_1,24.0,0
GBR.1.1_1,GBR.1.75_1,5.0,0
GBR.1.1_1,GBR.1.21_1,4.0,0
GBR.1.1_1,GBR.1.29_1,2.0,0
GBR.1.1_1,GBR.1.86_1,5.0,0
GBR.1.1_1,GBR.1.84_1,5.0,0
GBR.1.1_1,GBR.1.39_1,1.0,0
GBR.1.1_1,GBR.4.9_1,1.0,0
GBR.1.1_1,GBR.1.30_1,10.0,0
GBR.1.1_1,GBR.1.70_1,6.0,0
GBR.1.1_1,GBR.1.108_1,11.0,0
GBR.1.1_1,GBR.1.64_1,3.0,0
GBR.1.1_1,GBR.1.22_1,6.0,0
GBR.1.1_1,GBR.1.97_1,1.0,0
GBR.1.1_1,GBR.1.117_1,5.0,0
GBR.1.1_1,GBR.1.34_1,5.0,0
GBR.1.1_1,GBR.1.89_1,2.0,0
GBR.1.1_1,GBR.1.3_1,1.0,0
GBR.1.1_1,GBR.1.58_1,2.0,0
GBR.1.1_1,GBR.1.16_1,7.0,0
GBR.1.1_1,GBR.1.40_1,2.0,0
GBR.1.1_1,GBR.4.11_1,1.0,0
GBR.1.1_1,GBR.1.17_1,1.0,0
GBR.1.1_1,GBR.1.65_1,4.0,0
GBR.1.1_1,GBR.1.35_1,7.0,0
GBR.1.1_1,GBR.1.69_1,5.0,0
GBR.1.1_1,GBR.1.13_1,7.0,0
GBR.1.1_1,GBR.1.59_1,10.0,0
GBR.1.1_1,GBR.1.41_1,12.0,0
GBR.1.1_1,GBR.4.13_1,1.0,0
GBR.1.1_1,GBR.1.96_1,6.0,0
GBR.1.1_1,GBR.4.20_1,1.0,0
GBR.1.1_1,GBR.1.88_1,3.0,0
GBR.1.1_1,GBR.1.109_1,2.0,0
GBR.1.1_1,GBR.4.12_1,2.0,0
GBR.1.1_1,GBR.4.15_1,1.0,0
GBR.1.1_1,GBR.1.33_1,10.0,0
GBR.1.1_1,GBR.1.12_1,1.0,0
GBR.1.1_1,GBR.1.36_1,31.0,0
GBR.1.1_1,GBR.4.18_1,1.0,0
GBR.1.1_1,GBR.1.112_1,3.0,0
GBR.1.1_1,GBR.4.5_1,1.0,0
GBR.1.1_1,GBR.1.61_1,1.0,0
GBR.1.1_1,GBR.1.91_1,1.0,0
GBR.1.1_1,GBR.1.38_1,2.0,0
GBR.1.1_1,GBR.3.19_1,1.0,0
GBR.1.1_1,GBR.1.87_1,2.0,0
GBR.1.1_1,GBR.3.12_1,1.0,0
GBR.1.1_1,GBR.1.90_1,4.0,0
