origin,destination,flow,time
GEO.1_1,GEO.9_1,1532.0,0
GEO.1_1,GEO.3_1,250.0,0
GEO.1_1,GEO.8_1,56.0,0
GEO.1_1,GEO.2_1,360.0,0
GEO.1_1,GEO.4_1,270.0,0
GEO.1_1,GEO.10_1,48.0,0
GEO.1_1,GEO.11_1,77.0,0
GEO.1_1,GEO.7_1,20.0,0
GEO.1_1,GEO.6_1,99.0,0
GEO.1_1,GEO.12_1,118.0,0
GEO.1_1,GEO.5_1,25.0,0
GEO.2_1,GEO.3_1,890.0,0
GEO.2_1,GEO.4_1,1460.0,0
GEO.2_1,GEO.10_1,205.0,0
GEO.2_1,GEO.9_1,225.0,0
GEO.2_1,GEO.8_1,20.0,0
GEO.2_1,GEO.11_1,120.0,0
GEO.2_1,GEO.1_1,105.0,0
GEO.2_1,GEO.6_1,146.0,0
GEO.2_1,GEO.12_1,145.0,0
GEO.2_1,GEO.7_1,9.0,0
GEO.2_1,GEO.5_1,26.0,0
GEO.3_1,GEO.2_1,834.0,0
GEO.3_1,GEO.4_1,147.0,0
GEO.3_1,GEO.9_1,31.0,0
GEO.3_1,GEO.10_1,7.0,0
GEO.3_1,GEO.8_1,3.0,0
GEO.3_1,GEO.1_1,15.0,0
GEO.3_1,GEO.11_1,8.0,0
GEO.3_1,GEO.6_1,13.0,0
GEO.3_1,GEO.7_1,3.0,0
GEO.3_1,GEO.12_1,15.0,0
GEO.3_1,GEO.5_1,3.0,0
GEO.4_1,GEO.8_1,368.0,0
GEO.4_1,GEO.3_1,902.0,0
GEO.4_1,GEO.10_1,821.0,0
GEO.4_1,GEO.9_1,969.0,0
GEO.4_1,GEO.11_1,456.0,0
GEO.4_1,GEO.2_1,393.0,0
GEO.4_1,GEO.7_1,91.0,0
GEO.4_1,GEO.6_1,379.0,0
GEO.4_1,GEO.12_1,344.0,0
GEO.4_1,GEO.1_1,66.0,0
GEO.4_1,GEO.5_1,70.0,0
GEO.5_1,GEO.12_1,2518.0,0
GEO.5_1,GEO.7_1,46.0,0
GEO.5_1,GEO.6_1,203.0,0
GEO.5_1,GEO.11_1,52.0,0
GEO.5_1,GEO.10_1,27.0,0
GEO.5_1,GEO.8_1,5.0,0
GEO.5_1,GEO.4_1,55.0,0
GEO.5_1,GEO.3_1,12.0,0
GEO.5_1,GEO.9_1,39.0,0
GEO.5_1,GEO.2_1,25.0,0
GEO.5_1,GEO.1_1,20.0,0
GEO.6_1,GEO.12_1,4332.0,0
GEO.6_1,GEO.11_1,314.0,0
GEO.6_1,GEO.7_1,108.0,0
GEO.6_1,GEO.10_1,153.0,0
GEO.6_1,GEO.5_1,244.0,0
GEO.6_1,GEO.4_1,294.0,0
GEO.6_1,GEO.8_1,24.0,0
GEO.6_1,GEO.2_1,124.0,0
