origin,destination,flow,time
GHA.1_1,GHA.2_1,23679.0,0
GHA.1_1,GHA.4_1,14678.0,0
GHA.1_1,GHA.3_1,7649.0,0
GHA.1_1,GHA.10_1,5339.0,0
GHA.1_1,GHA.5_1,6166.0,0
GHA.1_1,GHA.9_1,2246.0,0
GHA.1_1,GHA.6_1,2156.0,0
GHA.1_1,GHA.8_1,476.0,0
GHA.1_1,GHA.7_1,648.0,0
GHA.2_1,GHA.1_1,20610.0,0
GHA.2_1,GHA.4_1,2216.0,0
GHA.2_1,GHA.6_1,1363.0,0
GHA.2_1,GHA.9_1,729.0,0
GHA.2_1,GHA.10_1,585.0,0
GHA.2_1,GHA.3_1,449.0,0
GHA.2_1,GHA.5_1,524.0,0
GHA.2_1,GHA.8_1,75.0,0
GHA.2_1,GHA.7_1,112.0,0
GHA.3_1,GHA.4_1,16263.0,0
GHA.3_1,GHA.10_1,4729.0,0
GHA.3_1,GHA.1_1,3946.0,0
GHA.3_1,GHA.5_1,1388.0,0
GHA.3_1,GHA.2_1,497.0,0
GHA.3_1,GHA.9_1,392.0,0
GHA.3_1,GHA.6_1,377.0,0
GHA.3_1,GHA.8_1,83.0,0
GHA.3_1,GHA.7_1,111.0,0
GHA.4_1,GHA.5_1,21705.0,0
GHA.4_1,GHA.1_1,6025.0,0
GHA.4_1,GHA.3_1,1254.0,0
GHA.4_1,GHA.9_1,847.0,0
GHA.4_1,GHA.2_1,701.0,0
GHA.4_1,GHA.10_1,565.0,0
GHA.4_1,GHA.6_1,477.0,0
GHA.4_1,GHA.8_1,88.0,0
GHA.4_1,GHA.7_1,128.0,0
GHA.5_1,GHA.4_1,23265.0,0
GHA.5_1,GHA.3_1,9275.0,0
GHA.5_1,GHA.9_1,5217.0,0
GHA.5_1,GHA.1_1,6907.0,0
GHA.5_1,GHA.10_1,1860.0,0
GHA.5_1,GHA.2_1,1403.0,0
GHA.5_1,GHA.6_1,1283.0,0
GHA.5_1,GHA.7_1,362.0,0
GHA.5_1,GHA.8_1,251.0,0
GHA.6_1,GHA.7_1,9112.0,0
GHA.6_1,GHA.8_1,4110.0,0
GHA.6_1,GHA.2_1,7847.0,0
GHA.6_1,GHA.9_1,3702.0,0
GHA.6_1,GHA.1_1,4244.0,0
GHA.6_1,GHA.4_1,1119.0,0
GHA.6_1,GHA.5_1,1098.0,0
GHA.6_1,GHA.3_1,495.0,0
GHA.6_1,GHA.10_1,398.0,0
GHA.7_1,GHA.8_1,4622.0,0
GHA.7_1,GHA.6_1,4184.0,0
GHA.7_1,GHA.2_1,764.0,0
GHA.7_1,GHA.9_1,397.0,0
GHA.7_1,GHA.1_1,451.0,0
GHA.7_1,GHA.4_1,138.0,0
GHA.7_1,GHA.5_1,112.0,0
GHA.7_1,GHA.3_1,44.0,0
GHA.7_1,GHA.10_1,38.0,0
GHA.8_1,GHA.7_1,4652.0,0
GHA.8_1,GHA.6_1,2122.0,0
GHA.8_1,GHA.2_1,418.0,0
GHA.8_1,GHA.1_1,353.0,0
GHA.8_1,GHA.9_1,60.0,0
GHA.8_1,GHA.4_1,60.0,0
GHA.8_1,GHA.10_1,46.0,0
GHA.8_1,GHA.3_1,19.0,0
GHA.8_1,GHA.5_1,40.0,0
GHA.9_1,GHA.4_1,15560.0,0
GHA.9_1,GHA.5_1,6083.0,0
GHA.9_1,GHA.1_1,2578.0,0
GHA.9_1,GHA.2_1,599.0,0
GHA.9_1,GHA.3_1,456.0,0
GHA.9_1,GHA.6_1,421.0,0
GHA.9_1,GHA.10_1,296.0,0
GHA.9_1,GHA.7_1,97.0,0
GHA.9_1,GHA.8_1,67.0,0
GHA.10_1,GHA.3_1,15714.0,0
GHA.10_1,GHA.1_1,8412.0,0
GHA.10_1,GHA.4_1,1603.0,0
GHA.10_1,GHA.2_1,884.0,0
GHA.10_1,GHA.5_1,1129.0,0
GHA.10_1,GHA.9_1,444.0,0
GHA.10_1,GHA.6_1,387.0,0
GHA.10_1,GHA.8_1,78.0,0
GHA.10_1,GHA.7_1,129.0,0
GHA.1_1,GHA.1_1,6240708.091749027,0
GHA.2_1,GHA.2_1,2639683.6034546737,0
GHA.3_1,GHA.3_1,2750849.738624612,0
GHA.4_1,GHA.4_1,3147265.105457131,0
GHA.5_1,GHA.5_1,4932523.540438382,0
GHA.6_1,GHA.6_1,3180399.368868137,0
GHA.7_1,GHA.7_1,1064280.0544660648,0
GHA.8_1,GHA.8_1,769256.7200365163,0
GHA.9_1,GHA.9_1,2589639.1412960277,0
GHA.10_1,GHA.10_1,2849297.7975006304,0
