origin,destination,flow,time
GIN.1.1_1,GIN.1.3_1,4164.0,0
GIN.1.1_1,GIN.5.2_1,3463.0,0
GIN.1.1_1,GIN.1.2_1,3025.0,0
GIN.1.1_1,GIN.5.5_1,672.0,0
GIN.1.1_1,GIN.2.1_1,1354.0,0
GIN.1.1_1,GIN.5.1_1,207.0,0
GIN.1.1_1,GIN.5.4_1,82.0,0
GIN.1.1_1,GIN.5.3_1,33.0,0
GIN.1.1_1,GIN.7.3_1,52.0,0
GIN.1.1_1,GIN.1.4_1,26.0,0
GIN.1.1_1,GIN.6.3_1,22.0,0
GIN.1.1_1,GIN.7.1_1,11.0,0
GIN.1.1_1,GIN.6.2_1,35.0,0
GIN.1.1_1,GIN.1.5_1,13.0,0
GIN.1.1_1,GIN.7.2_1,37.0,0
GIN.1.1_1,GIN.6.4_1,32.0,0
GIN.1.1_1,GIN.6.1_1,5.0,0
GIN.1.1_1,GIN.6.5_1,9.0,0
GIN.1.1_1,GIN.3.1_1,13.0,0
GIN.1.1_1,GIN.3.3_1,21.0,0
GIN.1.1_1,GIN.3.2_1,15.0,0
GIN.1.1_1,GIN.4.3_1,14.0,0
GIN.1.1_1,GIN.8.2_1,12.0,0
GIN.1.1_1,GIN.3.4_1,17.0,0
GIN.1.1_1,GIN.4.5_1,38.0,0
GIN.1.1_1,GIN.4.1_1,18.0,0
GIN.1.1_1,GIN.4.2_1,4.0,0
GIN.1.1_1,GIN.8.4_1,3.0,0
GIN.1.1_1,GIN.4.4_1,13.0,0
GIN.1.1_1,GIN.8.6_1,4.0,0
GIN.1.1_1,GIN.8.5_1,9.0,0
GIN.1.1_1,GIN.8.1_1,6.0,0
GIN.1.1_1,GIN.8.3_1,2.0,0
GIN.1.2_1,GIN.1.1_1,9676.0,0
GIN.1.2_1,GIN.1.3_1,2616.0,0
GIN.1.2_1,GIN.5.5_1,5088.0,0
GIN.1.2_1,GIN.1.4_1,2209.0,0
GIN.1.2_1,GIN.5.2_1,1470.0,0
GIN.1.2_1,GIN.2.1_1,5651.0,0
GIN.1.2_1,GIN.5.1_1,823.0,0
GIN.1.2_1,GIN.6.3_1,141.0,0
GIN.1.2_1,GIN.7.3_1,220.0,0
GIN.1.2_1,GIN.1.5_1,117.0,0
GIN.1.2_1,GIN.5.4_1,327.0,0
GIN.1.2_1,GIN.6.2_1,183.0,0
GIN.1.2_1,GIN.5.3_1,137.0,0
GIN.1.2_1,GIN.7.1_1,59.0,0
GIN.1.2_1,GIN.6.4_1,149.0,0
GIN.1.2_1,GIN.7.2_1,116.0,0
GIN.1.2_1,GIN.6.1_1,31.0,0
GIN.1.2_1,GIN.6.5_1,48.0,0
GIN.1.2_1,GIN.3.1_1,60.0,0
GIN.1.2_1,GIN.3.2_1,58.0,0
GIN.1.2_1,GIN.3.3_1,85.0,0
GIN.1.2_1,GIN.4.3_1,82.0,0
GIN.1.2_1,GIN.3.4_1,73.0,0
GIN.1.2_1,GIN.8.2_1,85.0,0
GIN.1.2_1,GIN.4.5_1,184.0,0
GIN.1.2_1,GIN.4.1_1,102.0,0
GIN.1.2_1,GIN.4.2_1,36.0,0
GIN.1.2_1,GIN.8.4_1,29.0,0
GIN.1.2_1,GIN.4.4_1,47.0,0
GIN.1.2_1,GIN.8.6_1,9.0,0
GIN.1.2_1,GIN.8.5_1,52.0,0
GIN.1.2_1,GIN.8.1_1,51.0,0
GIN.1.2_1,GIN.8.3_1,25.0,0
GIN.1.3_1,GIN.5.2_1,3881.0,0
GIN.1.3_1,GIN.5.5_1,1108.0,0
GIN.1.3_1,GIN.1.1_1,265.0,0
GIN.1.3_1,GIN.5.1_1,374.0,0
GIN.1.3_1,GIN.2.1_1,190.0,0
GIN.1.3_1,GIN.5.4_1,25.0,0
GIN.1.3_1,GIN.1.2_1,29.0,0
GIN.1.3_1,GIN.7.3_1,11.0,0
GIN.1.3_1,GIN.5.3_1,9.0,0
GIN.1.3_1,GIN.1.4_1,2.0,0
GIN.1.3_1,GIN.6.3_1,4.0,0
GIN.1.3_1,GIN.7.1_1,1.0,0
GIN.1.3_1,GIN.6.2_1,6.0,0
GIN.1.3_1,GIN.7.2_1,10.0,0
GIN.1.3_1,GIN.1.5_1,3.0,0
GIN.1.3_1,GIN.6.4_1,5.0,0
GIN.1.3_1,GIN.6.5_1,4.0,0
GIN.1.3_1,GIN.3.1_1,3.0,0
GIN.1.3_1,GIN.3.3_1,3.0,0
GIN.1.3_1,GIN.3.2_1,3.0,0
GIN.1.3_1,GIN.4.3_1,4.0,0
GIN.1.3_1,GIN.8.2_1,1.0,0
GIN.1.3_1,GIN.3.4_1,2.0,0
GIN.1.3_1,GIN.4.5_1,2.0,0
GIN.1.3_1,GIN.4.1_1,2.0,0
GIN.1.3_1,GIN.4.2_1,1.0,0
GIN.1.3_1,GIN.8.4_1,3.0,0
GIN.1.3_1,GIN.4.4_1,2.0,0
GIN.1.3_1,GIN.8.5_1,3.0,0
GIN.1.3_1,GIN.8.1_1,1.0,0
GIN.1.4_1,GIN.1.5_1,5149.0,0
GIN.1.4_1,GIN.6.3_1,2513.0,0
GIN.1.4_1,GIN.5.5_1,1809.0,0
GIN.1.4_1,GIN.6.2_1,973.0,0
GIN.1.4_1,GIN.7.3_1,421.0,0
GIN.1.4_1,GIN.1.2_1,495.0,0
GIN.1.4_1,GIN.6.4_1,200.0,0
GIN.1.4_1,GIN.1.3_1,56.0,0
GIN.1.4_1,GIN.7.1_1,61.0,0
GIN.1.4_1,GIN.1.1_1,89.0,0
GIN.1.4_1,GIN.6.1_1,23.0,0
GIN.1.4_1,GIN.5.2_1,61.0,0
GIN.1.4_1,GIN.5.4_1,116.0,0
GIN.1.4_1,GIN.6.5_1,22.0,0
GIN.1.4_1,GIN.7.2_1,73.0,0
GIN.1.4_1,GIN.5.1_1,126.0,0
GIN.1.4_1,GIN.2.1_1,145.0,0
GIN.1.4_1,GIN.5.3_1,17.0,0
GIN.1.4_1,GIN.3.1_1,10.0,0
GIN.1.4_1,GIN.3.2_1,7.0,0
GIN.1.4_1,GIN.3.3_1,13.0,0
GIN.1.4_1,GIN.4.3_1,10.0,0
GIN.1.4_1,GIN.4.5_1,27.0,0
GIN.1.4_1,GIN.3.4_1,9.0,0
GIN.1.4_1,GIN.8.2_1,8.0,0
GIN.1.4_1,GIN.4.1_1,22.0,0
GIN.1.4_1,GIN.4.4_1,13.0,0
GIN.1.4_1,GIN.4.2_1,3.0,0
GIN.1.4_1,GIN.8.4_1,13.0,0
GIN.1.4_1,GIN.8.1_1,10.0,0
GIN.1.4_1,GIN.8.5_1,10.0,0
GIN.1.4_1,GIN.8.6_1,3.0,0
GIN.1.4_1,GIN.8.3_1,3.0,0
GIN.1.5_1,GIN.1.4_1,5267.0,0
GIN.1.5_1,GIN.6.3_1,1121.0,0
GIN.1.5_1,GIN.6.4_1,861.0,0
GIN.1.5_1,GIN.6.2_1,421.0,0
GIN.1.5_1,GIN.5.5_1,201.0,0
GIN.1.5_1,GIN.6.1_1,48.0,0
GIN.1.5_1,GIN.7.3_1,114.0,0
GIN.1.5_1,GIN.1.2_1,148.0,0
GIN.1.5_1,GIN.7.1_1,30.0,0
GIN.1.5_1,GIN.6.5_1,19.0,0
GIN.1.5_1,GIN.1.3_1,13.0,0
GIN.1.5_1,GIN.1.1_1,34.0,0
GIN.1.5_1,GIN.5.2_1,29.0,0
GIN.1.5_1,GIN.5.4_1,52.0,0
GIN.1.5_1,GIN.7.2_1,39.0,0
GIN.1.5_1,GIN.3.2_1,18.0,0
GIN.1.5_1,GIN.5.1_1,47.0,0
GIN.1.5_1,GIN.3.1_1,10.0,0
GIN.1.5_1,GIN.2.1_1,51.0,0
GIN.1.5_1,GIN.5.3_1,6.0,0
GIN.1.5_1,GIN.3.3_1,8.0,0
GIN.1.5_1,GIN.4.3_1,6.0,0
GIN.1.5_1,GIN.4.5_1,16.0,0
GIN.1.5_1,GIN.3.4_1,4.0,0
GIN.1.5_1,GIN.4.1_1,9.0,0
GIN.1.5_1,GIN.8.2_1,9.0,0
GIN.1.5_1,GIN.4.4_1,4.0,0
GIN.1.5_1,GIN.4.2_1,3.0,0
GIN.1.5_1,GIN.8.4_1,3.0,0
GIN.1.5_1,GIN.8.1_1,9.0,0
GIN.1.5_1,GIN.8.5_1,3.0,0
GIN.1.5_1,GIN.8.6_1,1.0,0
GIN.1.5_1,GIN.8.3_1,4.0,0
GIN.2.1_1,GIN.5.1_1,37764.0,0
GIN.2.1_1,GIN.5.2_1,5932.0,0
GIN.2.1_1,GIN.5.3_1,7323.0,0
GIN.2.1_1,GIN.1.3_1,2412.0,0
GIN.2.1_1,GIN.1.1_1,5047.0,0
GIN.2.1_1,GIN.5.4_1,8925.0,0
GIN.2.1_1,GIN.5.5_1,4371.0,0
GIN.2.1_1,GIN.7.3_1,3617.0,0
GIN.2.1_1,GIN.1.2_1,5417.0,0
GIN.2.1_1,GIN.7.1_1,1198.0,0
GIN.2.1_1,GIN.7.2_1,2881.0,0
GIN.2.1_1,GIN.6.3_1,1335.0,0
GIN.2.1_1,GIN.1.4_1,1488.0,0
GIN.2.1_1,GIN.6.2_1,2231.0,0
GIN.2.1_1,GIN.3.1_1,1212.0,0
GIN.2.1_1,GIN.6.5_1,693.0,0
GIN.2.1_1,GIN.6.1_1,541.0,0
GIN.2.1_1,GIN.1.5_1,757.0,0
GIN.2.1_1,GIN.3.3_1,1747.0,0
GIN.2.1_1,GIN.6.4_1,1409.0,0
GIN.2.1_1,GIN.8.2_1,1140.0,0
GIN.2.1_1,GIN.3.2_1,839.0,0
GIN.2.1_1,GIN.3.4_1,1111.0,0
GIN.2.1_1,GIN.4.3_1,1095.0,0
GIN.2.1_1,GIN.8.4_1,832.0,0
GIN.2.1_1,GIN.4.1_1,1679.0,0
GIN.2.1_1,GIN.4.2_1,597.0,0
GIN.2.1_1,GIN.4.5_1,2223.0,0
GIN.2.1_1,GIN.8.6_1,218.0,0
GIN.2.1_1,GIN.4.4_1,833.0,0
GIN.2.1_1,GIN.8.5_1,845.0,0
GIN.2.1_1,GIN.8.1_1,717.0,0
GIN.2.1_1,GIN.8.3_1,302.0,0
GIN.3.1_1,GIN.7.2_1,7852.0,0
GIN.3.1_1,GIN.3.3_1,1824.0,0
GIN.3.1_1,GIN.6.5_1,391.0,0
GIN.3.1_1,GIN.3.2_1,432.0,0
GIN.3.1_1,GIN.4.3_1,441.0,0
GIN.3.1_1,GIN.7.1_1,108.0,0
GIN.3.1_1,GIN.6.1_1,107.0,0
GIN.3.1_1,GIN.6.2_1,225.0,0
GIN.3.1_1,GIN.7.3_1,127.0,0
GIN.3.1_1,GIN.6.4_1,145.0,0
GIN.3.1_1,GIN.5.4_1,145.0,0
GIN.3.1_1,GIN.6.3_1,34.0,0
GIN.3.1_1,GIN.3.4_1,80.0,0
GIN.3.1_1,GIN.4.5_1,171.0,0
GIN.3.1_1,GIN.4.1_1,65.0,0
GIN.3.1_1,GIN.8.2_1,23.0,0
GIN.3.1_1,GIN.5.5_1,27.0,0
GIN.3.1_1,GIN.5.3_1,21.0,0
GIN.3.1_1,GIN.4.4_1,24.0,0
GIN.3.1_1,GIN.4.2_1,14.0,0
GIN.3.1_1,GIN.5.1_1,34.0,0
GIN.3.1_1,GIN.1.4_1,10.0,0
