origin,destination,flow,time
GLP.1.1_1,GLP.2.10_1,1398.0,0
GLP.1.1_1,GLP.1.9_1,1865.0,0
GLP.1.1_1,GLP.2.7_1,1907.0,0
GLP.1.1_1,GLP.1.10_1,373.0,0
GLP.1.1_1,GLP.2.5_1,250.0,0
GLP.1.1_1,GLP.1.13_1,163.0,0
GLP.1.1_1,GLP.1.8_1,89.0,0
GLP.1.1_1,GLP.2.8_1,104.0,0
GLP.1.1_1,GLP.1.11_1,33.0,0
GLP.1.1_1,GLP.1.6_1,19.0,0
GLP.1.1_1,GLP.1.4_1,31.0,0
GLP.1.1_1,GLP.2.9_1,39.0,0
GLP.1.1_1,GLP.2.14_1,102.0,0
GLP.1.1_1,GLP.1.5_1,52.0,0
GLP.1.1_1,GLP.2.11_1,9.0,0
GLP.1.1_1,GLP.1.18_1,22.0,0
GLP.1.1_1,GLP.2.6_1,69.0,0
GLP.1.1_1,GLP.1.12_1,27.0,0
GLP.1.1_1,GLP.1.2_1,14.0,0
GLP.1.1_1,GLP.2.1_1,1.0,0
GLP.1.1_1,GLP.1.16_1,19.0,0
GLP.1.1_1,GLP.1.7_1,14.0,0
GLP.1.1_1,GLP.1.3_1,13.0,0
GLP.1.1_1,GLP.2.12_1,31.0,0
GLP.1.1_1,GLP.1.17_1,4.0,0
GLP.1.1_1,GLP.1.15_1,3.0,0
GLP.1.1_1,GLP.1.14_1,1.0,0
GLP.1.1_1,GLP.2.13_1,1.0,0
GLP.1.1_1,GLP.2.3_1,11.0,0
GLP.1.1_1,GLP.2.2_1,1.0,0
GLP.1.2_1,GLP.1.12_1,796.0,0
GLP.1.2_1,GLP.1.18_1,115.0,0
GLP.1.2_1,GLP.1.3_1,82.0,0
GLP.1.2_1,GLP.1.7_1,50.0,0
GLP.1.2_1,GLP.1.16_1,40.0,0
GLP.1.2_1,GLP.1.17_1,6.0,0
GLP.1.2_1,GLP.1.4_1,26.0,0
GLP.1.2_1,GLP.1.5_1,34.0,0
GLP.1.2_1,GLP.1.8_1,16.0,0
GLP.1.2_1,GLP.1.10_1,18.0,0
GLP.1.2_1,GLP.1.11_1,5.0,0
GLP.1.2_1,GLP.1.9_1,6.0,0
GLP.1.2_1,GLP.1.15_1,1.0,0
GLP.1.2_1,GLP.1.1_1,8.0,0
GLP.1.2_1,GLP.1.13_1,7.0,0
GLP.1.2_1,GLP.2.10_1,1.0,0
GLP.1.2_1,GLP.1.6_1,2.0,0
GLP.1.2_1,GLP.2.5_1,5.0,0
GLP.1.2_1,GLP.2.7_1,3.0,0
GLP.1.2_1,GLP.2.8_1,2.0,0
GLP.1.2_1,GLP.2.14_1,2.0,0
GLP.1.2_1,GLP.2.12_1,2.0,0
GLP.1.2_1,GLP.2.2_1,1.0,0
GLP.1.3_1,GLP.1.7_1,807.0,0
GLP.1.3_1,GLP.1.2_1,175.0,0
GLP.1.3_1,GLP.1.12_1,168.0,0
GLP.1.3_1,GLP.1.17_1,16.0,0
GLP.1.3_1,GLP.1.16_1,57.0,0
GLP.1.3_1,GLP.1.18_1,30.0,0
GLP.1.3_1,GLP.1.5_1,43.0,0
GLP.1.3_1,GLP.1.4_1,14.0,0
GLP.1.3_1,GLP.1.8_1,12.0,0
GLP.1.3_1,GLP.1.14_1,3.0,0
GLP.1.3_1,GLP.1.10_1,24.0,0
GLP.1.3_1,GLP.1.15_1,1.0,0
GLP.1.3_1,GLP.1.11_1,4.0,0
GLP.1.3_1,GLP.1.9_1,16.0,0
GLP.1.3_1,GLP.1.1_1,13.0,0
GLP.1.3_1,GLP.1.13_1,6.0,0
GLP.1.3_1,GLP.2.10_1,2.0,0
GLP.1.3_1,GLP.2.5_1,6.0,0
GLP.1.3_1,GLP.2.7_1,5.0,0
GLP.1.3_1,GLP.2.8_1,2.0,0
GLP.1.3_1,GLP.2.14_1,6.0,0
GLP.1.3_1,GLP.2.3_1,1.0,0
GLP.1.3_1,GLP.2.13_1,1.0,0
GLP.1.3_1,GLP.2.6_1,3.0,0
GLP.1.3_1,GLP.2.11_1,1.0,0
GLP.1.3_1,GLP.2.12_1,1.0,0
GLP.1.4_1,GLP.1.18_1,728.0,0
GLP.1.4_1,GLP.1.11_1,213.0,0
GLP.1.4_1,GLP.1.10_1,313.0,0
GLP.1.4_1,GLP.1.2_1,23.0,0
GLP.1.4_1,GLP.1.12_1,39.0,0
GLP.1.4_1,GLP.1.9_1,39.0,0
GLP.1.4_1,GLP.1.8_1,14.0,0
GLP.1.4_1,GLP.1.3_1,8.0,0
GLP.1.4_1,GLP.1.13_1,20.0,0
GLP.1.4_1,GLP.1.6_1,5.0,0
GLP.1.4_1,GLP.1.7_1,6.0,0
GLP.1.4_1,GLP.1.5_1,8.0,0
GLP.1.4_1,GLP.1.16_1,2.0,0
GLP.1.4_1,GLP.1.1_1,6.0,0
GLP.1.4_1,GLP.2.10_1,2.0,0
GLP.1.4_1,GLP.2.7_1,22.0,0
GLP.1.4_1,GLP.2.5_1,1.0,0
GLP.1.4_1,GLP.2.8_1,7.0,0
GLP.1.4_1,GLP.2.14_1,1.0,0
GLP.1.4_1,GLP.2.6_1,3.0,0
GLP.1.4_1,GLP.2.12_1,2.0,0
GLP.1.5_1,GLP.1.8_1,1534.0,0
GLP.1.5_1,GLP.1.16_1,503.0,0
GLP.1.5_1,GLP.1.12_1,426.0,0
GLP.1.5_1,GLP.1.7_1,223.0,0
GLP.1.5_1,GLP.1.2_1,93.0,0
GLP.1.5_1,GLP.1.18_1,100.0,0
GLP.1.5_1,GLP.1.10_1,245.0,0
GLP.1.5_1,GLP.1.17_1,16.0,0
GLP.1.5_1,GLP.1.3_1,43.0,0
GLP.1.5_1,GLP.1.4_1,33.0,0
GLP.1.5_1,GLP.1.9_1,75.0,0
GLP.1.5_1,GLP.1.15_1,6.0,0
GLP.1.5_1,GLP.2.10_1,28.0,0
GLP.1.5_1,GLP.1.1_1,97.0,0
GLP.1.5_1,GLP.1.14_1,3.0,0
GLP.1.5_1,GLP.2.5_1,54.0,0
GLP.1.5_1,GLP.1.11_1,8.0,0
GLP.1.5_1,GLP.2.7_1,70.0,0
GLP.1.5_1,GLP.1.13_1,18.0,0
GLP.1.5_1,GLP.2.14_1,21.0,0
GLP.1.5_1,GLP.1.6_1,1.0,0
GLP.1.5_1,GLP.2.8_1,12.0,0
GLP.1.5_1,GLP.2.13_1,3.0,0
GLP.1.5_1,GLP.2.3_1,4.0,0
GLP.1.5_1,GLP.2.6_1,15.0,0
GLP.1.5_1,GLP.2.9_1,7.0,0
GLP.1.5_1,GLP.2.12_1,13.0,0
GLP.1.5_1,GLP.2.11_1,2.0,0
GLP.1.5_1,GLP.2.2_1,1.0,0
GLP.1.5_1,GLP.2.1_1,1.0,0
GLP.1.5_1,GLP.2.4_1,1.0,0
GLP.1.6_1,GLP.1.13_1,731.0,0
GLP.1.6_1,GLP.1.11_1,25.0,0
GLP.1.6_1,GLP.1.9_1,48.0,0
GLP.1.6_1,GLP.1.4_1,7.0,0
GLP.1.6_1,GLP.1.10_1,23.0,0
GLP.1.6_1,GLP.1.1_1,13.0,0
GLP.1.6_1,GLP.1.18_1,1.0,0
GLP.1.6_1,GLP.1.8_1,4.0,0
GLP.1.6_1,GLP.2.10_1,1.0,0
GLP.1.6_1,GLP.2.7_1,6.0,0
GLP.1.6_1,GLP.1.12_1,1.0,0
GLP.1.6_1,GLP.1.5_1,2.0,0
GLP.1.6_1,GLP.2.8_1,1.0,0
GLP.1.6_1,GLP.2.11_1,1.0,0
GLP.1.6_1,GLP.2.5_1,1.0,0
GLP.1.6_1,GLP.2.14_1,2.0,0
GLP.1.6_1,GLP.2.6_1,1.0,0
GLP.1.7_1,GLP.1.17_1,339.0,0
GLP.1.7_1,GLP.1.16_1,621.0,0
GLP.1.7_1,GLP.1.12_1,323.0,0
GLP.1.7_1,GLP.1.3_1,105.0,0
GLP.1.7_1,GLP.1.2_1,57.0,0
GLP.1.7_1,GLP.1.5_1,95.0,0
GLP.1.7_1,GLP.1.18_1,28.0,0
GLP.1.7_1,GLP.1.8_1,47.0,0
GLP.1.7_1,GLP.1.14_1,3.0,0
GLP.1.7_1,GLP.1.15_1,7.0,0
GLP.1.7_1,GLP.1.4_1,17.0,0
GLP.1.7_1,GLP.1.10_1,36.0,0
GLP.1.7_1,GLP.1.11_1,8.0,0
GLP.1.7_1,GLP.1.9_1,17.0,0
GLP.1.7_1,GLP.1.1_1,26.0,0
GLP.1.7_1,GLP.2.10_1,4.0,0
GLP.1.7_1,GLP.1.13_1,13.0,0
GLP.1.7_1,GLP.2.5_1,10.0,0
GLP.1.7_1,GLP.1.6_1,1.0,0
GLP.1.7_1,GLP.2.7_1,17.0,0
GLP.1.7_1,GLP.2.14_1,3.0,0
GLP.1.7_1,GLP.2.8_1,1.0,0
GLP.1.7_1,GLP.2.13_1,2.0,0
GLP.1.7_1,GLP.2.6_1,3.0,0
GLP.1.7_1,GLP.2.9_1,1.0,0
GLP.1.7_1,GLP.2.11_1,2.0,0
GLP.1.8_1,GLP.1.10_1,1694.0,0
GLP.1.8_1,GLP.1.5_1,275.0,0
GLP.1.8_1,GLP.1.18_1,57.0,0
GLP.1.8_1,GLP.1.12_1,68.0,0
