origin,destination,flow,time
GMB.1.1_1,GMB.1.2_1,1303.0,0
GMB.1.1_1,GMB.6.8_1,76.0,0
GMB.1.1_1,GMB.4.4_1,3.0,0
GMB.1.1_1,GMB.6.6_1,6.0,0
GMB.1.1_1,GMB.6.7_1,2.0,0
GMB.1.1_1,GMB.4.6_1,2.0,0
GMB.1.1_1,GMB.6.9_1,2.0,0
GMB.1.1_1,GMB.6.3_1,1.0,0
GMB.1.1_1,GMB.4.2_1,1.0,0
GMB.1.1_1,GMB.6.1_1,1.0,0
GMB.1.1_1,GMB.4.3_1,1.0,0
GMB.1.1_1,GMB.2.4_1,1.0,0
GMB.1.1_1,GMB.2.5_1,1.0,0
GMB.1.1_1,GMB.2.3_1,1.0,0
GMB.1.1_1,GMB.3.10_1,2.0,0
GMB.1.1_1,GMB.3.5_1,1.0,0
GMB.1.1_1,GMB.3.7_1,1.0,0
GMB.1.1_1,GMB.3.1_1,1.0,0
GMB.1.1_1,GMB.3.9_1,2.0,0
GMB.1.1_1,GMB.5.3_1,2.0,0
GMB.1.1_1,GMB.5.1_1,1.0,0
GMB.1.1_1,GMB.5.2_1,1.0,0
GMB.1.2_1,GMB.1.1_1,1527.0,0
GMB.1.2_1,GMB.6.8_1,10400.0,0
GMB.1.2_1,GMB.6.6_1,1030.0,0
GMB.1.2_1,GMB.6.9_1,658.0,0
GMB.1.2_1,GMB.4.4_1,236.0,0
GMB.1.2_1,GMB.6.7_1,155.0,0
GMB.1.2_1,GMB.4.6_1,80.0,0
GMB.1.2_1,GMB.6.3_1,43.0,0
GMB.1.2_1,GMB.4.2_1,61.0,0
GMB.1.2_1,GMB.6.1_1,53.0,0
GMB.1.2_1,GMB.4.3_1,38.0,0
GMB.1.2_1,GMB.6.5_1,32.0,0
GMB.1.2_1,GMB.2.6_1,40.0,0
GMB.1.2_1,GMB.4.1_1,74.0,0
GMB.1.2_1,GMB.6.2_1,16.0,0
GMB.1.2_1,GMB.6.4_1,17.0,0
GMB.1.2_1,GMB.2.4_1,21.0,0
GMB.1.2_1,GMB.2.5_1,14.0,0
GMB.1.2_1,GMB.4.5_1,179.0,0
GMB.1.2_1,GMB.2.3_1,41.0,0
GMB.1.2_1,GMB.2.1_1,27.0,0
GMB.1.2_1,GMB.3.3_1,25.0,0
