origin,destination,flow,time
GNQ.1.1_1,GNQ.1.2_1,12.0,0
GNQ.1.1_1,GNQ.6.4_1,2.0,0
GNQ.1.1_1,GNQ.6.6_1,9.0,0
GNQ.1.1_1,GNQ.6.7_1,1.0,0
GNQ.1.2_1,GNQ.1.1_1,9.0,0
GNQ.1.2_1,GNQ.6.4_1,1.0,0
GNQ.1.2_1,GNQ.6.6_1,15.0,0
GNQ.2.1_1,GNQ.2.3_1,975.0,0
GNQ.2.1_1,GNQ.2.2_1,259.0,0
GNQ.2.1_1,GNQ.3.2_1,12.0,0
GNQ.2.1_1,GNQ.3.1_1,42.0,0
GNQ.2.1_1,GNQ.6.5_1,122.0,0
GNQ.2.1_1,GNQ.4.5_1,24.0,0
GNQ.2.1_1,GNQ.6.1_1,54.0,0
GNQ.2.1_1,GNQ.5.3_1,32.0,0
GNQ.2.1_1,GNQ.4.4_1,10.0,0
GNQ.2.1_1,GNQ.6.6_1,50.0,0
GNQ.2.1_1,GNQ.6.2_1,25.0,0
GNQ.2.1_1,GNQ.5.5_1,10.0,0
GNQ.2.1_1,GNQ.4.2_1,10.0,0
GNQ.2.1_1,GNQ.6.3_1,20.0,0
GNQ.2.1_1,GNQ.7.2_1,18.0,0
GNQ.2.1_1,GNQ.7.4_1,8.0,0
GNQ.2.1_1,GNQ.4.3_1,11.0,0
GNQ.2.1_1,GNQ.5.4_1,9.0,0
GNQ.2.1_1,GNQ.6.7_1,3.0,0
GNQ.2.1_1,GNQ.5.2_1,10.0,0
GNQ.2.1_1,GNQ.5.6_1,1.0,0
GNQ.2.1_1,GNQ.4.1_1,14.0,0
GNQ.2.1_1,GNQ.5.1_1,2.0,0
GNQ.2.1_1,GNQ.7.6_1,2.0,0
GNQ.2.1_1,GNQ.7.5_1,1.0,0
GNQ.2.1_1,GNQ.7.3_1,2.0,0
GNQ.2.1_1,GNQ.7.1_1,1.0,0
GNQ.2.1_1,GNQ.7.7_1,6.0,0
GNQ.2.1_1,GNQ.1.2_1,1.0,0
GNQ.2.2_1,GNQ.2.3_1,794.0,0
GNQ.2.2_1,GNQ.2.1_1,186.0,0
GNQ.2.2_1,GNQ.3.2_1,9.0,0
GNQ.2.2_1,GNQ.3.1_1,33.0,0
GNQ.2.2_1,GNQ.6.5_1,55.0,0
GNQ.2.2_1,GNQ.4.5_1,7.0,0
GNQ.2.2_1,GNQ.6.1_1,25.0,0
GNQ.2.2_1,GNQ.5.3_1,17.0,0
GNQ.2.2_1,GNQ.4.4_1,8.0,0
GNQ.2.2_1,GNQ.6.6_1,17.0,0
GNQ.2.2_1,GNQ.6.2_1,11.0,0
GNQ.2.2_1,GNQ.5.5_1,4.0,0
GNQ.2.2_1,GNQ.4.2_1,5.0,0
GNQ.2.2_1,GNQ.6.3_1,17.0,0
GNQ.2.2_1,GNQ.7.2_1,8.0,0
GNQ.2.2_1,GNQ.7.4_1,6.0,0
GNQ.2.2_1,GNQ.4.3_1,3.0,0
GNQ.2.2_1,GNQ.5.4_1,2.0,0
GNQ.2.2_1,GNQ.6.7_1,4.0,0
GNQ.2.2_1,GNQ.5.2_1,6.0,0
GNQ.2.2_1,GNQ.5.6_1,2.0,0
GNQ.2.2_1,GNQ.4.1_1,2.0,0
GNQ.2.2_1,GNQ.5.1_1,1.0,0
GNQ.2.2_1,GNQ.7.5_1,1.0,0
GNQ.2.2_1,GNQ.7.3_1,4.0,0
GNQ.2.2_1,GNQ.7.1_1,1.0,0
GNQ.2.2_1,GNQ.7.7_1,1.0,0
GNQ.2.3_1,GNQ.2.2_1,819.0,0
GNQ.2.3_1,GNQ.2.1_1,446.0,0
GNQ.2.3_1,GNQ.3.2_1,30.0,0
GNQ.2.3_1,GNQ.3.1_1,55.0,0
GNQ.2.3_1,GNQ.6.5_1,126.0,0
