origin,destination,flow,time
GRC.1.1_1,GRC.1.2_1,2343.0,0
GRC.1.1_1,GRC.2.1_1,9.0,0
GRC.1.1_1,GRC.3.1_1,1286.0,0
GRC.1.1_1,GRC.6.2_1,22.0,0
GRC.1.1_1,GRC.8.1_1,18.0,0
GRC.1.1_1,GRC.8.2_1,12.0,0
GRC.1.1_1,GRC.6.1_1,25.0,0
GRC.1.1_1,GRC.7.2_1,3.0,0
GRC.1.1_1,GRC.7.3_1,2.0,0
GRC.1.1_1,GRC.4.1_1,7.0,0
GRC.1.1_1,GRC.5.2_1,2.0,0
GRC.1.1_1,GRC.5.1_1,2.0,0
GRC.1.1_1,GRC.7.1_1,2.0,0
GRC.1.2_1,GRC.4.1_1,4197.0,0
GRC.1.2_1,GRC.1.1_1,304.0,0
GRC.1.2_1,GRC.3.1_1,1247.0,0
GRC.1.2_1,GRC.7.2_1,49.0,0
GRC.1.2_1,GRC.8.1_1,39.0,0
GRC.1.2_1,GRC.7.3_1,31.0,0
GRC.1.2_1,GRC.8.2_1,25.0,0
GRC.1.2_1,GRC.6.2_1,21.0,0
GRC.1.2_1,GRC.6.1_1,49.0,0
GRC.1.2_1,GRC.7.1_1,6.0,0
GRC.1.2_1,GRC.5.1_1,9.0,0
GRC.1.2_1,GRC.5.2_1,4.0,0
GRC.2.1_1,GRC.6.1_1,36.0,0
GRC.3.1_1,GRC.8.1_1,14404.0,0
GRC.3.1_1,GRC.7.2_1,11657.0,0
GRC.3.1_1,GRC.7.3_1,10314.0,0
GRC.3.1_1,GRC.8.2_1,9360.0,0
GRC.3.1_1,GRC.1.1_1,2085.0,0
GRC.3.1_1,GRC.1.2_1,2979.0,0
GRC.3.1_1,GRC.2.1_1,17.0,0
GRC.3.1_1,GRC.7.1_1,1835.0,0
GRC.3.1_1,GRC.4.1_1,5458.0,0
GRC.3.1_1,GRC.5.1_1,2520.0,0
GRC.3.1_1,GRC.6.1_1,10666.0,0
GRC.3.1_1,GRC.5.2_1,1233.0,0
GRC.3.1_1,GRC.6.2_1,2510.0,0
GRC.4.1_1,GRC.1.2_1,4374.0,0
GRC.4.1_1,GRC.3.1_1,7351.0,0
GRC.4.1_1,GRC.7.2_1,191.0,0
GRC.4.1_1,GRC.1.1_1,65.0,0
GRC.4.1_1,GRC.8.1_1,142.0,0
GRC.4.1_1,GRC.7.3_1,146.0,0
GRC.4.1_1,GRC.8.2_1,128.0,0
GRC.4.1_1,GRC.7.1_1,33.0,0
GRC.4.1_1,GRC.5.1_1,46.0,0
GRC.4.1_1,GRC.6.1_1,198.0,0
GRC.4.1_1,GRC.5.2_1,23.0,0
GRC.4.1_1,GRC.6.2_1,56.0,0
GRC.5.1_1,GRC.5.2_1,3217.0,0
GRC.5.1_1,GRC.7.1_1,902.0,0
