origin,destination,flow,time
GUM.1_1,GUM.7_1,6.0,0
GUM.1_1,GUM.14_1,6.0,0
GUM.1_1,GUM.3_1,4.0,0
GUM.1_1,GUM.11_1,5.0,0
GUM.1_1,GUM.5_1,2.0,0
GUM.1_1,GUM.19_1,1.0,0
GUM.1_1,GUM.6_1,1.0,0
GUM.2_1,GUM.13_1,29.0,0
GUM.2_1,GUM.15_1,3.0,0
GUM.2_1,GUM.19_1,4.0,0
GUM.2_1,GUM.8_1,2.0,0
GUM.2_1,GUM.5_1,1.0,0
GUM.2_1,GUM.1_1,1.0,0
GUM.2_1,GUM.4_1,1.0,0
GUM.2_1,GUM.9_1,1.0,0
GUM.2_1,GUM.16_1,1.0,0
GUM.2_1,GUM.18_1,1.0,0
GUM.3_1,GUM.1_1,10.0,0
GUM.3_1,GUM.14_1,7.0,0
GUM.3_1,GUM.12_1,1.0,0
GUM.3_1,GUM.5_1,5.0,0
GUM.3_1,GUM.11_1,1.0,0
GUM.3_1,GUM.19_1,3.0,0
GUM.3_1,GUM.4_1,2.0,0
GUM.4_1,GUM.9_1,74.0,0
GUM.4_1,GUM.16_1,14.0,0
GUM.4_1,GUM.11_1,4.0,0
GUM.4_1,GUM.5_1,2.0,0
GUM.4_1,GUM.7_1,1.0,0
GUM.4_1,GUM.1_1,1.0,0
GUM.4_1,GUM.3_1,3.0,0
GUM.4_1,GUM.6_1,3.0,0
GUM.4_1,GUM.19_1,1.0,0
GUM.4_1,GUM.18_1,1.0,0
GUM.5_1,GUM.14_1,22.0,0
GUM.5_1,GUM.11_1,25.0,0
GUM.5_1,GUM.1_1,3.0,0
GUM.5_1,GUM.7_1,2.0,0
GUM.5_1,GUM.19_1,13.0,0
GUM.5_1,GUM.3_1,2.0,0
GUM.5_1,GUM.4_1,1.0,0
GUM.5_1,GUM.9_1,6.0,0
GUM.5_1,GUM.16_1,3.0,0
GUM.5_1,GUM.6_1,3.0,0
GUM.6_1,GUM.18_1,227.0,0
GUM.6_1,GUM.16_1,110.0,0
GUM.6_1,GUM.4_1,43.0,0
GUM.6_1,GUM.9_1,52.0,0
GUM.6_1,GUM.11_1,13.0,0
GUM.6_1,GUM.7_1,1.0,0
GUM.6_1,GUM.14_1,6.0,0
GUM.6_1,GUM.1_1,5.0,0
GUM.6_1,GUM.5_1,10.0,0
GUM.6_1,GUM.3_1,5.0,0
GUM.6_1,GUM.19_1,10.0,0
GUM.6_1,GUM.12_1,1.0,0
GUM.6_1,GUM.13_1,13.0,0
GUM.6_1,GUM.15_1,7.0,0
GUM.6_1,GUM.2_1,5.0,0
GUM.6_1,GUM.8_1,1.0,0
GUM.6_1,GUM.10_1,1.0,0
GUM.7_1,GUM.1_1,6.0,0
GUM.7_1,GUM.14_1,2.0,0
GUM.7_1,GUM.11_1,2.0,0
GUM.8_1,GUM.15_1,13.0,0
GUM.8_1,GUM.10_1,1.0,0
GUM.8_1,GUM.17_1,2.0,0
GUM.8_1,GUM.19_1,1.0,0
GUM.8_1,GUM.13_1,1.0,0
GUM.8_1,GUM.5_1,1.0,0
GUM.9_1,GUM.4_1,65.0,0
GUM.9_1,GUM.16_1,70.0,0
GUM.9_1,GUM.11_1,10.0,0
GUM.9_1,GUM.5_1,10.0,0
GUM.9_1,GUM.14_1,2.0,0
GUM.9_1,GUM.7_1,3.0,0
GUM.9_1,GUM.1_1,3.0,0
GUM.9_1,GUM.6_1,19.0,0
GUM.9_1,GUM.3_1,1.0,0
GUM.9_1,GUM.18_1,9.0,0
GUM.9_1,GUM.12_1,1.0,0
GUM.9_1,GUM.13_1,1.0,0
GUM.9_1,GUM.2_1,3.0,0
GUM.9_1,GUM.10_1,2.0,0
GUM.10_1,GUM.17_1,4.0,0
GUM.10_1,GUM.8_1,7.0,0
GUM.10_1,GUM.15_1,2.0,0
GUM.10_1,GUM.2_1,1.0,0
GUM.11_1,GUM.14_1,11.0,0
GUM.11_1,GUM.7_1,9.0,0
GUM.11_1,GUM.1_1,14.0,0
GUM.11_1,GUM.5_1,16.0,0
GUM.11_1,GUM.4_1,7.0,0
GUM.11_1,GUM.16_1,16.0,0
GUM.11_1,GUM.9_1,5.0,0
GUM.11_1,GUM.19_1,1.0,0
GUM.11_1,GUM.6_1,3.0,0
GUM.11_1,GUM.18_1,2.0,0
GUM.12_1,GUM.3_1,10.0,0
GUM.12_1,GUM.13_1,2.0,0
GUM.13_1,GUM.12_1,11.0,0
GUM.13_1,GUM.2_1,18.0,0
GUM.13_1,GUM.19_1,10.0,0
GUM.13_1,GUM.3_1,1.0,0
GUM.13_1,GUM.15_1,2.0,0
GUM.13_1,GUM.1_1,1.0,0
GUM.13_1,GUM.17_1,1.0,0
GUM.13_1,GUM.5_1,2.0,0
GUM.13_1,GUM.4_1,2.0,0
GUM.13_1,GUM.16_1,1.0,0
GUM.13_1,GUM.9_1,1.0,0
GUM.13_1,GUM.6_1,1.0,0
GUM.13_1,GUM.18_1,1.0,0
GUM.14_1,GUM.11_1,20.0,0
GUM.14_1,GUM.7_1,1.0,0
GUM.14_1,GUM.1_1,2.0,0
GUM.14_1,GUM.5_1,1.0,0
GUM.14_1,GUM.19_1,1.0,0
GUM.14_1,GUM.16_1,1.0,0
GUM.14_1,GUM.9_1,1.0,0
GUM.15_1,GUM.8_1,11.0,0
GUM.15_1,GUM.2_1,15.0,0
GUM.15_1,GUM.19_1,5.0,0
GUM.15_1,GUM.10_1,1.0,0
GUM.15_1,GUM.7_1,1.0,0
GUM.16_1,GUM.4_1,73.0,0
GUM.16_1,GUM.11_1,32.0,0
GUM.16_1,GUM.9_1,36.0,0
GUM.16_1,GUM.7_1,1.0,0
GUM.16_1,GUM.14_1,1.0,0
GUM.16_1,GUM.1_1,2.0,0
GUM.16_1,GUM.5_1,12.0,0
GUM.16_1,GUM.6_1,28.0,0
GUM.16_1,GUM.3_1,3.0,0
GUM.16_1,GUM.19_1,4.0,0
GUM.16_1,GUM.18_1,6.0,0
GUM.16_1,GUM.12_1,1.0,0
GUM.16_1,GUM.2_1,2.0,0
GUM.16_1,GUM.10_1,1.0,0
GUM.17_1,GUM.10_1,5.0,0
GUM.17_1,GUM.2_1,2.0,0
GUM.18_1,GUM.6_1,190.0,0
GUM.18_1,GUM.16_1,19.0,0
GUM.18_1,GUM.9_1,14.0,0
GUM.18_1,GUM.4_1,3.0,0
GUM.18_1,GUM.11_1,1.0,0
GUM.18_1,GUM.14_1,2.0,0
GUM.18_1,GUM.7_1,1.0,0
GUM.18_1,GUM.5_1,2.0,0
GUM.18_1,GUM.1_1,1.0,0
