origin,destination,flow,time
GUY.1_1,GUY.7_1,182.0,0
GUY.1_1,GUY.2_1,33.0,0
GUY.1_1,GUY.5_1,51.0,0
GUY.1_1,GUY.3_1,34.0,0
GUY.1_1,GUY.9_1,2.0,0
GUY.1_1,GUY.4_1,2.0,0
GUY.2_1,GUY.8_1,74.0,0
GUY.2_1,GUY.1_1,79.0,0
GUY.2_1,GUY.7_1,22.0,0
GUY.2_1,GUY.5_1,17.0,0
GUY.2_1,GUY.9_1,3.0,0
GUY.2_1,GUY.3_1,7.0,0
GUY.2_1,GUY.4_1,1.0,0
GUY.3_1,GUY.5_1,1495.0,0
GUY.3_1,GUY.6_1,413.0,0
GUY.3_1,GUY.7_1,357.0,0
GUY.3_1,GUY.9_1,214.0,0
GUY.3_1,GUY.2_1,100.0,0
GUY.3_1,GUY.1_1,134.0,0
GUY.3_1,GUY.8_1,62.0,0
GUY.3_1,GUY.4_1,379.0,0
GUY.3_1,GUY.10_1,115.0,0
GUY.4_1,GUY.10_1,297.0,0
GUY.4_1,GUY.9_1,208.0,0
GUY.4_1,GUY.8_1,26.0,0
GUY.4_1,GUY.6_1,142.0,0
GUY.4_1,GUY.3_1,305.0,0
GUY.4_1,GUY.5_1,27.0,0
GUY.4_1,GUY.2_1,5.0,0
GUY.4_1,GUY.7_1,19.0,0
GUY.4_1,GUY.1_1,5.0,0
GUY.5_1,GUY.3_1,980.0,0
GUY.5_1,GUY.7_1,37.0,0
GUY.5_1,GUY.6_1,32.0,0
GUY.5_1,GUY.9_1,15.0,0
GUY.5_1,GUY.2_1,12.0,0
GUY.5_1,GUY.1_1,23.0,0
GUY.5_1,GUY.8_1,7.0,0
GUY.5_1,GUY.4_1,35.0,0
GUY.5_1,GUY.10_1,11.0,0
GUY.6_1,GUY.3_1,472.0,0
GUY.6_1,GUY.5_1,12.0,0
GUY.6_1,GUY.9_1,7.0,0
GUY.6_1,GUY.7_1,6.0,0
GUY.6_1,GUY.8_1,1.0,0
GUY.6_1,GUY.2_1,1.0,0
GUY.6_1,GUY.4_1,7.0,0
GUY.6_1,GUY.10_1,1.0,0
GUY.7_1,GUY.5_1,370.0,0
GUY.7_1,GUY.3_1,80.0,0
GUY.7_1,GUY.1_1,3.0,0
GUY.7_1,GUY.6_1,2.0,0
GUY.7_1,GUY.2_1,1.0,0
GUY.7_1,GUY.9_1,5.0,0
GUY.7_1,GUY.4_1,1.0,0
GUY.8_1,GUY.9_1,89.0,0
GUY.8_1,GUY.2_1,1.0,0
GUY.8_1,GUY.5_1,15.0,0
GUY.8_1,GUY.6_1,2.0,0
GUY.8_1,GUY.3_1,1.0,0
GUY.9_1,GUY.6_1,229.0,0
GUY.9_1,GUY.8_1,19.0,0
GUY.9_1,GUY.3_1,131.0,0
GUY.9_1,GUY.5_1,9.0,0
GUY.9_1,GUY.7_1,2.0,0
GUY.9_1,GUY.4_1,4.0,0
GUY.9_1,GUY.1_1,1.0,0
GUY.10_1,GUY.4_1,253.0,0
GUY.10_1,GUY.8_1,3.0,0
GUY.10_1,GUY.9_1,14.0,0
GUY.10_1,GUY.2_1,5.0,0
GUY.10_1,GUY.6_1,10.0,0
GUY.10_1,GUY.3_1,19.0,0
GUY.10_1,GUY.5_1,5.0,0
GUY.10_1,GUY.1_1,1.0,0
GUY.1_1,GUY.1_1,30099.23801039856,0
GUY.2_1,GUY.2_1,20114.421783286743,0
GUY.3_1,GUY.3_1,323646.6449355579,0
GUY.4_1,GUY.4_1,102419.02009775897,0
GUY.5_1,GUY.5_1,114109.58770202377,0
GUY.6_1,GUY.6_1,50257.41459209401,0
GUY.7_1,GUY.7_1,45811.313090692376,0
GUY.8_1,GUY.8_1,10782.79612903251,0
GUY.9_1,GUY.9_1,39132.88296992148,0
GUY.10_1,GUY.10_1,30697.843985393807,0
