origin,destination,flow,time
HUN.1_1,HUN.17_1,1527.0,0
HUN.1_1,HUN.6_1,1226.0,0
HUN.1_1,HUN.7_1,620.0,0
HUN.1_1,HUN.14_1,673.0,0
HUN.1_1,HUN.5_1,355.0,0
HUN.1_1,HUN.2_1,36.0,0
HUN.1_1,HUN.11_1,35.0,0
HUN.1_1,HUN.3_1,22.0,0
HUN.1_1,HUN.15_1,23.0,0
HUN.1_1,HUN.12_1,23.0,0
HUN.1_1,HUN.19_1,17.0,0
HUN.1_1,HUN.10_1,16.0,0
HUN.1_1,HUN.13_1,14.0,0
HUN.1_1,HUN.9_1,19.0,0
HUN.1_1,HUN.20_1,10.0,0
HUN.1_1,HUN.8_1,17.0,0
HUN.1_1,HUN.18_1,11.0,0
HUN.1_1,HUN.4_1,19.0,0
HUN.1_1,HUN.16_1,9.0,0
HUN.2_1,HUN.17_1,1317.0,0
HUN.2_1,HUN.15_1,776.0,0
HUN.2_1,HUN.1_1,503.0,0
HUN.2_1,HUN.20_1,149.0,0
HUN.2_1,HUN.7_1,173.0,0
HUN.2_1,HUN.19_1,92.0,0
HUN.2_1,HUN.6_1,88.0,0
HUN.2_1,HUN.18_1,33.0,0
HUN.2_1,HUN.12_1,33.0,0
HUN.2_1,HUN.5_1,151.0,0
HUN.2_1,HUN.14_1,28.0,0
HUN.2_1,HUN.8_1,19.0,0
HUN.2_1,HUN.11_1,9.0,0
HUN.2_1,HUN.3_1,6.0,0
HUN.2_1,HUN.13_1,3.0,0
HUN.2_1,HUN.10_1,10.0,0
HUN.2_1,HUN.9_1,11.0,0
HUN.2_1,HUN.4_1,5.0,0
HUN.2_1,HUN.16_1,8.0,0
HUN.3_1,HUN.6_1,1806.0,0
HUN.3_1,HUN.11_1,505.0,0
HUN.3_1,HUN.9_1,382.0,0
HUN.3_1,HUN.1_1,136.0,0
HUN.3_1,HUN.10_1,63.0,0
HUN.3_1,HUN.14_1,149.0,0
HUN.3_1,HUN.16_1,40.0,0
HUN.3_1,HUN.4_1,45.0,0
HUN.3_1,HUN.5_1,65.0,0
HUN.3_1,HUN.13_1,4.0,0
HUN.3_1,HUN.17_1,3.0,0
HUN.3_1,HUN.7_1,9.0,0
HUN.3_1,HUN.12_1,3.0,0
HUN.3_1,HUN.2_1,4.0,0
HUN.3_1,HUN.19_1,4.0,0
HUN.3_1,HUN.15_1,3.0,0
HUN.3_1,HUN.8_1,5.0,0
HUN.3_1,HUN.20_1,6.0,0
HUN.3_1,HUN.18_1,1.0,0
HUN.4_1,HUN.10_1,2208.0,0
HUN.4_1,HUN.16_1,1844.0,0
HUN.4_1,HUN.9_1,877.0,0
HUN.4_1,HUN.13_1,158.0,0
HUN.4_1,HUN.11_1,278.0,0
HUN.4_1,HUN.14_1,495.0,0
