origin,destination,flow,time
IDN.1_1,IDN.32_1,707374.0,0
IDN.1_1,IDN.24_1,69564.0,0
IDN.1_1,IDN.30_1,27249.0,0
IDN.1_1,IDN.8_1,14484.0,0
IDN.1_1,IDN.16_1,7838.0,0
IDN.1_1,IDN.5_1,5076.0,0
IDN.1_1,IDN.31_1,17752.0,0
IDN.1_1,IDN.3_1,2884.0,0
IDN.1_1,IDN.17_1,12777.0,0
IDN.1_1,IDN.4_1,14566.0,0
IDN.1_1,IDN.7_1,7714.0,0
IDN.1_1,IDN.12_1,3022.0,0
IDN.1_1,IDN.9_1,18498.0,0
IDN.1_1,IDN.14_1,578.0,0
IDN.1_1,IDN.10_1,5721.0,0
IDN.1_1,IDN.33_1,560.0,0
IDN.1_1,IDN.15_1,678.0,0
IDN.1_1,IDN.11_1,4242.0,0
IDN.1_1,IDN.13_1,386.0,0
IDN.1_1,IDN.2_1,397.0,0
IDN.1_1,IDN.25_1,145.0,0
IDN.1_1,IDN.20_1,410.0,0
IDN.1_1,IDN.26_1,657.0,0
IDN.1_1,IDN.27_1,240.0,0
IDN.1_1,IDN.6_1,87.0,0
IDN.1_1,IDN.28_1,207.0,0
IDN.1_1,IDN.29_1,193.0,0
IDN.1_1,IDN.21_1,337.0,0
IDN.1_1,IDN.18_1,103.0,0
IDN.1_1,IDN.19_1,130.0,0
IDN.1_1,IDN.22_1,86.0,0
IDN.1_1,IDN.23_1,402.0,0
IDN.2_1,IDN.20_1,486558.0,0
IDN.2_1,IDN.11_1,360347.0,0
IDN.2_1,IDN.33_1,6463.0,0
IDN.2_1,IDN.10_1,32130.0,0
IDN.2_1,IDN.13_1,2480.0,0
IDN.2_1,IDN.26_1,4414.0,0
IDN.2_1,IDN.14_1,1190.0,0
IDN.2_1,IDN.21_1,2259.0,0
IDN.2_1,IDN.25_1,648.0,0
IDN.2_1,IDN.9_1,12985.0,0
IDN.2_1,IDN.28_1,529.0,0
IDN.2_1,IDN.7_1,1602.0,0
IDN.2_1,IDN.4_1,1808.0,0
IDN.2_1,IDN.12_1,635.0,0
IDN.2_1,IDN.27_1,377.0,0
IDN.2_1,IDN.15_1,600.0,0
IDN.2_1,IDN.3_1,194.0,0
IDN.2_1,IDN.17_1,869.0,0
IDN.2_1,IDN.6_1,110.0,0
IDN.2_1,IDN.31_1,738.0,0
IDN.2_1,IDN.29_1,225.0,0
IDN.2_1,IDN.5_1,151.0,0
IDN.2_1,IDN.16_1,235.0,0
IDN.2_1,IDN.8_1,301.0,0
IDN.2_1,IDN.18_1,125.0,0
IDN.2_1,IDN.19_1,178.0,0
IDN.2_1,IDN.24_1,619.0,0
IDN.2_1,IDN.30_1,381.0,0
IDN.2_1,IDN.22_1,106.0,0
IDN.2_1,IDN.32_1,977.0,0
IDN.2_1,IDN.1_1,310.0,0
IDN.2_1,IDN.23_1,392.0,0
IDN.3_1,IDN.31_1,262838.0,0
IDN.3_1,IDN.17_1,24941.0,0
IDN.3_1,IDN.7_1,10166.0,0
IDN.3_1,IDN.8_1,2181.0,0
IDN.3_1,IDN.4_1,4749.0,0
IDN.3_1,IDN.16_1,559.0,0
IDN.3_1,IDN.5_1,408.0,0
IDN.3_1,IDN.9_1,5018.0,0
IDN.3_1,IDN.12_1,262.0,0
IDN.3_1,IDN.24_1,325.0,0
IDN.3_1,IDN.10_1,998.0,0
IDN.3_1,IDN.30_1,114.0,0
IDN.3_1,IDN.33_1,75.0,0
IDN.3_1,IDN.14_1,41.0,0
IDN.3_1,IDN.11_1,606.0,0
IDN.3_1,IDN.32_1,168.0,0
IDN.3_1,IDN.13_1,47.0,0
IDN.3_1,IDN.2_1,59.0,0
IDN.3_1,IDN.15_1,42.0,0
IDN.3_1,IDN.1_1,43.0,0
IDN.3_1,IDN.20_1,51.0,0
IDN.3_1,IDN.25_1,14.0,0
IDN.3_1,IDN.26_1,77.0,0
IDN.3_1,IDN.27_1,28.0,0
IDN.3_1,IDN.28_1,19.0,0
IDN.3_1,IDN.6_1,13.0,0
IDN.3_1,IDN.21_1,36.0,0
IDN.3_1,IDN.29_1,19.0,0
IDN.3_1,IDN.18_1,11.0,0
IDN.3_1,IDN.19_1,20.0,0
IDN.3_1,IDN.22_1,17.0,0
IDN.3_1,IDN.23_1,42.0,0
IDN.4_1,IDN.7_1,1222444.0,0
IDN.4_1,IDN.9_1,1118190.0,0
IDN.4_1,IDN.17_1,53273.0,0
IDN.4_1,IDN.31_1,40957.0,0
IDN.4_1,IDN.3_1,7465.0,0
IDN.4_1,IDN.10_1,110142.0,0
IDN.4_1,IDN.33_1,9015.0,0
IDN.4_1,IDN.5_1,4138.0,0
IDN.4_1,IDN.8_1,8498.0,0
IDN.4_1,IDN.11_1,65141.0,0
IDN.4_1,IDN.30_1,6720.0,0
IDN.4_1,IDN.16_1,3059.0,0
IDN.4_1,IDN.12_1,5720.0,0
IDN.4_1,IDN.24_1,8599.0,0
IDN.4_1,IDN.14_1,2798.0,0
IDN.4_1,IDN.2_1,4545.0,0
IDN.4_1,IDN.13_1,4159.0,0
IDN.4_1,IDN.32_1,12124.0,0
IDN.4_1,IDN.20_1,4074.0,0
IDN.4_1,IDN.15_1,3757.0,0
IDN.4_1,IDN.25_1,1213.0,0
IDN.4_1,IDN.1_1,3434.0,0
IDN.4_1,IDN.26_1,5918.0,0
IDN.4_1,IDN.27_1,2091.0,0
IDN.4_1,IDN.28_1,1922.0,0
IDN.4_1,IDN.21_1,3384.0,0
IDN.4_1,IDN.6_1,750.0,0
IDN.4_1,IDN.29_1,1549.0,0
IDN.4_1,IDN.18_1,896.0,0
IDN.4_1,IDN.19_1,1114.0,0
IDN.4_1,IDN.22_1,784.0,0
IDN.4_1,IDN.23_1,3397.0,0
IDN.5_1,IDN.31_1,290721.0,0
IDN.5_1,IDN.8_1,18881.0,0
IDN.5_1,IDN.17_1,18043.0,0
IDN.5_1,IDN.30_1,5781.0,0
IDN.5_1,IDN.24_1,5266.0,0
IDN.5_1,IDN.3_1,766.0,0
IDN.5_1,IDN.4_1,4691.0,0
IDN.5_1,IDN.7_1,2027.0,0
IDN.5_1,IDN.16_1,440.0,0
IDN.5_1,IDN.9_1,4391.0,0
IDN.5_1,IDN.32_1,547.0,0
