origin,destination,flow,time
IMN.1_1,IMN.4_1,653.0,0
IMN.1_1,IMN.2_1,413.0,0
IMN.1_1,IMN.5_1,882.0,0
IMN.1_1,IMN.3_1,56.0,0
IMN.1_1,IMN.6_1,58.0,0
IMN.2_1,IMN.1_1,652.0,0
IMN.2_1,IMN.4_1,59.0,0
IMN.2_1,IMN.5_1,194.0,0
IMN.2_1,IMN.3_1,8.0,0
IMN.2_1,IMN.6_1,6.0,0
IMN.3_1,IMN.5_1,1698.0,0
IMN.3_1,IMN.6_1,76.0,0
IMN.3_1,IMN.4_1,21.0,0
IMN.3_1,IMN.2_1,16.0,0
IMN.3_1,IMN.1_1,25.0,0
IMN.4_1,IMN.1_1,588.0,0
IMN.4_1,IMN.2_1,68.0,0
IMN.4_1,IMN.3_1,59.0,0
IMN.4_1,IMN.5_1,75.0,0
IMN.4_1,IMN.6_1,7.0,0
IMN.5_1,IMN.3_1,3267.0,0
IMN.5_1,IMN.2_1,1258.0,0
IMN.5_1,IMN.6_1,2688.0,0
IMN.5_1,IMN.4_1,646.0,0
IMN.5_1,IMN.1_1,1420.0,0
IMN.6_1,IMN.3_1,1244.0,0
IMN.6_1,IMN.5_1,1213.0,0
IMN.6_1,IMN.4_1,31.0,0
IMN.6_1,IMN.2_1,34.0,0
IMN.6_1,IMN.1_1,69.0,0
IMN.1_1,IMN.1_1,8251.28478584288,0
IMN.2_1,IMN.2_1,3679.983622360232,0
IMN.3_1,IMN.3_1,7346.723935699465,0
IMN.4_1,IMN.4_1,3190.8561958312966,0
IMN.5_1,IMN.5_1,37119.24858474728,0
IMN.6_1,IMN.6_1,10366.34452476504,0
