origin,destination,flow,time
IRN.1_1,IRN.22_1,51836.0,0
IRN.1_1,IRN.28_1,91530.0,0
IRN.1_1,IRN.23_1,2779.0,0
IRN.1_1,IRN.20_1,5257.0,0
IRN.1_1,IRN.19_1,2241.0,0
IRN.1_1,IRN.8_1,2765.0,0
IRN.1_1,IRN.31_1,1034.0,0
IRN.1_1,IRN.10_1,1449.0,0
IRN.1_1,IRN.6_1,3281.0,0
IRN.1_1,IRN.17_1,823.0,0
IRN.1_1,IRN.25_1,438.0,0
IRN.1_1,IRN.18_1,765.0,0
IRN.1_1,IRN.2_1,508.0,0
IRN.1_1,IRN.9_1,695.0,0
IRN.1_1,IRN.14_1,635.0,0
IRN.1_1,IRN.5_1,1157.0,0
IRN.1_1,IRN.4_1,243.0,0
IRN.1_1,IRN.12_1,145.0,0
IRN.1_1,IRN.15_1,1105.0,0
IRN.1_1,IRN.29_1,618.0,0
IRN.1_1,IRN.16_1,118.0,0
IRN.1_1,IRN.21_1,160.0,0
IRN.1_1,IRN.30_1,266.0,0
IRN.1_1,IRN.24_1,1032.0,0
IRN.1_1,IRN.7_1,628.0,0
IRN.1_1,IRN.3_1,165.0,0
IRN.1_1,IRN.27_1,76.0,0
IRN.1_1,IRN.13_1,384.0,0
IRN.1_1,IRN.11_1,174.0,0
IRN.1_1,IRN.26_1,221.0,0
IRN.2_1,IRN.5_1,50240.0,0
IRN.2_1,IRN.8_1,5205.0,0
IRN.2_1,IRN.31_1,1295.0,0
IRN.2_1,IRN.29_1,2293.0,0
IRN.2_1,IRN.22_1,667.0,0
IRN.2_1,IRN.17_1,632.0,0
IRN.2_1,IRN.1_1,964.0,0
IRN.2_1,IRN.10_1,408.0,0
IRN.2_1,IRN.20_1,525.0,0
IRN.2_1,IRN.14_1,238.0,0
IRN.2_1,IRN.19_1,224.0,0
IRN.2_1,IRN.28_1,919.0,0
IRN.2_1,IRN.23_1,72.0,0
IRN.2_1,IRN.18_1,82.0,0
IRN.2_1,IRN.12_1,26.0,0
IRN.2_1,IRN.9_1,86.0,0
IRN.2_1,IRN.25_1,28.0,0
IRN.2_1,IRN.6_1,156.0,0
IRN.2_1,IRN.4_1,31.0,0
IRN.2_1,IRN.15_1,134.0,0
IRN.2_1,IRN.21_1,24.0,0
IRN.2_1,IRN.16_1,19.0,0
IRN.2_1,IRN.30_1,32.0,0
IRN.2_1,IRN.24_1,136.0,0
IRN.2_1,IRN.3_1,22.0,0
IRN.2_1,IRN.7_1,84.0,0
IRN.2_1,IRN.27_1,10.0,0
IRN.2_1,IRN.13_1,50.0,0
IRN.2_1,IRN.11_1,27.0,0
IRN.2_1,IRN.26_1,24.0,0
IRN.3_1,IRN.7_1,58727.0,0
IRN.3_1,IRN.16_1,1408.0,0
IRN.3_1,IRN.4_1,1817.0,0
IRN.3_1,IRN.15_1,5648.0,0
IRN.3_1,IRN.6_1,2693.0,0
IRN.3_1,IRN.11_1,598.0,0
IRN.3_1,IRN.30_1,367.0,0
IRN.3_1,IRN.13_1,751.0,0
IRN.3_1,IRN.18_1,308.0,0
IRN.3_1,IRN.12_1,98.0,0
IRN.3_1,IRN.19_1,313.0,0
IRN.3_1,IRN.23_1,172.0,0
IRN.3_1,IRN.10_1,224.0,0
IRN.3_1,IRN.28_1,901.0,0
IRN.3_1,IRN.14_1,97.0,0
IRN.3_1,IRN.1_1,169.0,0
IRN.3_1,IRN.25_1,37.0,0
IRN.3_1,IRN.22_1,59.0,0
IRN.3_1,IRN.20_1,124.0,0
IRN.3_1,IRN.17_1,40.0,0
IRN.3_1,IRN.27_1,21.0,0
IRN.3_1,IRN.31_1,40.0,0
IRN.3_1,IRN.26_1,81.0,0
IRN.3_1,IRN.8_1,70.0,0
IRN.3_1,IRN.9_1,53.0,0
IRN.3_1,IRN.24_1,154.0,0
IRN.3_1,IRN.21_1,20.0,0
IRN.3_1,IRN.5_1,69.0,0
IRN.3_1,IRN.2_1,23.0,0
IRN.3_1,IRN.29_1,52.0,0
IRN.4_1,IRN.16_1,16928.0,0
IRN.4_1,IRN.15_1,21083.0,0
IRN.4_1,IRN.6_1,2829.0,0
IRN.4_1,IRN.18_1,458.0,0
IRN.4_1,IRN.19_1,385.0,0
IRN.4_1,IRN.23_1,200.0,0
IRN.4_1,IRN.3_1,215.0,0
IRN.4_1,IRN.10_1,203.0,0
IRN.4_1,IRN.7_1,395.0,0
IRN.4_1,IRN.12_1,43.0,0
IRN.4_1,IRN.28_1,450.0,0
IRN.4_1,IRN.1_1,97.0,0
IRN.4_1,IRN.14_1,36.0,0
IRN.4_1,IRN.22_1,22.0,0
IRN.4_1,IRN.30_1,30.0,0
IRN.4_1,IRN.20_1,59.0,0
IRN.4_1,IRN.25_1,15.0,0
IRN.4_1,IRN.17_1,39.0,0
IRN.4_1,IRN.31_1,16.0,0
IRN.4_1,IRN.8_1,36.0,0
IRN.4_1,IRN.13_1,53.0,0
IRN.4_1,IRN.9_1,17.0,0
IRN.4_1,IRN.2_1,16.0,0
IRN.4_1,IRN.11_1,19.0,0
IRN.4_1,IRN.5_1,37.0,0
IRN.4_1,IRN.29_1,26.0,0
IRN.4_1,IRN.21_1,3.0,0
IRN.4_1,IRN.27_1,2.0,0
IRN.4_1,IRN.24_1,47.0,0
IRN.4_1,IRN.26_1,13.0,0
IRN.5_1,IRN.29_1,97711.0,0
IRN.5_1,IRN.2_1,17968.0,0
IRN.5_1,IRN.31_1,12365.0,0
IRN.5_1,IRN.17_1,13052.0,0
IRN.5_1,IRN.8_1,15278.0,0
IRN.5_1,IRN.22_1,5848.0,0
IRN.5_1,IRN.10_1,6451.0,0
IRN.5_1,IRN.14_1,5153.0,0
IRN.5_1,IRN.1_1,7040.0,0
IRN.5_1,IRN.19_1,3044.0,0
IRN.5_1,IRN.18_1,2506.0,0
IRN.5_1,IRN.12_1,823.0,0
IRN.5_1,IRN.23_1,1575.0,0
IRN.5_1,IRN.20_1,3375.0,0
IRN.5_1,IRN.28_1,7789.0,0
IRN.5_1,IRN.9_1,870.0,0
IRN.5_1,IRN.6_1,2118.0,0
IRN.5_1,IRN.15_1,1552.0,0
IRN.5_1,IRN.4_1,266.0,0
IRN.5_1,IRN.25_1,255.0,0
IRN.5_1,IRN.16_1,147.0,0
IRN.5_1,IRN.21_1,250.0,0
IRN.5_1,IRN.30_1,395.0,0
IRN.5_1,IRN.3_1,404.0,0
IRN.5_1,IRN.24_1,1389.0,0
IRN.5_1,IRN.7_1,860.0,0
IRN.5_1,IRN.27_1,118.0,0
IRN.5_1,IRN.13_1,539.0,0
IRN.5_1,IRN.11_1,272.0,0
IRN.5_1,IRN.26_1,300.0,0
IRN.6_1,IRN.23_1,60052.0,0
IRN.6_1,IRN.4_1,26569.0,0
IRN.6_1,IRN.28_1,126544.0,0
IRN.6_1,IRN.19_1,7186.0,0
IRN.6_1,IRN.30_1,5056.0,0
IRN.6_1,IRN.16_1,1525.0,0
IRN.6_1,IRN.25_1,2451.0,0
IRN.6_1,IRN.1_1,7759.0,0
IRN.6_1,IRN.20_1,5979.0,0
IRN.6_1,IRN.15_1,6733.0,0
IRN.6_1,IRN.18_1,2047.0,0
IRN.6_1,IRN.10_1,1988.0,0
IRN.6_1,IRN.22_1,1357.0,0
