origin,destination,flow,time
ISL.1.1_1,ISL.1.7_1,10.0,0
ISL.1.1_1,ISL.1.12_1,9.0,0
ISL.1.1_1,ISL.1.10_1,11.0,0
ISL.1.1_1,ISL.1.8_1,8.0,0
ISL.1.1_1,ISL.1.6_1,1.0,0
ISL.1.1_1,ISL.1.5_1,1.0,0
ISL.1.1_1,ISL.1.11_1,1.0,0
ISL.1.1_1,ISL.1.15_1,1.0,0
ISL.1.1_1,ISL.2.2_1,1.0,0
ISL.1.2_1,ISL.1.12_1,4.0,0
ISL.1.2_1,ISL.1.8_1,1.0,0
ISL.1.3_1,ISL.1.14_1,6.0,0
ISL.1.3_1,ISL.1.6_1,5.0,0
ISL.1.4_1,ISL.1.6_1,5.0,0
ISL.1.5_1,ISL.1.3_1,6.0,0
ISL.1.5_1,ISL.1.9_1,2.0,0
ISL.1.5_1,ISL.1.14_1,3.0,0
ISL.1.5_1,ISL.1.6_1,3.0,0
ISL.1.5_1,ISL.1.8_1,2.0,0
ISL.1.5_1,ISL.1.1_1,1.0,0
ISL.1.6_1,ISL.1.4_1,5.0,0
ISL.1.6_1,ISL.1.14_1,10.0,0
ISL.1.6_1,ISL.1.8_1,20.0,0
ISL.1.6_1,ISL.1.3_1,2.0,0
ISL.1.6_1,ISL.1.10_1,1.0,0
ISL.1.6_1,ISL.1.12_1,1.0,0
ISL.1.6_1,ISL.1.11_1,2.0,0
ISL.1.6_1,ISL.2.16_1,1.0,0
ISL.1.6_1,ISL.5.24_1,1.0,0
ISL.1.6_1,ISL.5.21_1,1.0,0
ISL.1.7_1,ISL.1.1_1,7.0,0
ISL.1.7_1,ISL.1.12_1,1.0,0
ISL.1.8_1,ISL.1.4_1,4.0,0
ISL.1.8_1,ISL.1.6_1,24.0,0
ISL.1.8_1,ISL.1.10_1,21.0,0
ISL.1.8_1,ISL.1.12_1,5.0,0
ISL.1.8_1,ISL.1.14_1,6.0,0
ISL.1.8_1,ISL.1.1_1,11.0,0
ISL.1.8_1,ISL.1.3_1,1.0,0
ISL.1.8_1,ISL.1.7_1,2.0,0
ISL.1.8_1,ISL.1.5_1,3.0,0
ISL.1.8_1,ISL.1.11_1,13.0,0
ISL.1.8_1,ISL.1.16_1,1.0,0
ISL.1.8_1,ISL.2.23_1,1.0,0
ISL.1.8_1,ISL.1.15_1,6.0,0
ISL.1.8_1,ISL.2.16_1,2.0,0
ISL.1.8_1,ISL.2.13_1,2.0,0
ISL.1.8_1,ISL.2.1_1,1.0,0
ISL.1.8_1,ISL.2.14_1,1.0,0
ISL.1.8_1,ISL.2.6_1,2.0,0
ISL.1.8_1,ISL.2.2_1,9.0,0
ISL.1.8_1,ISL.2.9_1,2.0,0
ISL.1.8_1,ISL.5.12_1,1.0,0
ISL.1.8_1,ISL.4.7_1,1.0,0
ISL.1.8_1,ISL.5.11_1,1.0,0
ISL.1.8_1,ISL.5.24_1,3.0,0
ISL.1.8_1,ISL.3.7_1,1.0,0
ISL.1.9_1,ISL.1.11_1,4.0,0
ISL.1.10_1,ISL.1.12_1,13.0,0
ISL.1.10_1,ISL.1.8_1,14.0,0
ISL.1.10_1,ISL.1.1_1,2.0,0
ISL.1.10_1,ISL.1.6_1,1.0,0
ISL.1.10_1,ISL.1.14_1,1.0,0
ISL.1.10_1,ISL.1.5_1,1.0,0
ISL.1.10_1,ISL.1.11_1,1.0,0
ISL.1.10_1,ISL.1.13_1,1.0,0
ISL.1.10_1,ISL.2.2_1,1.0,0
ISL.1.11_1,ISL.1.9_1,9.0,0
ISL.1.11_1,ISL.2.22_1,13.0,0
ISL.1.11_1,ISL.1.7_1,4.0,0
ISL.1.11_1,ISL.1.1_1,23.0,0
ISL.1.11_1,ISL.1.5_1,6.0,0
ISL.1.11_1,ISL.1.3_1,3.0,0
ISL.1.11_1,ISL.1.16_1,13.0,0
ISL.1.11_1,ISL.1.4_1,1.0,0
ISL.1.11_1,ISL.1.8_1,26.0,0
ISL.1.11_1,ISL.1.6_1,3.0,0
ISL.1.11_1,ISL.1.12_1,3.0,0
ISL.1.11_1,ISL.1.14_1,1.0,0
ISL.1.11_1,ISL.1.10_1,6.0,0
ISL.1.11_1,ISL.2.4_1,1.0,0
ISL.1.11_1,ISL.1.15_1,4.0,0
ISL.1.11_1,ISL.2.16_1,6.0,0
ISL.1.11_1,ISL.2.13_1,1.0,0
ISL.1.11_1,ISL.2.6_1,3.0,0
ISL.1.11_1,ISL.2.2_1,11.0,0
ISL.1.11_1,ISL.2.5_1,1.0,0
ISL.1.11_1,ISL.4.10_1,1.0,0
ISL.1.11_1,ISL.8.8_1,1.0,0
ISL.1.11_1,ISL.5.21_1,1.0,0
ISL.1.11_1,ISL.3.7_1,5.0,0
ISL.1.12_1,ISL.1.10_1,13.0,0
ISL.1.12_1,ISL.1.2_1,4.0,0
ISL.1.12_1,ISL.1.8_1,4.0,0
ISL.1.12_1,ISL.1.6_1,1.0,0
ISL.1.12_1,ISL.1.11_1,1.0,0
ISL.1.13_1,ISL.2.24_1,5.0,0
ISL.1.13_1,ISL.2.23_1,1.0,0
ISL.1.13_1,ISL.2.16_1,2.0,0
ISL.1.14_1,ISL.1.6_1,15.0,0
ISL.1.14_1,ISL.1.8_1,2.0,0
ISL.1.15_1,ISL.1.9_1,1.0,0
ISL.1.15_1,ISL.1.5_1,17.0,0
ISL.1.15_1,ISL.5.19_1,8.0,0
ISL.1.15_1,ISL.1.11_1,34.0,0
ISL.1.15_1,ISL.2.4_1,3.0,0
ISL.1.15_1,ISL.5.27_1,3.0,0
ISL.1.15_1,ISL.1.6_1,3.0,0
ISL.1.15_1,ISL.1.1_1,1.0,0
ISL.1.15_1,ISL.1.8_1,1.0,0
ISL.1.15_1,ISL.2.6_1,1.0,0
ISL.1.15_1,ISL.1.10_1,1.0,0
ISL.1.15_1,ISL.5.10_1,1.0,0
ISL.1.15_1,ISL.5.23_1,1.0,0
ISL.1.15_1,ISL.5.18_1,1.0,0
ISL.1.15_1,ISL.5.4_1,1.0,0
ISL.1.15_1,ISL.2.2_1,3.0,0
ISL.1.15_1,ISL.4.10_1,1.0,0
ISL.1.15_1,ISL.3.6_1,1.0,0
ISL.1.15_1,ISL.3.7_1,2.0,0
ISL.1.16_1,ISL.1.13_1,5.0,0
ISL.1.16_1,ISL.2.24_1,5.0,0
ISL.1.16_1,ISL.1.7_1,6.0,0
ISL.1.16_1,ISL.2.16_1,8.0,0
ISL.1.16_1,ISL.1.1_1,1.0,0
ISL.1.16_1,ISL.1.11_1,1.0,0
ISL.1.16_1,ISL.2.2_1,1.0,0
ISL.2.1_1,ISL.2.19_1,3.0,0
ISL.2.1_1,ISL.2.12_1,1.0,0
ISL.2.1_1,ISL.2.9_1,1.0,0
ISL.2.2_1,ISL.2.7_1,22.0,0
ISL.2.2_1,ISL.2.21_1,10.0,0
ISL.2.2_1,ISL.2.17_1,6.0,0
ISL.2.2_1,ISL.2.3_1,2.0,0
ISL.2.2_1,ISL.2.10_1,9.0,0
ISL.2.2_1,ISL.2.5_1,64.0,0
ISL.2.2_1,ISL.2.6_1,70.0,0
ISL.2.2_1,ISL.2.9_1,20.0,0
ISL.2.2_1,ISL.2.11_1,15.0,0
ISL.2.2_1,ISL.4.1_1,4.0,0
ISL.2.2_1,ISL.4.10_1,63.0,0
