origin,destination,flow,time
ITA.1_1,ITA.12_1,12510.0,0
ITA.1_1,ITA.8_1,41512.0,0
ITA.1_1,ITA.18_1,1281.0,0
ITA.1_1,ITA.11_1,1620.0,0
ITA.1_1,ITA.5_1,3278.0,0
ITA.1_1,ITA.16_1,1069.0,0
ITA.1_1,ITA.3_1,130.0,0
ITA.1_1,ITA.2_1,723.0,0
ITA.1_1,ITA.6_1,603.0,0
ITA.1_1,ITA.4_1,162.0,0
ITA.1_1,ITA.20_1,401.0,0
ITA.1_1,ITA.7_1,76.0,0
ITA.1_1,ITA.14_1,103.0,0
ITA.1_1,ITA.9_1,92.0,0
ITA.1_1,ITA.10_1,447.0,0
ITA.1_1,ITA.17_1,32.0,0
ITA.1_1,ITA.15_1,132.0,0
ITA.1_1,ITA.13_1,106.0,0
ITA.1_1,ITA.19_1,5.0,0
ITA.2_1,ITA.3_1,25261.0,0
ITA.2_1,ITA.5_1,102059.0,0
ITA.2_1,ITA.12_1,2279.0,0
ITA.2_1,ITA.4_1,11764.0,0
ITA.2_1,ITA.1_1,6471.0,0
ITA.2_1,ITA.8_1,17907.0,0
ITA.2_1,ITA.11_1,3080.0,0
ITA.2_1,ITA.18_1,1679.0,0
ITA.2_1,ITA.15_1,6796.0,0
ITA.2_1,ITA.16_1,3796.0,0
ITA.2_1,ITA.6_1,3513.0,0
ITA.2_1,ITA.7_1,833.0,0
ITA.2_1,ITA.20_1,2739.0,0
ITA.2_1,ITA.14_1,735.0,0
ITA.2_1,ITA.9_1,651.0,0
ITA.2_1,ITA.17_1,434.0,0
ITA.2_1,ITA.10_1,3289.0,0
ITA.2_1,ITA.13_1,1081.0,0
ITA.2_1,ITA.19_1,26.0,0
ITA.3_1,ITA.2_1,23945.0,0
ITA.3_1,ITA.5_1,1910.0,0
ITA.3_1,ITA.4_1,210.0,0
ITA.3_1,ITA.12_1,31.0,0
ITA.3_1,ITA.1_1,120.0,0
ITA.3_1,ITA.8_1,331.0,0
ITA.3_1,ITA.15_1,147.0,0
ITA.3_1,ITA.11_1,34.0,0
ITA.3_1,ITA.18_1,20.0,0
ITA.3_1,ITA.16_1,60.0,0
ITA.3_1,ITA.14_1,21.0,0
ITA.3_1,ITA.6_1,52.0,0
ITA.3_1,ITA.20_1,42.0,0
ITA.3_1,ITA.7_1,17.0,0
ITA.3_1,ITA.9_1,11.0,0
ITA.3_1,ITA.17_1,13.0,0
ITA.3_1,ITA.10_1,65.0,0
ITA.3_1,ITA.13_1,24.0,0
ITA.4_1,ITA.3_1,21504.0,0
ITA.4_1,ITA.2_1,44675.0,0
ITA.4_1,ITA.5_1,12562.0,0
ITA.4_1,ITA.15_1,4183.0,0
ITA.4_1,ITA.12_1,167.0,0
ITA.4_1,ITA.1_1,679.0,0
ITA.4_1,ITA.8_1,2172.0,0
ITA.4_1,ITA.18_1,244.0,0
ITA.4_1,ITA.11_1,400.0,0
ITA.4_1,ITA.14_1,356.0,0
ITA.4_1,ITA.16_1,711.0,0
ITA.4_1,ITA.6_1,673.0,0
ITA.4_1,ITA.20_1,606.0,0
ITA.4_1,ITA.7_1,130.0,0
ITA.4_1,ITA.9_1,125.0,0
ITA.4_1,ITA.10_1,724.0,0
ITA.4_1,ITA.17_1,64.0,0
ITA.4_1,ITA.13_1,202.0,0
ITA.4_1,ITA.19_1,5.0,0
ITA.5_1,ITA.12_1,15600.0,0
ITA.5_1,ITA.3_1,24603.0,0
ITA.5_1,ITA.2_1,101024.0,0
ITA.5_1,ITA.1_1,18584.0,0
ITA.5_1,ITA.8_1,48721.0,0
ITA.5_1,ITA.4_1,9576.0,0
ITA.5_1,ITA.18_1,4046.0,0
ITA.5_1,ITA.11_1,6206.0,0
ITA.5_1,ITA.15_1,14514.0,0
ITA.5_1,ITA.16_1,8015.0,0
ITA.5_1,ITA.14_1,2756.0,0
ITA.5_1,ITA.6_1,6810.0,0
ITA.5_1,ITA.20_1,5801.0,0
ITA.5_1,ITA.7_1,1229.0,0
ITA.5_1,ITA.9_1,1324.0,0
ITA.5_1,ITA.10_1,7327.0,0
ITA.5_1,ITA.17_1,613.0,0
ITA.5_1,ITA.13_1,2321.0,0
ITA.5_1,ITA.19_1,63.0,0
ITA.6_1,ITA.16_1,109498.0,0
ITA.6_1,ITA.20_1,50623.0,0
ITA.6_1,ITA.10_1,35866.0,0
ITA.6_1,ITA.9_1,2890.0,0
ITA.6_1,ITA.18_1,1601.0,0
ITA.6_1,ITA.11_1,2453.0,0
ITA.6_1,ITA.17_1,1538.0,0
ITA.6_1,ITA.7_1,1589.0,0
ITA.6_1,ITA.13_1,4830.0,0
ITA.6_1,ITA.19_1,99.0,0
ITA.6_1,ITA.8_1,4642.0,0
ITA.6_1,ITA.1_1,847.0,0
ITA.6_1,ITA.12_1,181.0,0
ITA.6_1,ITA.5_1,3230.0,0
ITA.6_1,ITA.14_1,779.0,0
ITA.6_1,ITA.2_1,1636.0,0
ITA.6_1,ITA.3_1,205.0,0
ITA.6_1,ITA.4_1,711.0,0
ITA.6_1,ITA.15_1,1615.0,0
ITA.7_1,ITA.20_1,49765.0,0
ITA.7_1,ITA.17_1,1842.0,0
ITA.7_1,ITA.6_1,4086.0,0
ITA.7_1,ITA.10_1,3010.0,0
ITA.7_1,ITA.11_1,226.0,0
ITA.7_1,ITA.16_1,421.0,0
ITA.7_1,ITA.18_1,93.0,0
ITA.7_1,ITA.9_1,131.0,0
ITA.7_1,ITA.13_1,377.0,0
ITA.7_1,ITA.19_1,15.0,0
ITA.7_1,ITA.1_1,97.0,0
ITA.7_1,ITA.8_1,305.0,0
ITA.7_1,ITA.12_1,20.0,0
ITA.7_1,ITA.5_1,223.0,0
ITA.7_1,ITA.2_1,136.0,0
ITA.7_1,ITA.3_1,14.0,0
ITA.7_1,ITA.14_1,56.0,0
ITA.7_1,ITA.4_1,44.0,0
ITA.7_1,ITA.15_1,103.0,0
ITA.8_1,ITA.1_1,58061.0,0
ITA.8_1,ITA.18_1,29361.0,0
ITA.8_1,ITA.12_1,8309.0,0
ITA.8_1,ITA.11_1,34884.0,0
ITA.8_1,ITA.16_1,50227.0,0
ITA.8_1,ITA.5_1,38629.0,0
ITA.8_1,ITA.6_1,18011.0,0
ITA.8_1,ITA.3_1,1716.0,0
ITA.8_1,ITA.2_1,10481.0,0
ITA.8_1,ITA.14_1,3383.0,0
ITA.8_1,ITA.9_1,2920.0,0
ITA.8_1,ITA.20_1,7852.0,0
ITA.8_1,ITA.4_1,2365.0,0
ITA.8_1,ITA.7_1,1484.0,0
ITA.8_1,ITA.10_1,9265.0,0
ITA.8_1,ITA.15_1,3141.0,0
ITA.8_1,ITA.17_1,627.0,0
ITA.8_1,ITA.13_1,2476.0,0
ITA.8_1,ITA.19_1,60.0,0
ITA.9_1,ITA.13_1,56600.0,0
ITA.9_1,ITA.10_1,11919.0,0
ITA.9_1,ITA.6_1,1552.0,0
ITA.9_1,ITA.19_1,32.0,0
ITA.9_1,ITA.16_1,852.0,0
ITA.9_1,ITA.20_1,806.0,0
ITA.9_1,ITA.17_1,145.0,0
ITA.9_1,ITA.18_1,107.0,0
ITA.9_1,ITA.11_1,143.0,0
ITA.9_1,ITA.7_1,129.0,0
ITA.9_1,ITA.8_1,460.0,0
ITA.9_1,ITA.14_1,120.0,0
ITA.9_1,ITA.1_1,75.0,0
ITA.9_1,ITA.12_1,15.0,0
ITA.9_1,ITA.5_1,283.0,0
ITA.9_1,ITA.3_1,24.0,0
ITA.9_1,ITA.2_1,171.0,0
ITA.9_1,ITA.4_1,71.0,0
ITA.9_1,ITA.15_1,158.0,0
ITA.10_1,ITA.17_1,58246.0,0
ITA.10_1,ITA.6_1,157267.0,0
ITA.10_1,ITA.13_1,84690.0,0
ITA.10_1,ITA.20_1,60405.0,0
ITA.10_1,ITA.9_1,13550.0,0
ITA.10_1,ITA.19_1,1093.0,0
ITA.10_1,ITA.7_1,9978.0,0
ITA.10_1,ITA.16_1,25660.0,0
ITA.10_1,ITA.11_1,9145.0,0
ITA.10_1,ITA.18_1,4916.0,0
ITA.10_1,ITA.8_1,25716.0,0
ITA.10_1,ITA.1_1,4703.0,0
ITA.10_1,ITA.12_1,1038.0,0
ITA.10_1,ITA.14_1,5459.0,0
ITA.10_1,ITA.5_1,16238.0,0
ITA.10_1,ITA.2_1,9471.0,0
ITA.10_1,ITA.3_1,1197.0,0
ITA.10_1,ITA.4_1,3825.0,0
ITA.10_1,ITA.15_1,8902.0,0
ITA.11_1,ITA.18_1,29411.0,0
ITA.11_1,ITA.1_1,17355.0,0
ITA.11_1,ITA.8_1,20221.0,0
ITA.11_1,ITA.16_1,3760.0,0
ITA.11_1,ITA.6_1,2461.0,0
ITA.11_1,ITA.12_1,92.0,0
ITA.11_1,ITA.20_1,1474.0,0
ITA.11_1,ITA.7_1,240.0,0
ITA.11_1,ITA.5_1,969.0,0
ITA.11_1,ITA.10_1,1095.0,0
ITA.11_1,ITA.9_1,121.0,0
ITA.11_1,ITA.17_1,82.0,0
