origin,destination,flow,time
JAM.1_1,JAM.4_1,6175.0,0
JAM.1_1,JAM.8_1,4403.0,0
JAM.1_1,JAM.7_1,535.0,0
JAM.1_1,JAM.9_1,336.0,0
JAM.1_1,JAM.11_1,223.0,0
JAM.1_1,JAM.13_1,121.0,0
JAM.1_1,JAM.3_1,98.0,0
JAM.1_1,JAM.6_1,627.0,0
JAM.1_1,JAM.10_1,147.0,0
JAM.1_1,JAM.5_1,59.0,0
JAM.1_1,JAM.12_1,58.0,0
JAM.1_1,JAM.14_1,83.0,0
JAM.1_1,JAM.2_1,35.0,0
JAM.2_1,JAM.14_1,2456.0,0
JAM.2_1,JAM.10_1,591.0,0
JAM.2_1,JAM.9_1,179.0,0
JAM.2_1,JAM.13_1,42.0,0
JAM.2_1,JAM.4_1,93.0,0
JAM.2_1,JAM.7_1,69.0,0
JAM.2_1,JAM.1_1,55.0,0
JAM.2_1,JAM.8_1,68.0,0
JAM.2_1,JAM.11_1,6.0,0
JAM.2_1,JAM.6_1,38.0,0
JAM.2_1,JAM.3_1,3.0,0
JAM.2_1,JAM.5_1,2.0,0
JAM.2_1,JAM.12_1,4.0,0
JAM.3_1,JAM.6_1,3050.0,0
JAM.3_1,JAM.8_1,129.0,0
JAM.3_1,JAM.5_1,7.0,0
JAM.3_1,JAM.12_1,11.0,0
JAM.3_1,JAM.11_1,10.0,0
JAM.3_1,JAM.1_1,23.0,0
JAM.3_1,JAM.7_1,11.0,0
JAM.3_1,JAM.4_1,11.0,0
JAM.3_1,JAM.13_1,4.0,0
JAM.3_1,JAM.9_1,6.0,0
JAM.3_1,JAM.10_1,8.0,0
JAM.3_1,JAM.14_1,5.0,0
JAM.3_1,JAM.2_1,4.0,0
JAM.4_1,JAM.1_1,6010.0,0
JAM.4_1,JAM.9_1,1148.0,0
JAM.4_1,JAM.13_1,403.0,0
JAM.4_1,JAM.7_1,613.0,0
JAM.4_1,JAM.8_1,899.0,0
JAM.4_1,JAM.10_1,184.0,0
JAM.4_1,JAM.14_1,111.0,0
JAM.4_1,JAM.11_1,62.0,0
JAM.4_1,JAM.2_1,42.0,0
JAM.4_1,JAM.3_1,31.0,0
JAM.4_1,JAM.6_1,242.0,0
