origin,destination,flow,time
JEY.1_1,JEY.3_1,154.0,0
JEY.1_1,JEY.11_1,44.0,0
JEY.1_1,JEY.7_1,7.0,0
JEY.1_1,JEY.4_1,18.0,0
JEY.1_1,JEY.12_1,4.0,0
JEY.1_1,JEY.6_1,1.0,0
JEY.1_1,JEY.10_1,1.0,0
JEY.1_1,JEY.2_1,1.0,0
JEY.2_1,JEY.10_1,207.0,0
JEY.2_1,JEY.6_1,91.0,0
JEY.2_1,JEY.9_1,36.0,0
JEY.2_1,JEY.8_1,8.0,0
JEY.2_1,JEY.4_1,86.0,0
JEY.2_1,JEY.5_1,1.0,0
JEY.2_1,JEY.11_1,18.0,0
JEY.2_1,JEY.12_1,5.0,0
JEY.2_1,JEY.3_1,7.0,0
JEY.2_1,JEY.1_1,2.0,0
JEY.3_1,JEY.1_1,149.0,0
JEY.3_1,JEY.11_1,178.0,0
JEY.3_1,JEY.4_1,86.0,0
JEY.3_1,JEY.7_1,2.0,0
JEY.3_1,JEY.12_1,6.0,0
JEY.3_1,JEY.6_1,6.0,0
JEY.3_1,JEY.5_1,1.0,0
JEY.3_1,JEY.10_1,7.0,0
JEY.3_1,JEY.2_1,2.0,0
JEY.3_1,JEY.8_1,1.0,0
JEY.3_1,JEY.9_1,3.0,0
JEY.4_1,JEY.11_1,699.0,0
JEY.4_1,JEY.6_1,168.0,0
JEY.4_1,JEY.3_1,200.0,0
JEY.4_1,JEY.12_1,83.0,0
JEY.4_1,JEY.1_1,79.0,0
JEY.4_1,JEY.5_1,46.0,0
JEY.4_1,JEY.7_1,46.0,0
JEY.4_1,JEY.10_1,66.0,0
JEY.4_1,JEY.2_1,96.0,0
JEY.4_1,JEY.8_1,13.0,0
JEY.4_1,JEY.9_1,32.0,0
JEY.5_1,JEY.6_1,129.0,0
JEY.5_1,JEY.8_1,12.0,0
JEY.5_1,JEY.12_1,20.0,0
JEY.5_1,JEY.10_1,14.0,0
JEY.5_1,JEY.4_1,11.0,0
JEY.5_1,JEY.9_1,1.0,0
JEY.5_1,JEY.2_1,1.0,0
JEY.5_1,JEY.3_1,1.0,0
JEY.6_1,JEY.5_1,113.0,0
JEY.6_1,JEY.4_1,133.0,0
JEY.6_1,JEY.10_1,4.0,0
JEY.6_1,JEY.8_1,2.0,0
JEY.6_1,JEY.12_1,6.0,0
JEY.6_1,JEY.11_1,12.0,0
JEY.6_1,JEY.2_1,4.0,0
JEY.6_1,JEY.9_1,1.0,0
JEY.6_1,JEY.7_1,2.0,0
JEY.6_1,JEY.3_1,1.0,0
JEY.6_1,JEY.1_1,1.0,0
JEY.7_1,JEY.11_1,125.0,0
JEY.7_1,JEY.1_1,4.0,0
JEY.7_1,JEY.12_1,4.0,0
JEY.7_1,JEY.3_1,3.0,0
JEY.7_1,JEY.4_1,10.0,0
JEY.7_1,JEY.2_1,3.0,0
JEY.8_1,JEY.5_1,63.0,0
JEY.8_1,JEY.10_1,18.0,0
JEY.8_1,JEY.6_1,2.0,0
JEY.8_1,JEY.9_1,1.0,0
JEY.8_1,JEY.12_1,2.0,0
JEY.8_1,JEY.2_1,2.0,0
JEY.8_1,JEY.4_1,1.0,0
JEY.9_1,JEY.8_1,73.0,0
JEY.9_1,JEY.10_1,73.0,0
JEY.9_1,JEY.2_1,23.0,0
JEY.9_1,JEY.6_1,5.0,0
JEY.9_1,JEY.5_1,6.0,0
JEY.9_1,JEY.4_1,8.0,0
JEY.9_1,JEY.12_1,1.0,0
JEY.9_1,JEY.11_1,3.0,0
JEY.9_1,JEY.3_1,1.0,0
JEY.9_1,JEY.1_1,2.0,0
JEY.10_1,JEY.2_1,187.0,0
JEY.10_1,JEY.8_1,9.0,0
JEY.10_1,JEY.6_1,28.0,0
JEY.10_1,JEY.9_1,13.0,0
JEY.10_1,JEY.5_1,10.0,0
JEY.10_1,JEY.4_1,38.0,0
JEY.10_1,JEY.12_1,1.0,0
JEY.10_1,JEY.11_1,5.0,0
JEY.10_1,JEY.3_1,1.0,0
JEY.10_1,JEY.1_1,2.0,0
JEY.11_1,JEY.1_1,199.0,0
JEY.11_1,JEY.4_1,399.0,0
JEY.11_1,JEY.3_1,45.0,0
JEY.11_1,JEY.7_1,12.0,0
JEY.11_1,JEY.12_1,27.0,0
JEY.11_1,JEY.6_1,13.0,0
JEY.11_1,JEY.5_1,11.0,0
JEY.11_1,JEY.10_1,8.0,0
JEY.11_1,JEY.8_1,6.0,0
JEY.11_1,JEY.2_1,19.0,0
JEY.11_1,JEY.9_1,7.0,0
JEY.12_1,JEY.5_1,105.0,0
JEY.12_1,JEY.11_1,117.0,0
JEY.12_1,JEY.7_1,9.0,0
JEY.12_1,JEY.6_1,15.0,0
JEY.12_1,JEY.4_1,23.0,0
JEY.12_1,JEY.3_1,2.0,0
JEY.12_1,JEY.10_1,2.0,0
JEY.12_1,JEY.2_1,3.0,0
JEY.12_1,JEY.9_1,1.0,0
JEY.1_1,JEY.1_1,4382.399909210202,0
JEY.2_1,JEY.2_1,8770.675841522216,0
JEY.3_1,JEY.3_1,8380.698942565914,0
JEY.4_1,JEY.4_1,29039.155035400352,0
JEY.5_1,JEY.5_1,3594.8980789184598,0
JEY.6_1,JEY.6_1,5312.350018310544,0
JEY.7_1,JEY.7_1,2846.5772254943813,0
JEY.8_1,JEY.8_1,1694.031190872195,0
JEY.9_1,JEY.9_1,3715.6895004272455,0
JEY.10_1,JEY.10_1,5603.2570335388145,0
JEY.11_1,JEY.11_1,14184.071484375,0
JEY.12_1,JEY.12_1,5279.447701263431,0
