origin,destination,flow,time
JOR.1.1_1,JOR.1.2_1,236.0,0
JOR.1.1_1,JOR.5.2_1,315.0,0
JOR.1.1_1,JOR.5.6_1,431.0,0
JOR.1.1_1,JOR.6.1_1,271.0,0
JOR.1.1_1,JOR.5.1_1,88.0,0
JOR.1.1_1,JOR.5.3_1,8.0,0
JOR.1.1_1,JOR.4.1_1,31.0,0
JOR.1.1_1,JOR.5.5_1,33.0,0
JOR.1.1_1,JOR.4.3_1,32.0,0
JOR.1.1_1,JOR.4.2_1,98.0,0
JOR.1.1_1,JOR.5.8_1,130.0,0
JOR.1.1_1,JOR.5.4_1,8.0,0
JOR.1.1_1,JOR.5.9_1,27.0,0
JOR.1.1_1,JOR.12.2_1,7.0,0
JOR.1.1_1,JOR.10.2_1,4.0,0
JOR.1.1_1,JOR.5.7_1,8.0,0
JOR.1.1_1,JOR.4.4_1,18.0,0
JOR.1.1_1,JOR.2.7_1,28.0,0
JOR.1.1_1,JOR.2.1_1,15.0,0
JOR.1.1_1,JOR.4.5_1,5.0,0
JOR.1.1_1,JOR.10.3_1,1.0,0
JOR.1.1_1,JOR.12.3_1,13.0,0
JOR.1.1_1,JOR.2.4_1,2.0,0
JOR.1.1_1,JOR.2.5_1,2.0,0
JOR.1.1_1,JOR.10.4_1,1.0,0
JOR.1.1_1,JOR.7.7_1,1.0,0
JOR.1.1_1,JOR.3.3_1,1.0,0
JOR.1.1_1,JOR.8.3_1,1.0,0
JOR.1.1_1,JOR.3.1_1,1.0,0
JOR.1.2_1,JOR.4.1_1,169.0,0
JOR.1.2_1,JOR.1.1_1,72.0,0
JOR.1.2_1,JOR.4.3_1,2.0,0
JOR.1.2_1,JOR.6.1_1,10.0,0
JOR.1.2_1,JOR.4.2_1,4.0,0
JOR.1.2_1,JOR.5.6_1,2.0,0
JOR.1.2_1,JOR.4.4_1,1.0,0
JOR.1.2_1,JOR.12.2_1,2.0,0
JOR.1.2_1,JOR.2.7_1,2.0,0
JOR.1.2_1,JOR.5.8_1,1.0,0
JOR.2.1_1,JOR.2.6_1,1022.0,0
JOR.2.1_1,JOR.2.7_1,4712.0,0
JOR.2.1_1,JOR.2.4_1,422.0,0
JOR.2.1_1,JOR.4.4_1,677.0,0
JOR.2.1_1,JOR.4.2_1,379.0,0
JOR.2.1_1,JOR.4.5_1,259.0,0
JOR.2.1_1,JOR.12.2_1,121.0,0
JOR.2.1_1,JOR.4.1_1,55.0,0
JOR.2.1_1,JOR.2.5_1,319.0,0
JOR.2.1_1,JOR.6.1_1,129.0,0
JOR.2.1_1,JOR.12.3_1,442.0,0
JOR.2.1_1,JOR.1.2_1,11.0,0
JOR.2.1_1,JOR.9.2_1,54.0,0
JOR.2.1_1,JOR.4.3_1,27.0,0
JOR.2.1_1,JOR.2.3_1,4.0,0
JOR.2.1_1,JOR.10.2_1,51.0,0
JOR.2.1_1,JOR.9.1_1,11.0,0
JOR.2.1_1,JOR.1.1_1,58.0,0
JOR.2.1_1,JOR.7.4_1,2.0,0
JOR.2.1_1,JOR.5.1_1,34.0,0
JOR.2.1_1,JOR.10.3_1,44.0,0
JOR.2.1_1,JOR.5.2_1,11.0,0
JOR.2.1_1,JOR.5.6_1,37.0,0
JOR.2.1_1,JOR.7.2_1,10.0,0
JOR.2.1_1,JOR.10.5_1,17.0,0
JOR.2.1_1,JOR.5.3_1,3.0,0
JOR.2.1_1,JOR.5.7_1,15.0,0
JOR.2.1_1,JOR.5.5_1,19.0,0
JOR.2.1_1,JOR.5.9_1,86.0,0
JOR.2.1_1,JOR.5.8_1,160.0,0
JOR.2.1_1,JOR.7.3_1,11.0,0
JOR.2.1_1,JOR.2.2_1,14.0,0
JOR.2.1_1,JOR.5.4_1,12.0,0
JOR.2.1_1,JOR.7.7_1,19.0,0
JOR.2.1_1,JOR.7.5_1,1.0,0
JOR.2.1_1,JOR.7.1_1,14.0,0
JOR.2.1_1,JOR.10.4_1,5.0,0
JOR.2.1_1,JOR.7.6_1,8.0,0
JOR.2.1_1,JOR.12.1_1,2.0,0
JOR.2.1_1,JOR.11.3_1,11.0,0
JOR.2.1_1,JOR.11.2_1,2.0,0
JOR.2.1_1,JOR.11.1_1,7.0,0
JOR.2.1_1,JOR.8.1_1,4.0,0
JOR.2.1_1,JOR.8.4_1,4.0,0
JOR.2.1_1,JOR.8.5_1,1.0,0
JOR.2.1_1,JOR.3.3_1,3.0,0
JOR.2.1_1,JOR.8.3_1,10.0,0
JOR.2.1_1,JOR.10.1_1,5.0,0
JOR.2.1_1,JOR.3.2_1,9.0,0
JOR.2.1_1,JOR.3.1_1,14.0,0
JOR.2.2_1,JOR.2.3_1,196.0,0
JOR.2.2_1,JOR.2.5_1,428.0,0
JOR.2.2_1,JOR.12.1_1,3.0,0
JOR.2.2_1,JOR.7.7_1,16.0,0
JOR.2.2_1,JOR.2.4_1,19.0,0
JOR.2.2_1,JOR.9.1_1,1.0,0
JOR.2.2_1,JOR.12.3_1,39.0,0
JOR.2.2_1,JOR.7.2_1,1.0,0
JOR.2.2_1,JOR.2.6_1,2.0,0
JOR.2.2_1,JOR.2.1_1,8.0,0
JOR.2.2_1,JOR.2.7_1,4.0,0
JOR.2.2_1,JOR.7.3_1,1.0,0
JOR.2.2_1,JOR.4.4_1,2.0,0
JOR.2.2_1,JOR.4.2_1,1.0,0
JOR.2.2_1,JOR.10.2_1,1.0,0
JOR.2.2_1,JOR.6.1_1,1.0,0
JOR.2.2_1,JOR.5.6_1,1.0,0
JOR.2.2_1,JOR.5.8_1,3.0,0
JOR.2.3_1,JOR.2.5_1,265.0,0
JOR.2.3_1,JOR.2.4_1,4.0,0
JOR.2.3_1,JOR.12.3_1,5.0,0
JOR.2.3_1,JOR.2.1_1,2.0,0
JOR.2.3_1,JOR.2.7_1,1.0,0
JOR.2.3_1,JOR.2.6_1,1.0,0
JOR.2.3_1,JOR.1.2_1,1.0,0
JOR.2.4_1,JOR.2.1_1,1666.0,0
JOR.2.4_1,JOR.2.7_1,124.0,0
JOR.2.4_1,JOR.2.6_1,10.0,0
JOR.2.4_1,JOR.2.5_1,38.0,0
JOR.2.4_1,JOR.12.2_1,8.0,0
JOR.2.4_1,JOR.4.4_1,21.0,0
JOR.2.4_1,JOR.4.2_1,7.0,0
JOR.2.4_1,JOR.12.3_1,22.0,0
JOR.2.4_1,JOR.4.5_1,9.0,0
JOR.2.4_1,JOR.4.1_1,3.0,0
JOR.2.4_1,JOR.9.2_1,4.0,0
JOR.2.4_1,JOR.6.1_1,2.0,0
JOR.2.4_1,JOR.10.2_1,4.0,0
JOR.2.4_1,JOR.1.1_1,4.0,0
JOR.2.4_1,JOR.10.3_1,4.0,0
JOR.2.4_1,JOR.2.2_1,2.0,0
JOR.2.4_1,JOR.10.5_1,3.0,0
JOR.2.4_1,JOR.5.6_1,1.0,0
JOR.2.4_1,JOR.5.9_1,1.0,0
JOR.2.4_1,JOR.7.7_1,3.0,0
JOR.2.4_1,JOR.5.8_1,2.0,0
JOR.2.4_1,JOR.10.4_1,1.0,0
JOR.2.4_1,JOR.11.2_1,1.0,0
JOR.2.4_1,JOR.11.3_1,1.0,0
JOR.2.4_1,JOR.8.1_1,1.0,0
JOR.2.4_1,JOR.3.1_1,2.0,0
JOR.2.5_1,JOR.2.3_1,257.0,0
JOR.2.5_1,JOR.12.3_1,2925.0,0
JOR.2.5_1,JOR.2.4_1,197.0,0
JOR.2.5_1,JOR.12.2_1,110.0,0
JOR.2.5_1,JOR.2.7_1,454.0,0
JOR.2.5_1,JOR.2.1_1,191.0,0
JOR.2.5_1,JOR.10.2_1,15.0,0
JOR.2.5_1,JOR.10.3_1,19.0,0
JOR.2.5_1,JOR.2.6_1,10.0,0
JOR.2.5_1,JOR.4.2_1,43.0,0
JOR.2.5_1,JOR.6.1_1,17.0,0
JOR.2.5_1,JOR.4.4_1,44.0,0
JOR.2.5_1,JOR.2.2_1,11.0,0
JOR.2.5_1,JOR.4.1_1,3.0,0
JOR.2.5_1,JOR.10.5_1,6.0,0
JOR.2.5_1,JOR.1.2_1,3.0,0
JOR.2.5_1,JOR.4.5_1,17.0,0
JOR.2.5_1,JOR.5.1_1,7.0,0
JOR.2.5_1,JOR.9.1_1,2.0,0
JOR.2.5_1,JOR.1.1_1,13.0,0
JOR.2.5_1,JOR.9.2_1,10.0,0
JOR.2.5_1,JOR.10.4_1,3.0,0
JOR.2.5_1,JOR.4.3_1,4.0,0
JOR.2.5_1,JOR.5.2_1,2.0,0
JOR.2.5_1,JOR.12.1_1,2.0,0
JOR.2.5_1,JOR.5.6_1,6.0,0
JOR.2.5_1,JOR.5.9_1,16.0,0
JOR.2.5_1,JOR.5.5_1,4.0,0
JOR.2.5_1,JOR.5.4_1,3.0,0
JOR.2.5_1,JOR.5.8_1,39.0,0
JOR.2.5_1,JOR.7.7_1,3.0,0
JOR.2.5_1,JOR.7.3_1,3.0,0
JOR.2.5_1,JOR.7.5_1,1.0,0
