origin,destination,flow,time
KAZ.2.16_1,KAZ.2.4_1,106.0,0
KAZ.2.16_1,KAZ.2.9_1,12.0,0
KAZ.2.16_1,KAZ.2.17_1,2.0,0
KAZ.2.16_1,KAZ.2.11_1,3.0,0
KAZ.2.16_1,KAZ.7.11_1,8.0,0
KAZ.2.16_1,KAZ.2.3_1,3.0,0
KAZ.2.16_1,KAZ.10.10_1,2.0,0
KAZ.2.16_1,KAZ.10.3_1,1.0,0
KAZ.2.16_1,KAZ.2.15_1,4.0,0
KAZ.2.16_1,KAZ.2.13_1,1.0,0
KAZ.2.16_1,KAZ.2.14_1,1.0,0
KAZ.1.4_1,KAZ.1.8_1,183.0,0
KAZ.1.4_1,KAZ.1.17_1,71.0,0
KAZ.1.4_1,KAZ.1.6_1,28.0,0
KAZ.1.4_1,KAZ.9.2_1,3.0,0
KAZ.1.4_1,KAZ.14.5_1,1.0,0
KAZ.1.4_1,KAZ.14.7_1,2.0,0
KAZ.1.4_1,KAZ.14.2_1,2.0,0
KAZ.1.4_1,KAZ.1.9_1,1.0,0
KAZ.1.4_1,KAZ.1.14_1,3.0,0
KAZ.1.4_1,KAZ.1.3_1,8.0,0
KAZ.1.4_1,KAZ.1.7_1,1.0,0
KAZ.1.4_1,KAZ.9.7_1,1.0,0
KAZ.1.4_1,KAZ.1.5_1,1.0,0
KAZ.1.4_1,KAZ.3.2_1,1.0,0
KAZ.1.1_1,KAZ.1.13_1,154.0,0
KAZ.1.1_1,KAZ.1.14_1,149.0,0
KAZ.1.1_1,KAZ.1.2_1,6.0,0
KAZ.1.1_1,KAZ.1.10_1,6.0,0
KAZ.1.1_1,KAZ.1.8_1,5.0,0
KAZ.1.1_1,KAZ.1.9_1,1.0,0
KAZ.1.1_1,KAZ.1.11_1,4.0,0
KAZ.1.1_1,KAZ.1.16_1,3.0,0
KAZ.1.1_1,KAZ.1.5_1,5.0,0
KAZ.1.1_1,KAZ.5.14_1,2.0,0
KAZ.1.1_1,KAZ.1.15_1,4.0,0
KAZ.1.1_1,KAZ.5.2_1,1.0,0
KAZ.1.1_1,KAZ.1.6_1,1.0,0
KAZ.1.1_1,KAZ.1.3_1,2.0,0
KAZ.1.1_1,KAZ.1.7_1,1.0,0
KAZ.1.1_1,KAZ.5.10_1,1.0,0
KAZ.1.1_1,KAZ.14.11_1,1.0,0
KAZ.1.1_1,KAZ.9.3_1,1.0,0
KAZ.1.1_1,KAZ.2.4_1,1.0,0
KAZ.1.2_1,KAZ.1.13_1,209.0,0
KAZ.1.2_1,KAZ.1.1_1,102.0,0
KAZ.1.2_1,KAZ.5.14_1,118.0,0
KAZ.1.2_1,KAZ.1.14_1,99.0,0
KAZ.1.2_1,KAZ.5.2_1,12.0,0
KAZ.1.2_1,KAZ.1.11_1,17.0,0
KAZ.1.2_1,KAZ.1.8_1,6.0,0
KAZ.1.2_1,KAZ.1.10_1,4.0,0
KAZ.1.2_1,KAZ.1.9_1,1.0,0
KAZ.1.2_1,KAZ.5.12_1,2.0,0
KAZ.1.2_1,KAZ.1.16_1,3.0,0
KAZ.1.2_1,KAZ.5.1_1,1.0,0
KAZ.1.2_1,KAZ.1.5_1,7.0,0
KAZ.1.2_1,KAZ.5.16_1,1.0,0
KAZ.1.2_1,KAZ.1.15_1,6.0,0
KAZ.1.2_1,KAZ.1.6_1,6.0,0
KAZ.1.2_1,KAZ.5.15_1,2.0,0
KAZ.1.2_1,KAZ.5.10_1,2.0,0
KAZ.1.2_1,KAZ.1.3_1,9.0,0
KAZ.1.2_1,KAZ.5.8_1,1.0,0
KAZ.1.2_1,KAZ.1.7_1,1.0,0
KAZ.1.2_1,KAZ.1.17_1,1.0,0
KAZ.1.2_1,KAZ.8.9_1,1.0,0
KAZ.1.2_1,KAZ.2.14_1,1.0,0
KAZ.1.2_1,KAZ.12.12_1,1.0,0
KAZ.1.2_1,KAZ.12.8_1,1.0,0
KAZ.1.3_1,KAZ.1.7_1,4096.0,0
KAZ.1.3_1,KAZ.1.15_1,1510.0,0
KAZ.1.3_1,KAZ.1.6_1,1535.0,0
KAZ.1.3_1,KAZ.1.5_1,1308.0,0
KAZ.1.3_1,KAZ.1.17_1,423.0,0
KAZ.1.3_1,KAZ.14.2_1,476.0,0
KAZ.1.3_1,KAZ.1.9_1,142.0,0
KAZ.1.3_1,KAZ.1.10_1,98.0,0
KAZ.1.3_1,KAZ.1.12_1,193.0,0
KAZ.1.3_1,KAZ.1.16_1,145.0,0
KAZ.1.3_1,KAZ.14.7_1,251.0,0
KAZ.1.3_1,KAZ.1.14_1,487.0,0
KAZ.1.3_1,KAZ.1.11_1,213.0,0
KAZ.1.3_1,KAZ.1.4_1,48.0,0
KAZ.1.3_1,KAZ.1.8_1,94.0,0
KAZ.1.3_1,KAZ.1.1_1,50.0,0
KAZ.1.3_1,KAZ.14.4_1,127.0,0
KAZ.1.3_1,KAZ.1.13_1,58.0,0
KAZ.1.3_1,KAZ.14.3_1,104.0,0
KAZ.1.3_1,KAZ.14.5_1,58.0,0
KAZ.1.3_1,KAZ.1.2_1,86.0,0
KAZ.1.3_1,KAZ.14.1_1,172.0,0
KAZ.1.3_1,KAZ.14.9_1,164.0,0
