origin,destination,flow,time
KEN.8.6_1,KEN.8.1_1,3626.0,0
KEN.8.6_1,KEN.27.1_1,1854.0,0
KEN.8.6_1,KEN.27.5_1,1060.0,0
KEN.8.6_1,KEN.27.8_1,691.0,0
KEN.8.6_1,KEN.8.7_1,410.0,0
KEN.8.6_1,KEN.8.8_1,316.0,0
KEN.8.6_1,KEN.16.9_1,345.0,0
KEN.8.6_1,KEN.27.4_1,246.0,0
KEN.8.6_1,KEN.16.4_1,123.0,0
KEN.8.6_1,KEN.16.3_1,90.0,0
KEN.8.6_1,KEN.8.5_1,97.0,0
KEN.8.6_1,KEN.27.6_1,84.0,0
KEN.8.6_1,KEN.27.7_1,59.0,0
KEN.8.6_1,KEN.16.6_1,59.0,0
KEN.8.6_1,KEN.8.4_1,52.0,0
KEN.8.6_1,KEN.16.2_1,44.0,0
KEN.8.6_1,KEN.8.9_1,13.0,0
KEN.8.6_1,KEN.8.3_1,56.0,0
KEN.8.6_1,KEN.16.1_1,59.0,0
KEN.8.6_1,KEN.16.7_1,33.0,0
KEN.8.6_1,KEN.27.3_1,46.0,0
KEN.8.6_1,KEN.16.5_1,31.0,0
KEN.8.6_1,KEN.38.4_1,30.0,0
KEN.8.6_1,KEN.34.2_1,45.0,0
KEN.8.6_1,KEN.16.8_1,16.0,0
KEN.8.6_1,KEN.8.2_1,9.0,0
KEN.8.6_1,KEN.34.4_1,28.0,0
KEN.8.6_1,KEN.17.7_1,14.0,0
KEN.8.6_1,KEN.27.2_1,10.0,0
KEN.8.6_1,KEN.38.2_1,27.0,0
KEN.8.6_1,KEN.34.1_1,16.0,0
KEN.8.6_1,KEN.34.3_1,16.0,0
KEN.8.6_1,KEN.17.5_1,17.0,0
KEN.8.6_1,KEN.33.2_1,22.0,0
KEN.8.6_1,KEN.17.3_1,12.0,0
KEN.8.6_1,KEN.17.6_1,11.0,0
KEN.8.6_1,KEN.17.1_1,16.0,0
KEN.8.6_1,KEN.33.1_1,5.0,0
KEN.8.6_1,KEN.17.2_1,12.0,0
KEN.8.6_1,KEN.2.5_1,15.0,0
KEN.8.6_1,KEN.12.3_1,9.0,0
KEN.8.6_1,KEN.38.3_1,7.0,0
KEN.8.6_1,KEN.45.3_1,7.0,0
KEN.8.6_1,KEN.38.1_1,8.0,0
KEN.8.6_1,KEN.45.5_1,5.0,0
KEN.8.6_1,KEN.12.6_1,3.0,0
KEN.8.6_1,KEN.45.1_1,5.0,0
KEN.8.6_1,KEN.2.3_1,14.0,0
KEN.8.6_1,KEN.4.1_1,5.0,0
KEN.8.6_1,KEN.11.3_1,2.0,0
KEN.8.6_1,KEN.45.4_1,7.0,0
KEN.8.6_1,KEN.38.6_1,2.0,0
KEN.8.6_1,KEN.45.2_1,5.0,0
KEN.8.6_1,KEN.17.4_1,6.0,0
KEN.8.6_1,KEN.2.1_1,5.0,0
KEN.8.6_1,KEN.12.2_1,5.0,0
KEN.8.6_1,KEN.11.1_1,5.0,0
KEN.8.6_1,KEN.32.1_1,4.0,0
KEN.8.6_1,KEN.11.2_1,1.0,0
KEN.8.6_1,KEN.38.5_1,5.0,0
KEN.8.6_1,KEN.12.1_1,6.0,0
KEN.8.6_1,KEN.2.4_1,6.0,0
KEN.8.6_1,KEN.11.9_1,3.0,0
KEN.8.6_1,KEN.4.3_1,3.0,0
KEN.8.6_1,KEN.2.2_1,4.0,0
KEN.8.6_1,KEN.11.8_1,2.0,0
KEN.8.6_1,KEN.4.2_1,7.0,0
KEN.8.6_1,KEN.11.11_1,3.0,0
KEN.8.6_1,KEN.32.6_1,6.0,0
KEN.8.6_1,KEN.11.7_1,2.0,0
KEN.8.6_1,KEN.4.4_1,1.0,0
KEN.8.6_1,KEN.32.3_1,3.0,0
KEN.8.6_1,KEN.11.10_1,4.0,0
KEN.8.6_1,KEN.12.5_1,2.0,0
KEN.8.6_1,KEN.33.6_1,2.0,0
KEN.8.6_1,KEN.4.5_1,4.0,0
KEN.8.6_1,KEN.32.5_1,2.0,0
KEN.8.6_1,KEN.32.2_1,1.0,0
KEN.8.6_1,KEN.12.4_1,1.0,0
KEN.8.6_1,KEN.11.6_1,2.0,0
KEN.8.6_1,KEN.4.7_1,2.0,0
KEN.8.6_1,KEN.31.3_1,1.0,0
KEN.8.6_1,KEN.3.1_1,2.0,0
KEN.8.6_1,KEN.3.3_1,4.0,0
KEN.8.6_1,KEN.32.4_1,3.0,0
KEN.8.6_1,KEN.44.3_1,2.0,0
KEN.8.6_1,KEN.44.2_1,2.0,0
KEN.8.6_1,KEN.3.2_1,2.0,0
KEN.8.6_1,KEN.3.11_1,1.0,0
KEN.8.6_1,KEN.31.5_1,3.0,0
KEN.8.6_1,KEN.3.8_1,1.0,0
KEN.8.6_1,KEN.33.4_1,2.0,0
KEN.8.6_1,KEN.44.1_1,3.0,0
KEN.8.6_1,KEN.44.6_1,5.0,0
KEN.8.6_1,KEN.3.6_1,1.0,0
