origin,destination,flow,time
KGZ.4.5_1,KGZ.4.3_1,1865.0,0
KGZ.4.5_1,KGZ.4.1_1,676.0,0
KGZ.4.5_1,KGZ.4.6_1,715.0,0
KGZ.4.5_1,KGZ.4.8_1,180.0,0
KGZ.4.5_1,KGZ.6.1_1,193.0,0
KGZ.4.5_1,KGZ.7.2_1,53.0,0
KGZ.4.5_1,KGZ.7.7_1,97.0,0
KGZ.4.5_1,KGZ.4.2_1,23.0,0
KGZ.4.5_1,KGZ.7.5_1,87.0,0
KGZ.4.5_1,KGZ.7.6_1,41.0,0
KGZ.4.5_1,KGZ.8.4_1,15.0,0
KGZ.4.5_1,KGZ.4.7_1,2.0,0
KGZ.4.5_1,KGZ.4.4_1,4.0,0
KGZ.4.5_1,KGZ.8.1_1,4.0,0
KGZ.4.5_1,KGZ.1.2_1,22.0,0
KGZ.4.5_1,KGZ.7.4_1,5.0,0
KGZ.4.5_1,KGZ.8.2_1,4.0,0
KGZ.4.5_1,KGZ.3.6_1,4.0,0
KGZ.4.5_1,KGZ.8.3_1,6.0,0
KGZ.4.5_1,KGZ.7.1_1,8.0,0
KGZ.4.5_1,KGZ.3.3_1,5.0,0
KGZ.4.5_1,KGZ.5.3_1,4.0,0
KGZ.4.5_1,KGZ.5.1_1,1.0,0
KGZ.4.5_1,KGZ.7.3_1,3.0,0
KGZ.4.5_1,KGZ.3.5_1,2.0,0
KGZ.4.5_1,KGZ.1.1_1,11.0,0
KGZ.4.5_1,KGZ.3.7_1,10.0,0
KGZ.4.5_1,KGZ.3.1_1,5.0,0
KGZ.4.5_1,KGZ.2.1_1,23.0,0
KGZ.4.5_1,KGZ.3.8_1,4.0,0
KGZ.4.5_1,KGZ.5.4_1,1.0,0
KGZ.4.5_1,KGZ.1.3_1,3.0,0
KGZ.4.5_1,KGZ.3.2_1,5.0,0
KGZ.4.5_1,KGZ.5.2_1,4.0,0
KGZ.4.5_1,KGZ.5.5_1,1.0,0
KGZ.4.5_1,KGZ.3.4_1,1.0,0
KGZ.4.5_1,KGZ.9.3_1,2.0,0
KGZ.4.5_1,KGZ.9.5_1,2.0,0
KGZ.4.5_1,KGZ.9.2_1,1.0,0
KGZ.4.5_1,KGZ.9.4_1,3.0,0
KGZ.4.5_1,KGZ.9.1_1,3.0,0
KGZ.2.1_1,KGZ.3.1_1,2941.0,0
KGZ.2.1_1,KGZ.3.7_1,2772.0,0
KGZ.2.1_1,KGZ.3.8_1,2152.0,0
KGZ.2.1_1,KGZ.3.5_1,787.0,0
KGZ.2.1_1,KGZ.3.2_1,1261.0,0
KGZ.2.1_1,KGZ.3.3_1,664.0,0
KGZ.2.1_1,KGZ.3.6_1,471.0,0
KGZ.2.1_1,KGZ.5.3_1,308.0,0
KGZ.2.1_1,KGZ.5.4_1,562.0,0
KGZ.2.1_1,KGZ.5.6_1,1.0,0
KGZ.2.1_1,KGZ.3.4_1,403.0,0
KGZ.2.1_1,KGZ.8.4_1,732.0,0
KGZ.2.1_1,KGZ.4.7_1,167.0,0
KGZ.2.1_1,KGZ.4.8_1,906.0,0
KGZ.2.1_1,KGZ.5.1_1,135.0,0
KGZ.2.1_1,KGZ.5.5_1,462.0,0
KGZ.2.1_1,KGZ.9.3_1,357.0,0
KGZ.2.1_1,KGZ.9.5_1,347.0,0
KGZ.2.1_1,KGZ.4.3_1,497.0,0
KGZ.2.1_1,KGZ.9.6_1,41.0,0
KGZ.2.1_1,KGZ.4.6_1,1089.0,0
KGZ.2.1_1,KGZ.8.1_1,124.0,0
KGZ.2.1_1,KGZ.8.3_1,96.0,0
KGZ.2.1_1,KGZ.7.7_1,705.0,0
KGZ.2.1_1,KGZ.5.2_1,120.0,0
KGZ.2.1_1,KGZ.4.5_1,386.0,0
KGZ.2.1_1,KGZ.4.1_1,247.0,0
KGZ.2.1_1,KGZ.7.4_1,188.0,0
KGZ.2.1_1,KGZ.8.2_1,70.0,0
KGZ.2.1_1,KGZ.6.1_1,393.0,0
KGZ.2.1_1,KGZ.7.5_1,471.0,0
KGZ.2.1_1,KGZ.4.4_1,75.0,0
KGZ.2.1_1,KGZ.9.2_1,92.0,0
KGZ.2.1_1,KGZ.4.2_1,72.0,0
KGZ.2.1_1,KGZ.7.2_1,117.0,0
KGZ.2.1_1,KGZ.9.4_1,149.0,0
KGZ.2.1_1,KGZ.7.6_1,257.0,0
KGZ.2.1_1,KGZ.7.1_1,72.0,0
KGZ.2.1_1,KGZ.9.1_1,60.0,0
KGZ.2.1_1,KGZ.1.2_1,178.0,0
KGZ.2.1_1,KGZ.7.3_1,29.0,0
KGZ.2.1_1,KGZ.1.1_1,71.0,0
KGZ.2.1_1,KGZ.1.3_1,90.0,0
KGZ.3.1_1,KGZ.2.1_1,2580.0,0
KGZ.3.1_1,KGZ.3.7_1,49.0,0
KGZ.3.1_1,KGZ.3.8_1,32.0,0
KGZ.3.1_1,KGZ.3.5_1,11.0,0
KGZ.3.1_1,KGZ.3.3_1,11.0,0
KGZ.3.1_1,KGZ.3.2_1,17.0,0
KGZ.3.1_1,KGZ.3.6_1,6.0,0
KGZ.3.1_1,KGZ.5.3_1,6.0,0
KGZ.3.1_1,KGZ.5.4_1,11.0,0
KGZ.3.1_1,KGZ.3.4_1,8.0,0
KGZ.3.1_1,KGZ.8.4_1,15.0,0
KGZ.3.1_1,KGZ.4.7_1,5.0,0
KGZ.3.1_1,KGZ.4.8_1,17.0,0
KGZ.3.1_1,KGZ.5.1_1,2.0,0
KGZ.3.1_1,KGZ.5.5_1,7.0,0
KGZ.3.1_1,KGZ.9.3_1,15.0,0
KGZ.3.1_1,KGZ.9.5_1,3.0,0
KGZ.3.1_1,KGZ.4.3_1,6.0,0
KGZ.3.1_1,KGZ.4.6_1,23.0,0
KGZ.3.1_1,KGZ.9.6_1,1.0,0
KGZ.3.1_1,KGZ.8.1_1,1.0,0
KGZ.3.1_1,KGZ.8.3_1,3.0,0
KGZ.3.1_1,KGZ.7.7_1,14.0,0
KGZ.3.1_1,KGZ.5.2_1,3.0,0
KGZ.3.1_1,KGZ.4.5_1,6.0,0
KGZ.3.1_1,KGZ.4.1_1,4.0,0
KGZ.3.1_1,KGZ.7.4_1,3.0,0
KGZ.3.1_1,KGZ.8.2_1,1.0,0
KGZ.3.1_1,KGZ.6.1_1,6.0,0
KGZ.3.1_1,KGZ.7.5_1,6.0,0
KGZ.3.1_1,KGZ.4.4_1,1.0,0
KGZ.3.1_1,KGZ.9.2_1,3.0,0
KGZ.3.1_1,KGZ.7.2_1,1.0,0
KGZ.3.1_1,KGZ.4.2_1,2.0,0
KGZ.3.1_1,KGZ.9.4_1,1.0,0
KGZ.3.1_1,KGZ.7.6_1,1.0,0
KGZ.3.1_1,KGZ.1.2_1,5.0,0
KGZ.3.1_1,KGZ.7.3_1,1.0,0
KGZ.3.1_1,KGZ.1.3_1,2.0,0
KGZ.3.2_1,KGZ.3.8_1,1479.0,0
KGZ.3.2_1,KGZ.5.4_1,250.0,0
KGZ.3.2_1,KGZ.3.1_1,241.0,0
KGZ.3.2_1,KGZ.2.1_1,394.0,0
KGZ.3.2_1,KGZ.3.4_1,6.0,0
KGZ.3.2_1,KGZ.3.7_1,13.0,0
KGZ.3.2_1,KGZ.5.3_1,8.0,0
KGZ.3.2_1,KGZ.3.5_1,3.0,0
KGZ.3.2_1,KGZ.3.3_1,5.0,0
KGZ.3.2_1,KGZ.3.6_1,2.0,0
KGZ.3.2_1,KGZ.9.3_1,9.0,0
KGZ.3.2_1,KGZ.5.5_1,7.0,0
KGZ.3.2_1,KGZ.9.5_1,4.0,0
KGZ.3.2_1,KGZ.5.2_1,3.0,0
KGZ.3.2_1,KGZ.4.8_1,7.0,0
KGZ.3.2_1,KGZ.8.4_1,7.0,0
KGZ.3.2_1,KGZ.4.6_1,8.0,0
KGZ.3.2_1,KGZ.4.3_1,2.0,0
KGZ.3.2_1,KGZ.7.7_1,7.0,0
KGZ.3.2_1,KGZ.7.4_1,3.0,0
KGZ.3.2_1,KGZ.9.4_1,2.0,0
KGZ.3.2_1,KGZ.4.5_1,3.0,0
KGZ.3.2_1,KGZ.8.1_1,1.0,0
KGZ.3.2_1,KGZ.8.3_1,2.0,0
KGZ.3.2_1,KGZ.4.1_1,3.0,0
KGZ.3.2_1,KGZ.6.1_1,6.0,0
KGZ.3.2_1,KGZ.7.5_1,3.0,0
KGZ.3.2_1,KGZ.9.1_1,2.0,0
KGZ.3.2_1,KGZ.7.6_1,3.0,0
KGZ.3.2_1,KGZ.4.4_1,1.0,0
KGZ.3.2_1,KGZ.1.2_1,3.0,0
KGZ.3.2_1,KGZ.1.1_1,1.0,0
KGZ.3.2_1,KGZ.1.3_1,2.0,0
KGZ.3.5_1,KGZ.3.7_1,1077.0,0
KGZ.3.5_1,KGZ.3.3_1,98.0,0
KGZ.3.5_1,KGZ.3.1_1,118.0,0
KGZ.3.5_1,KGZ.2.1_1,168.0,0
KGZ.3.5_1,KGZ.3.6_1,5.0,0
KGZ.3.5_1,KGZ.3.8_1,6.0,0
KGZ.3.5_1,KGZ.5.3_1,3.0,0
KGZ.3.5_1,KGZ.3.2_1,8.0,0
KGZ.3.5_1,KGZ.8.4_1,4.0,0
KGZ.3.5_1,KGZ.4.8_1,3.0,0
KGZ.3.5_1,KGZ.5.4_1,1.0,0
KGZ.3.5_1,KGZ.4.7_1,1.0,0
KGZ.3.5_1,KGZ.3.4_1,1.0,0
KGZ.3.5_1,KGZ.5.1_1,2.0,0
KGZ.3.5_1,KGZ.8.1_1,1.0,0
KGZ.3.5_1,KGZ.4.3_1,1.0,0
KGZ.3.5_1,KGZ.4.6_1,5.0,0
KGZ.3.5_1,KGZ.4.5_1,5.0,0
KGZ.3.5_1,KGZ.4.1_1,4.0,0
KGZ.3.5_1,KGZ.7.7_1,2.0,0
KGZ.3.5_1,KGZ.8.2_1,1.0,0
KGZ.3.5_1,KGZ.9.3_1,1.0,0
KGZ.3.5_1,KGZ.9.5_1,3.0,0
KGZ.3.5_1,KGZ.5.2_1,3.0,0
KGZ.3.5_1,KGZ.4.4_1,1.0,0
KGZ.3.5_1,KGZ.6.1_1,3.0,0
KGZ.3.5_1,KGZ.7.5_1,4.0,0
KGZ.3.5_1,KGZ.1.2_1,3.0,0
KGZ.3.5_1,KGZ.7.3_1,1.0,0
KGZ.3.7_1,KGZ.3.5_1,1089.0,0
KGZ.3.7_1,KGZ.2.1_1,1994.0,0
KGZ.3.7_1,KGZ.3.1_1,35.0,0
KGZ.3.7_1,KGZ.3.8_1,42.0,0
KGZ.3.7_1,KGZ.3.3_1,18.0,0
KGZ.3.7_1,KGZ.3.6_1,18.0,0
KGZ.3.7_1,KGZ.3.2_1,26.0,0
KGZ.3.7_1,KGZ.5.3_1,9.0,0
KGZ.3.7_1,KGZ.5.4_1,14.0,0
KGZ.3.7_1,KGZ.8.4_1,18.0,0
KGZ.3.7_1,KGZ.3.4_1,9.0,0
KGZ.3.7_1,KGZ.4.8_1,27.0,0
KGZ.3.7_1,KGZ.4.7_1,5.0,0
KGZ.3.7_1,KGZ.5.1_1,3.0,0
KGZ.3.7_1,KGZ.8.1_1,8.0,0
KGZ.3.7_1,KGZ.5.5_1,8.0,0
KGZ.3.7_1,KGZ.4.3_1,4.0,0
KGZ.3.7_1,KGZ.8.3_1,1.0,0
KGZ.3.7_1,KGZ.4.6_1,26.0,0
KGZ.3.7_1,KGZ.9.3_1,8.0,0
KGZ.3.7_1,KGZ.9.5_1,8.0,0
KGZ.3.7_1,KGZ.4.5_1,8.0,0
KGZ.3.7_1,KGZ.7.7_1,10.0,0
KGZ.3.7_1,KGZ.4.1_1,4.0,0
KGZ.3.7_1,KGZ.8.2_1,1.0,0
KGZ.3.7_1,KGZ.5.2_1,2.0,0
KGZ.3.7_1,KGZ.7.4_1,2.0,0
KGZ.3.7_1,KGZ.6.1_1,10.0,0
KGZ.3.7_1,KGZ.4.4_1,4.0,0
KGZ.3.7_1,KGZ.7.5_1,15.0,0
KGZ.3.7_1,KGZ.4.2_1,1.0,0
KGZ.3.7_1,KGZ.7.2_1,4.0,0
KGZ.3.7_1,KGZ.7.6_1,10.0,0
KGZ.3.7_1,KGZ.9.2_1,3.0,0
KGZ.3.7_1,KGZ.7.1_1,2.0,0
KGZ.3.7_1,KGZ.9.4_1,4.0,0
KGZ.3.7_1,KGZ.1.2_1,6.0,0
KGZ.3.7_1,KGZ.7.3_1,1.0,0
KGZ.3.7_1,KGZ.1.3_1,4.0,0
KGZ.3.8_1,KGZ.3.1_1,1587.0,0
KGZ.3.8_1,KGZ.2.1_1,1536.0,0
KGZ.3.8_1,KGZ.3.2_1,38.0,0
KGZ.3.8_1,KGZ.3.7_1,40.0,0
KGZ.3.8_1,KGZ.3.5_1,18.0,0
KGZ.3.8_1,KGZ.3.3_1,22.0,0
KGZ.3.8_1,KGZ.5.4_1,12.0,0
KGZ.3.8_1,KGZ.5.3_1,7.0,0
KGZ.3.8_1,KGZ.3.6_1,9.0,0
